annotation_granular,AT3,AT4,AT5,AT6,AT7,AT9,AT10,AT11,AT12,AT13,AT14,AT15
Angiogenic TAMs,0.1554888606718227,0.06302666512755396,0.050559852245180656,0.24471891954288352,0.041902343299088075,0.07457001038901073,0.10204317211127785,0.024010158143830083,0.06429643310631421,0.022971257070298973,0.021008888375851322,0.1354034399168879
Stress-response TAMs,0.1442241968557758,0.07518796992481203,0.012303485987696514,0.1264524948735475,0.028708133971291867,0.014354066985645933,0.021872863978127138,0.0,0.22214627477785373,0.039644565960355434,0.05263157894736842,0.26247436773752564
Monocytes,0.0018539117538005192,0.004202199975281176,0.00778642936596218,0.009516747002842664,0.45878136200716846,0.055122976146335434,0.25139043381535037,0.04523544679273266,0.014831294030404153,0.0017303176368804844,0.060066740823136816,0.08948214065010505
Anti-inflammatory TAMs,0.012092074592074592,0.009906759906759906,0.18604312354312355,0.09076340326340326,0.09455128205128205,0.395541958041958,0.027826340326340328,0.020250582750582752,0.007721445221445221,0.01893939393939394,0.06512237762237762,0.07124125874125874
Resident BAM TAMs,0.038320423970648186,0.03587443946188341,0.01569506726457399,0.01956787607011822,0.30921320831634735,0.050958010599266204,0.07439869547492865,0.0038728088055442317,0.006522625356706074,0.09355890746025275,0.007134121483897269,0.34488381573583365
Proliferative TAMs,0.08521739130434783,0.15686956521739132,0.014608695652173913,0.10295652173913043,0.05217391304347826,0.07304347826086957,0.057739130434782605,0.052521739130434786,0.1968695652173913,0.06539130434782608,0.048,0.09460869565217392
RTN1+ TAMs,0.009072214830047175,0.010644732067255353,0.04814322003145034,0.20370146365065925,0.022499092778516996,0.06023950647151324,0.0316922704729648,0.03979678238780694,0.5234063142615217,0.0065319946776339665,0.01572517237208177,0.028547235998548446
Interferon TAMs,0.0019214346712211785,0.6441076003415884,0.05999146029035013,0.02327070879590094,0.021989752348420155,0.041631084543125536,0.08198121263877028,0.0710930828351836,0.0044833475661827495,0.03138343296327925,0.005764304013663535,0.012382578992314262
Pro-inflammatory TAMs,0.004797281540460406,0.08431888596462005,0.04227604357530733,0.03574641036745844,0.05180397774594397,0.041409867741613086,0.14978179031881933,0.02875037478762035,0.007029350034980178,0.32608188693073925,0.0370456741179998,0.19095845687443783
Astrocyte-like TAMs,0.578955771994252,0.08446431422640907,0.019160146894459523,0.025546862525946033,0.012613763372185853,0.027462877215391986,0.028101548778540635,0.02602586619830752,0.06306881686092927,0.04853903879929746,0.023151844164138593,0.0629091489701421
Resident-TAMs,0.0152986886838271,0.06969402622632345,0.21114618746964545,0.05876639145216124,0.143152015541525,0.03763963088878096,0.12712481787275376,0.0007285089849441476,0.00012141816415735794,0.036304031083050026,0.14910150558523555,0.1509227780475959
