annotation_granular,Complement Immunosuppressive_score,G1-S_score,G2-M_score,HS-UPR_score,Hypoxia_score,IFN Response_score,Microglia_score,Microglial Inflammatory_score,Scavenger Immunosuppressive_score,Systemic Inflammatory_score
Angiogenic TAMs,0.03070529839547501,0.0001154334526145677,0.0002308669052291354,0.012466812882373312,0.29297010273577284,0.010735311093154795,0.021355188733695026,0.0003463003578437031,0.6051021586055639,0.02597252683827773
Stress-response TAMs,0.010252904989747095,0.0,0.0,0.4155844155844156,0.4688995215311005,0.0,0.00683526999316473,0.0,0.07450444292549556,0.023923444976076555
Monocytes,0.6151279199110122,0.0,0.0,0.00012359411692003462,0.0003707823507601038,0.0008651588184402422,0.18477320479545173,0.0045729823260412805,0.16808799901124707,0.0260783586701273
Anti-inflammatory TAMs,0.5444347319347319,0.0,0.0,0.0001456876456876457,0.0002913752913752914,0.013694638694638694,0.01893939393939394,0.008158508158508158,0.38213869463869465,0.032196969696969696
Resident BAM TAMs,0.35262943334692215,0.0,0.0,0.014879739094985732,0.0020383204239706482,0.005299633102323685,0.0016306563391765185,0.0024459845087647777,0.408887077048512,0.21218915613534448
Proliferative TAMs,0.12556521739130436,0.1822608695652174,0.20452173913043478,0.0017391304347826088,0.008347826086956521,0.01182608695652174,0.11165217391304348,0.001391304347826087,0.33008695652173914,0.022608695652173914
RTN1+ TAMs,0.2364823999032297,0.00036288859320188704,0.0,0.000846740050804403,0.00048385145760251603,0.010039917745252208,0.09580258860529817,0.013547840812870448,0.6310632635780815,0.011370509253659126
Interferon TAMs,0.04291204099060632,0.0,0.0,0.0,0.001067463706233988,0.12745516652433816,0.7431682322801024,0.005977796754910333,0.025405636208368915,0.05401366353543979
Pro-inflammatory TAMs,0.07089316054235933,0.0,0.0,0.0006329746476996369,0.0007995469234100676,0.004297564713329114,0.6109537928507179,0.09211446846786821,0.04304227604357531,0.1772662158110404
Astrocyte-like TAMs,0.3068816860929267,0.0019160146894459523,0.0007983394539358135,0.007823726648570973,0.018202139549736547,0.006865719303847996,0.4850710522114003,0.03879929746128054,0.11160785566022673,0.02203416892862845
Resident-TAMs,0.2413793103448276,0.00012141816415735794,0.0,0.00012141816415735794,0.0007285089849441476,0.002064108790675085,0.7232880038853813,0.020883924235065566,0.010684798445847498,0.0007285089849441476
