,annotation_granular,feature,mean,proportion
0,Angiogenic TAMs,FCGR3A,-1.3034065441171447,0.19969987302320213
1,Anti-inflammatory TAMs,FCGR3A,0.005664869009725785,0.3280885780885781
2,Astrocyte-like TAMs,FCGR3A,-0.03931603980778498,0.3429666294108255
3,Interferon TAMs,FCGR3A,0.17195429570249818,0.4566609735269001
4,Monocytes,FCGR3A,2.0438247938396836,0.5518477320479546
5,Pro-inflammatory TAMs,FCGR3A,0.0008579425283855763,0.3380417763267482
6,Proliferative TAMs,FCGR3A,-0.3917987750733347,0.35478260869565215
7,RTN1+ TAMs,FCGR3A,-0.9407815542304717,0.22583766783597437
8,Resident BAM TAMs,FCGR3A,0.29617203153657934,0.3389726865063188
9,Resident-TAMs,FCGR3A,1.48450356740278,0.47037396794560465
10,Stress-response TAMs,FCGR3A,-1.3276745867909185,0.1900205058099795
11,Angiogenic TAMs,CX3CR1,-1.2010158474179953,0.037862172457578204
12,Anti-inflammatory TAMs,CX3CR1,-0.6636907050248226,0.12427156177156178
13,Astrocyte-like TAMs,CX3CR1,0.7800095501419987,0.3482356698068019
14,Interferon TAMs,CX3CR1,1.1028049720167037,0.4502561912894962
15,Monocytes,CX3CR1,-0.44831042042988456,0.17587442837720924
16,Pro-inflammatory TAMs,CX3CR1,0.8551731596387758,0.3450044974514442
17,Proliferative TAMs,CX3CR1,-0.07395307112069234,0.2584347826086957
18,RTN1+ TAMs,CX3CR1,-0.04228417791041154,0.20612072093867181
19,Resident BAM TAMs,CX3CR1,-1.0699327748630407,0.06278026905829596
20,Resident-TAMs,CX3CR1,1.948791795258884,0.47559494900437105
21,Stress-response TAMs,CX3CR1,-1.1875924802895161,0.0355434039644566
22,Angiogenic TAMs,STAB1,-0.7962101342273821,0.26434260648736
23,Anti-inflammatory TAMs,STAB1,0.6977757031906184,0.5249125874125874
24,Astrocyte-like TAMs,STAB1,-0.5973844614569336,0.3343445633083187
25,Interferon TAMs,STAB1,-1.0451842115813903,0.3033731853116994
26,Monocytes,STAB1,1.4333881238996946,0.6649363490297862
27,Pro-inflammatory TAMs,STAB1,-0.8026198182401957,0.28573808175367293
28,Proliferative TAMs,STAB1,0.7573541973777115,0.5906086956521739
29,RTN1+ TAMs,STAB1,-0.23133410212731248,0.3532115640498367
30,Resident BAM TAMs,STAB1,1.9956634871453263,0.6801875254790053
31,Resident-TAMs,STAB1,-0.455511745451761,0.33839242350655657
32,Stress-response TAMs,STAB1,-0.9559370385283752,0.22351332877648666
33,Angiogenic TAMs,P2RY12,-1.172749930544116,0.09049982684982108
34,Anti-inflammatory TAMs,P2RY12,-0.6554897344092339,0.23295454545454544
35,Astrocyte-like TAMs,P2RY12,0.9605916908817912,0.586779498642823
36,Interferon TAMs,P2RY12,1.1990257834100049,0.6786934244235696
37,Monocytes,P2RY12,-0.35353386906853784,0.32913113335805216
38,Pro-inflammatory TAMs,P2RY12,1.3957806048339305,0.6603591298264316
39,Proliferative TAMs,P2RY12,-0.18214257890870025,0.3909565217391304
40,RTN1+ TAMs,P2RY12,-0.08152466111706082,0.34970364098221846
41,Resident BAM TAMs,P2RY12,-1.1092887923990842,0.10089686098654709
42,Resident-TAMs,P2RY12,1.320850411182808,0.6493443419135503
43,Stress-response TAMs,P2RY12,-1.3215189238618,0.04101161995898838
44,Angiogenic TAMs,VCAN,2.6465803060748576,0.5630843818538612
45,Anti-inflammatory TAMs,VCAN,-0.5294770922673524,0.07794289044289045
46,Astrocyte-like TAMs,VCAN,-0.27026224703502844,0.15328117515567619
47,Interferon TAMs,VCAN,-0.6620266224001535,0.058497011101622545
