,source,score,norm,pval,state,pval_plot,ng_log_p
0,HALLMARK_HYPOXIA,-0.6900291,-1.7971658,0.0,Resident-TAMs,0.000999000999000999,6.90875477931522
1,GOBP_REGULATION_OF_ASTROCYTE_DIFFERENTIATION,0.86450136,1.6565282,0.0029761905,Resident-TAMs,0.0029761905,5.817111151963204
2,GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,-0.79729074,-1.4454651,0.049034175,Resident-TAMs,0.049034175,3.0152377749964296
3,GOBP_INTERLEUKIN_2_PRODUCTION,-0.6262186,-1.3665085,0.07380608,Resident-TAMs,0.07380608,2.6063141659453053
4,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,0.5201831,1.3188709,0.077844314,Resident-TAMs,0.077844314,2.553044421262911
5,GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,-0.46215346,-1.1918014,0.1488178,Resident-TAMs,0.1488178,1.9050325400815706
13,TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL,-0.4980424,-1.6560442,0.0,Astrocyte-like TAMs,0.000999000999000999,6.90875477931522
14,GOBP_INTERLEUKIN_2_PRODUCTION,-0.610054,-1.720141,0.0,Astrocyte-like TAMs,0.000999000999000999,6.90875477931522
15,GOBP_GLIAL_CELL_DEVELOPMENT,0.68907464,1.5945523,0.0010952903,Astrocyte-like TAMs,0.0010952903,6.81673583669497
16,GOBP_MACROPHAGE_DIFFERENTIATION,-0.52829367,-1.344526,0.119170986,Astrocyte-like TAMs,0.119170986,2.1271959600192143
17,GOBP_TYPE_II_INTERFERON_PRODUCTION,-0.40467414,-1.2276217,0.125,Astrocyte-like TAMs,0.125,2.0794415416798357
18,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,-0.33857492,-1.1118267,0.1969697,Astrocyte-like TAMs,0.1969697,1.6247053691802735
26,GOBP_INTERLEUKIN_2_PRODUCTION,0.8339968,1.8571273,0.0,Pro-inflammatory TAMs,0.000999000999000999,6.90875477931522
27,GOBP_REGULATION_OF_ASTROCYTE_DIFFERENTIATION,0.856981,1.6094452,0.01038961,Pro-inflammatory TAMs,0.01038961,4.566949010667894
28,GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,-0.79465,-1.5290555,0.022257552,Pro-inflammatory TAMs,0.022257552,3.805073912228039
29,GOBP_TYPE_II_INTERFERON_PRODUCTION,0.5572145,1.3294874,0.11042945,Pro-inflammatory TAMs,0.11042945,2.2033784234661535
30,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,0.51864076,1.2829899,0.123595506,Pro-inflammatory TAMs,0.123595506,2.09074109384286
31,TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL,-0.44957182,-1.2293322,0.12987013,Pro-inflammatory TAMs,0.12987013,2.041220327859638
32,GOBP_GLIAL_CELL_DEVELOPMENT,0.51062024,1.2460304,0.13043478,Pro-inflammatory TAMs,0.13043478,2.03688194726104
39,GOBP_TYPE_II_INTERFERON_PRODUCTION,0.68513817,1.3384814,0.003,Interferon TAMs,0.003,5.809142990314028
40,GOBP_INTERLEUKIN_2_PRODUCTION,0.7124095,1.3639991,0.005070994,Interferon TAMs,0.005070994,5.284218425368535
41,GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,-0.644295,-1.730923,0.019607844,Interferon TAMs,0.019607844,3.931825588724327
42,TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL,0.598973,1.2010128,0.033,Interferon TAMs,0.033,3.4112477175156566
43,GOBP_REGULATION_OF_ASTROCYTE_DIFFERENTIATION,0.76932526,1.3988625,0.033613447,Interferon TAMs,0.033613447,3.39282908374164
44,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,0.59419477,1.1724449,0.072,Interferon TAMs,0.072,2.631089159966082
45,GOBP_CENTROSOME_DUPLICATION,0.64537126,1.2396711,0.09586277,Interferon TAMs,0.09586277,2.3448375893610276
46,GOBP_GLIAL_CELL_DEVELOPMENT,0.582308,1.1539793,0.115,Interferon TAMs,0.115,2.162823150618887
47,GOBP_MACROPHAGE_DIFFERENTIATION,0.6636743,1.235285,0.11577869,Interferon TAMs,0.11577869,2.1560747549573893
52,GOBP_INTERLEUKIN_2_PRODUCTION,-0.81722015,-1.6851599,0.0,RTN1+ TAMs,0.000999000999000999,6.90875477931522
53,HALLMARK_HYPOXIA,-0.69286895,-1.5894066,0.0,RTN1+ TAMs,0.000999000999000999,6.90875477931522
54,GOBP_TYPE_II_INTERFERON_PRODUCTION,-0.72597384,-1.5437655,0.0,RTN1+ TAMs,0.000999000999000999,6.90875477931522
55,TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL,-0.6171175,-1.3863171,0.006185567,RTN1+ TAMs,0.006185567,5.08553660393604
56,GOBP_REGULATION_OF_ASTROCYTE_DIFFERENTIATION,-0.8068771,-1.4858848,0.01627907,RTN1+ TAMs,0.01627907,4.11787504534658
57,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,-0.60722035,-1.3221228,0.033549782,RTN1+ TAMs,0.033549782,3.394724913350087
58,HALLMARK_FATTY_ACID_METABOLISM,-0.58562696,-1.309875,0.05106383,RTN1+ TAMs,0.05106383,2.974678860189492
59,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.6040285,-1.2870114,0.08609272,RTN1+ TAMs,0.08609272,2.4523304239687738
60,GOBP_CENTROSOME_DUPLICATION,-0.6297807,-1.2860557,0.09834254,RTN1+ TAMs,0.09834254,2.319298588574528
61,GOBP_GLIAL_CELL_DEVELOPMENT,-0.5689744,-1.2476984,0.10407725,RTN1+ TAMs,0.10407725,2.262621867110044
65,GOBP_CENTROSOME_DUPLICATION,0.84574157,1.7285222,0.0,Proliferative TAMs,0.000999000999000999,6.90875477931522
66,GOBP_INTERLEUKIN_2_PRODUCTION,-0.45956734,-1.535686,0.0,Proliferative TAMs,0.000999000999000999,6.90875477931522
67,GOBP_MACROPHAGE_DIFFERENTIATION,0.63674676,1.2638848,0.10958904,Proliferative TAMs,0.10958904,2.211017909468555
68,HALLMARK_FATTY_ACID_METABOLISM,0.5509671,1.1741438,0.11033099,Proliferative TAMs,0.11033099,2.2042704311694226
69,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.5768786,1.2040803,0.12755102,Proliferative TAMs,0.12755102,2.0592388375623165
78,TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL,0.75526273,1.9202346,0.0,Resident BAM TAMs,0.000999000999000999,6.90875477931522
79,GOBP_REGULATION_OF_ASTROCYTE_DIFFERENTIATION,-0.8417398,-1.5709755,0.013487476,Resident BAM TAMs,0.013487476,4.305993727824861
80,GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,0.5578286,1.4421691,0.014209592,Resident BAM TAMs,0.014209592,4.253838049459855
81,HALLMARK_HYPOXIA,0.56149554,1.4388218,0.015544041,Resident BAM TAMs,0.015544041,4.164077929236776
82,GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,0.88868946,1.5598234,0.020501139,Resident BAM TAMs,0.020501139,3.8872748334056184
83,GOBP_TYPE_II_INTERFERON_PRODUCTION,0.65157723,1.4994016,0.02819549,Resident BAM TAMs,0.02819549,3.568593242906102
84,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.63061756,1.4553233,0.053949904,Resident BAM TAMs,0.053949904,2.9196993667049704
85,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,0.5728973,1.3753982,0.054263566,Resident BAM TAMs,0.054263566,2.9139022533063588
