,index,TM,abundance,r,p,prop,spot_overlap
11,Angiogenic TAMs,Dev-like (AC),0.01731313917602099,0.022006462088364598,5.301029782996417e-44,0.050222236000049575,0.0023855983842633773
12,Anti-inflammatory TAMs,Dev-like (AC),0.12013698694576203,0.37413570365629645,0.0,0.0560973231425837,0.00010697933815964758
13,Astrocyte-like TAMs,Dev-like (AC),0.11456101579483331,0.3528397491082196,0.0,0.03906680250479036,0.0
14,Interferon TAMs,Dev-like (AC),0.11884207719455697,0.21000948215963805,7.854771935245218e-220,0.0544706192273955,0.0013055980660694616
15,Monocytes,Dev-like (AC),0.12825027825775334,0.3700321068637485,9.859448871428436e-287,0.037480826508902026,0.0
16,Pro-inflammatory TAMs,Dev-like (AC),0.06791784119571619,0.2570019756174043,4.655323571769131e-130,0.07128269945242408,0.00042754252699944565
17,Proliferative TAMs,Dev-like (AC),0.07483586419017457,0.14313970541895268,1.090644786241627e-47,0.05685521659438035,0.000720104019588275
18,RTN1+ TAMs,Dev-like (AC),0.12604005936646198,0.49225699532226375,0.0,0.04943724573395757,0.0
19,Resident BAM TAMs,Dev-like (AC),0.08950036500008585,0.22600914332049887,5.4e-323,0.0428121090447488,0.00046368790861669757
20,Resident-TAMs,Dev-like (AC),0.07331323448858768,0.1850904705401285,2.194307484640486e-175,0.1800713017872309,0.02146806547073995
21,Stress-response TAMs,Dev-like (AC),0.013013038505750408,-0.01852815784659054,1.1107499991721193e-05,0.03904661806062571,0.004631773969430292
22,Angiogenic TAMs,Dev-like (OPC),0.002760869089139557,-0.12620048827612942,2.0731075669669556e-83,0.05167316720743592,0.003048780487804878
23,Anti-inflammatory TAMs,Dev-like (OPC),0.10443925883496571,0.11829187320799549,1.1344041784084348e-101,0.044851425471054134,0.0
24,Astrocyte-like TAMs,Dev-like (OPC),0.1385165161204627,0.43036837039257053,0.0,0.037544934983211986,0.0
25,Interferon TAMs,Dev-like (OPC),0.1104436482353039,0.09836321630189161,2.6744684054094117e-57,0.05936197538958625,0.002931769722814499
26,Monocytes,Dev-like (OPC),0.12546871657652833,0.12248363094683604,8.317823496971261e-70,0.030775663971584582,0.0
27,Pro-inflammatory TAMs,Dev-like (OPC),0.13617307553571206,0.18954277906131461,4.0614983559907535e-175,0.04398294152577542,8.884150675195451e-05
28,Proliferative TAMs,Dev-like (OPC),0.04877400499560384,0.05489841292020542,5.3783552365298454e-20,0.053184176081224166,0.0005330490405117271
29,RTN1+ TAMs,Dev-like (OPC),0.10503249651009507,0.21238988862769573,1.9217057761684225e-148,0.05013028811952029,0.0
30,Resident BAM TAMs,Dev-like (OPC),0.07558484666920841,0.03528490338265685,3.905338743249841e-14,0.044571499096401825,0.0008884150675195451
31,Resident-TAMs,Dev-like (OPC),0.04302210631596472,0.2422106445725361,8.615851719468263e-194,0.1977839290335539,0.04362101313320826
32,Stress-response TAMs,Dev-like (OPC),0.0,-0.14424213733664432,6.406105775948745e-93,0.030563434861095078,0.0009088751237799417
33,Angiogenic TAMs,Gliosis,0.18458738800393792,0.4032437950573782,0.0,0.04951300653486518,0.03978887535525782
34,Anti-inflammatory TAMs,Gliosis,0.0930432727261577,0.05130719549029859,2.2092407122226987e-129,0.044851425471054134,0.0
35,Astrocyte-like TAMs,Gliosis,0.0264844757472136,-0.05568931767068978,2.6422153233046393e-194,0.037544934983211986,0.0
36,Interferon TAMs,Gliosis,0.019207962763411673,0.01046413487605136,5.62007825015828e-142,0.053642430241504016,0.001442169022209403
37,Monocytes,Gliosis,0.07165874411777456,0.21320941628656148,1.1438828297685627e-173,0.034398975267513954,0.0
38,Pro-inflammatory TAMs,Gliosis,0.04123564438597371,-0.04622469401830144,5.902123153047168e-163,0.069360832071904,0.0
39,Proliferative TAMs,Gliosis,0.02001655301466261,0.07255468551425744,3.701847701999955e-225,0.054991615041286857,0.0028680688336520078
40,RTN1+ TAMs,Gliosis,0.04174971516099214,0.13342279826853182,5.674537754793689e-212,0.048744203348394854,0.0
41,Resident BAM TAMs,Gliosis,0.08102071325694256,0.04445133480604247,1.0374326722108956e-45,0.04105271899309579,0.0005741352088416823
42,Resident-TAMs,Gliosis,0.009424116158157947,-0.12393282566340645,4.2562930903877695e-110,0.196043979676203,0.0031727718488606866
43,Stress-response TAMs,Gliosis,0.11756479183874675,0.296728879150119,0.0,0.03904661806062571,0.044313725490196076
55,Angiogenic TAMs,Gliosis transition,0.13590900799541708,0.3461910590137043,0.0,0.05093146546523397,0.007862759113652609
56,Anti-inflammatory TAMs,Gliosis transition,0.02024470886937227,0.2016054596193066,1.2074699301287666e-133,0.06734322081411326,0.00017015484090522376
57,Astrocyte-like TAMs,Gliosis transition,0.03827925963962045,0.02690068452287743,8.001284302679796e-14,0.056926297327088135,0.0
58,Interferon TAMs,Gliosis transition,0.024825777974620097,0.09737457478773416,3.7636440503232656e-89,0.055298808213287,0.0010449320794148381
59,Monocytes,Gliosis transition,0.049920352442725205,0.45970754166180566,0.0,0.0405626777502901,0.0
60,Pro-inflammatory TAMs,Gliosis transition,0.03577909601921184,0.06349951387713723,1.0796874829131864e-114,0.07320456683294416,0.0
61,Proliferative TAMs,Gliosis transition,0.05852887815997901,0.4209100352744302,0.0,0.054991615041286857,0.00013520822065981613
62,RTN1+ TAMs,Gliosis transition,0.04305978855645335,0.3319956580507792,0.0,0.05329378375744165,0.0
63,Resident BAM TAMs,Gliosis transition,0.05490799989767489,0.19935164623980495,4.701743969038259e-120,0.044571499096401825,0.00438871473354232
64,Resident-TAMs,Gliosis transition,0.028588782397338846,-0.012800548965652471,4.51627203691653e-50,0.196043979676203,0.018867924528301886
65,Stress-response TAMs,Gliosis transition,0.07152899525331828,0.12446106046805425,3.815986887437028e-46,0.03877543969946769,0.02428730763336548
66,Angiogenic TAMs,Grey matter,0.0021326312832409,-0.10861295117102368,1.4244930116779372e-208,0.05167316720743592,0.00017883489068717308
67,Anti-inflammatory TAMs,Grey matter,0.009587172221086878,-0.060185918019054936,2.7319461482016894e-196,0.06734322081411326,0.0
68,Astrocyte-like TAMs,Grey matter,0.01798641666059781,-0.07292345551484063,4.990699474745222e-73,0.040588670026368734,0.0
69,Interferon TAMs,Grey matter,0.005802593996702344,-0.05224621956605724,8.459271947818474e-27,0.04433800655578652,0.0
70,Monocytes,Grey matter,0.012166179744345855,-0.11392701563845896,2.201324558844212e-175,0.0405626777502901,0.0
71,Pro-inflammatory TAMs,Grey matter,0.006683870192931199,-0.06741239111348472,9.39399063798064e-87,0.07320456683294416,0.0
72,Proliferative TAMs,Grey matter,0.008929447491371123,-0.09243069984157706,3.1260135986636417e-173,0.05871881814747385,0.0
73,RTN1+ TAMs,Grey matter,0.009717274968389467,-0.07756106327094833,4.181096815934856e-120,0.048744203348394854,0.0
74,Resident BAM TAMs,Grey matter,0.01367714270657979,-0.06400366098251958,2.746459996587097e-69,0.05282770014649557,0.0
75,Resident-TAMs,Grey matter,0.004210503606353545,-0.08198449792067254,3.1362690849375847e-164,0.1284323250603081,0.0019769357495881385
76,Stress-response TAMs,Grey matter,0.00520691792244105,-0.1134200138012036,1.7130974539596687e-51,0.04777740571057146,4.470872267179327e-05
77,Angiogenic TAMs,Hypoxic 1 (niche),0.4854322872214844,0.7439675268574504,0.0,0.050222236000049575,0.0627478974190423
78,Anti-inflammatory TAMs,Hypoxic 1 (niche),0.017730066409592248,-0.05158515432883941,7.567158452093544e-41,0.0560973231425837,0.0
79,Astrocyte-like TAMs,Hypoxic 1 (niche),0.0012238508435836917,-0.11215994003046438,8.45174330078377e-121,0.03906680250479036,0.0
80,Interferon TAMs,Hypoxic 1 (niche),0.01662281597540434,-0.07924596097708748,1.9864005999768176e-152,0.0544706192273955,9.540164090822362e-05
81,Monocytes,Hypoxic 1 (niche),0.012972433681580726,-0.035563928539843984,1.373528095307569e-61,0.037480826508902026,0.0
82,Pro-inflammatory TAMs,Hypoxic 1 (niche),0.010039269729591991,-0.10458943259456992,1.717503723795436e-84,0.07128269945242408,0.0
83,Proliferative TAMs,Hypoxic 1 (niche),0.015320364671501108,-0.02157557885382357,7.751221995984109e-36,0.05685521659438035,0.00031289235422276993
84,RTN1+ TAMs,Hypoxic 1 (niche),0.004989982812766458,-0.061860352229537716,9.775364603456667e-117,0.04943724573395757,0.0
85,Resident BAM TAMs,Hypoxic 1 (niche),0.03743991337349209,-0.033527871332323385,2.6281405121119763e-33,0.0428121090447488,0.0002452275282406075
86,Resident-TAMs,Hypoxic 1 (niche),0.012262399248729426,-0.08011968353744273,1.69576455567514e-83,0.1800713017872309,0.004243194978943767
87,Stress-response TAMs,Hypoxic 1 (niche),0.6365264026540784,0.7804437029836733,0.0,0.03904661806062571,0.12215132178669097
99,Angiogenic TAMs,Immune (TAMs),0.10423054172089843,0.11409310666562365,2.03692418362541e-68,0.05093146546523397,0.006700167504187605
100,Anti-inflammatory TAMs,Immune (TAMs),0.4231955854636975,0.749636860832568,0.0,0.06734322081411326,0.0002605523710265763
101,Astrocyte-like TAMs,Immune (TAMs),0.3318206906042394,0.6313943886603021,0.0,0.056926297327088135,0.0
102,Interferon TAMs,Immune (TAMs),0.4581903675418053,0.7153075326347922,0.0,0.055298808213287,0.002344971339239187
103,Monocytes,Immune (TAMs),0.47393794938314354,0.8906940266062864,0.0,0.0405626777502901,0.0
104,Pro-inflammatory TAMs,Immune (TAMs),0.44042300283689534,0.6116069265255748,0.0,0.07706478296591236,0.0010422094841063053
105,Proliferative TAMs,Immune (TAMs),0.6408509840246003,0.8403056259900006,0.0,0.074130186401844,0.010050251256281407
106,RTN1+ TAMs,Immune (TAMs),0.4886399912836112,0.8253142868943062,0.0,0.05013028811952029,0.0
107,Resident BAM TAMs,Immune (TAMs),0.4333803385851661,0.6977143426767615,0.0,0.05282770014649557,0.0018238665971860343
108,Resident-TAMs,Immune (TAMs),0.24113397468350348,0.4728363256665088,0.0,0.1640986238982588,0.07079167792488517
109,Stress-response TAMs,Immune (TAMs),0.03290613364139082,0.10963329385373934,3.8916563284815677e-51,0.06205184384556266,0.004474056685193496
110,Angiogenic TAMs,Immune (resident),0.02111944526578313,-0.06948951600852074,8.447815435357408e-32,0.042085823512298365,0.0047169811320754715
111,Anti-inflammatory TAMs,Immune (resident),0.2670857077077554,0.5942993684710604,0.0,0.04446205098142317,0.0
112,Astrocyte-like TAMs,Immune (resident),0.46693510135944466,0.7831824180181036,0.0,0.037544934983211986,0.0
113,Interferon TAMs,Immune (resident),0.4399209755748504,0.47066480247374554,0.0,0.055298808213287,0.005048959608323134
114,Monocytes,Immune (resident),0.22172031782891707,0.3898788370899373,0.0,0.027895506048505922,0.0
115,Pro-inflammatory TAMs,Immune (resident),0.4047137266778447,0.7155547123053261,0.0,0.04398294152577542,0.0008576329331046312
116,Proliferative TAMs,Immune (resident),0.18869811121298394,0.30301778697532306,0.0,0.053184176081224166,0.003125
117,RTN1+ TAMs,Immune (resident),0.19262786561406023,0.453689872444403,0.0,0.03780982524487691,0.0
118,Resident BAM TAMs,Immune (resident),0.10541045871035967,0.10005714355475627,5.091548096650117e-52,0.035529125381133,0.001988984088127295
119,Resident-TAMs,Immune (resident),0.8046283234461952,0.9685668657543623,0.0,0.24345524265005114,0.429043586035943
120,Stress-response TAMs,Immune (resident),0.00867063285224763,-0.0602117205931444,3.477182684642323e-20,0.03705664095642315,0.0014616830235957402
143,Angiogenic TAMs,Proliferative,0.002165279026181791,-0.051930120077100836,2.928594779580321e-27,0.04951300653486518,0.0006359300476947536
144,Anti-inflammatory TAMs,Proliferative,0.005589214912432236,0.09822587146057819,4.254477814216207e-51,0.044851425471054134,0.0
145,Astrocyte-like TAMs,Proliferative,0.04253381489372363,0.13721246268318166,8.642597348436625e-84,0.040588670026368734,0.0
146,Interferon TAMs,Proliferative,0.009116633600018508,0.04386003325067109,1.0723106521632143e-19,0.055298808213287,0.0
147,Monocytes,Proliferative,0.018960177757608956,0.1174582102926453,4.4860671522496314e-72,0.0405626777502901,0.0
148,Pro-inflammatory TAMs,Proliferative,0.0025004329347292,0.045083330267158155,9.318062345435429e-20,0.069360832071904,0.0
149,Proliferative TAMs,Proliferative,0.08383089844185077,0.12539824032882765,2.9530631673857516e-188,0.054991615041286857,0.0022257551669316376
150,RTN1+ TAMs,Proliferative,0.016294515938451673,0.18944800672304332,9.125025604769325e-214,0.05013028811952029,0.0
151,Resident BAM TAMs,Proliferative,0.0035323946086683908,0.018474816558018185,1.0473577347809242e-07,0.04105271899309579,0.00019054878048780488
152,Resident-TAMs,Proliferative,0.029020602286685935,0.061830907229586146,1.0936582455292325e-32,0.196043979676203,0.025906735751295335
153,Stress-response TAMs,Proliferative,0.00110270804614445,-0.056905614906366433,2.4753865378255235e-14,0.03877543969946769,8.128759551292472e-05
154,Angiogenic TAMs,Vasculature,0.028509977463187907,0.040616575464386344,5.417919365608159e-19,0.04951300653486518,0.0033486814566764337
155,Anti-inflammatory TAMs,Vasculature,0.1834217039685835,0.36994385584326733,0.0,0.06734322081411326,0.0004716981132075472
156,Astrocyte-like TAMs,Vasculature,0.04867511164572911,0.08684863025001206,3.125157409422761e-104,0.040588670026368734,0.0
157,Interferon TAMs,Vasculature,0.044285413903263945,0.07778037810879698,2.6457178356447062e-50,0.055298808213287,0.0024441340782122905
158,Monocytes,Vasculature,0.06498536130968224,0.20682108105552152,4.834387735023412e-221,0.0405626777502901,0.0
159,Pro-inflammatory TAMs,Vasculature,0.02690654617895003,0.07489619103099465,2.695002764436125e-36,0.07320456683294416,0.0005361930294906167
160,Proliferative TAMs,Vasculature,0.07795710911835675,0.2650447357216672,7.1573619173e-314,0.05871881814747385,0.0016806722689075631
161,RTN1+ TAMs,Vasculature,0.15511347366461814,0.4514552037715188,0.0,0.05013028811952029,0.0
162,Resident BAM TAMs,Vasculature,0.26988923670194076,0.4232202713716084,0.0,0.044571499096401825,0.0033018867924528303
163,Resident-TAMs,Vasculature,0.04593971961002686,0.035259428897877344,1.6416174870708626e-20,0.1640986238982588,0.020822210357714897
164,Stress-response TAMs,Vasculature,0.01587898256069001,-0.03257448412297035,4.375149536696813e-16,0.047506227349413434,0.002673234242150468
165,Angiogenic TAMs,White matter,0.003184578056831255,-0.11257440122794211,3.656212555989389e-69,0.04951300653486518,0.00035240220838717257
166,Anti-inflammatory TAMs,White matter,0.0078917453494095,0.030171047786823727,2.39785032823199e-46,0.044851425471054134,0.00011746740279572419
167,Astrocyte-like TAMs,White matter,0.022629673568399455,0.147910273988554,3.760642429150175e-111,0.037544934983211986,0.0
168,Interferon TAMs,White matter,0.053493337178774754,0.1366062317930462,2.9279972726591433e-109,0.055298808213287,0.001110494169905608
169,Monocytes,White matter,0.0112137578694097,0.06046350146112477,6.949587699739934e-55,0.0405626777502901,0.0
170,Pro-inflammatory TAMs,White matter,0.08801186456657878,0.2608429611742854,7.103509997562303e-289,0.069360832071904,0.00030759766225776686
171,Proliferative TAMs,White matter,0.006288721846174083,0.036677118507829655,1.0408778866364681e-65,0.054991615041286857,0.0004570383912248629
172,RTN1+ TAMs,White matter,0.011401680644298955,0.05846187553545813,4.064653290816302e-19,0.048744203348394854,0.0
173,Resident BAM TAMs,White matter,0.008602871054925508,-0.03218879281922493,6.46932135362111e-30,0.04105271899309579,5.5707202941340315e-05
174,Resident-TAMs,White matter,0.08804663826765967,0.5254898303015498,0.0,0.196043979676203,0.07635381181722072
175,Stress-response TAMs,White matter,0.012402785172977911,-0.09221383828485538,1.3528177223485705e-53,0.03877543969946769,0.0008580364181531362
