,annotation_granular,feature,mean,proportion
0,Angiogenic TAMs,LGALS8,0.8784266875224149,0.20350917695948287
1,Anti-inflammatory TAMs,LGALS8,0.07545450375243001,0.16185897435897437
2,Astrocyte-like TAMs,LGALS8,-0.8508601236758897,0.1361967108414498
3,Interferon TAMs,LGALS8,0.0026611460551827955,0.2239538855678907
4,Monocytes,LGALS8,0.45745008710058405,0.19169447534297368
5,Pro-inflammatory TAMs,LGALS8,-1.0093953658014734,0.12066495652463603
6,Proliferative TAMs,LGALS8,-0.33202377141401984,0.18713043478260868
7,RTN1+ TAMs,LGALS8,-1.0203388389733803,0.10814080077416233
8,Resident BAM TAMs,LGALS8,-0.3074583609455686,0.14696290256828373
9,Resident-TAMs,LGALS8,-0.49726549890123783,0.1330743079164643
10,Stress-response TAMs,LGALS8,2.603349535280963,0.24812030075187969
11,Angiogenic TAMs,TNFSF10,-0.8309899922389461,0.024702758859517487
12,Anti-inflammatory TAMs,TNFSF10,-0.17925478675709694,0.051719114219114216
13,Astrocyte-like TAMs,TNFSF10,0.29771973778064187,0.08382564266326042
14,Interferon TAMs,TNFSF10,2.862167011385457,0.21797608881298036
15,Monocytes,TNFSF10,-0.1777521216531232,0.058954393770856504
16,Pro-inflammatory TAMs,TNFSF10,-0.5074838508751737,0.04001066062564547
17,Proliferative TAMs,TNFSF10,0.11336566797687095,0.08695652173913043
18,RTN1+ TAMs,TNFSF10,-0.3379201161396144,0.04354663118422644
19,Resident BAM TAMs,TNFSF10,-0.655414010152567,0.03139013452914798
20,Resident-TAMs,TNFSF10,0.40783755388719833,0.08037882467217096
21,Stress-response TAMs,TNFSF10,-0.9922750932136464,0.012303485987696514
22,Angiogenic TAMs,ST6GAL1,-1.6020813653620938,0.4425718573242526
23,Anti-inflammatory TAMs,ST6GAL1,-0.4219073243065855,0.6998834498834499
24,Astrocyte-like TAMs,ST6GAL1,0.4330508888977706,0.8238863164617596
25,Interferon TAMs,ST6GAL1,1.2098870775866664,0.9534585824081981
26,Monocytes,ST6GAL1,0.6430411419270774,0.8756643183784452
27,Pro-inflammatory TAMs,ST6GAL1,1.2785392818844332,0.9252090482060166
28,Proliferative TAMs,ST6GAL1,-0.3004166172701474,0.7659130434782608
29,RTN1+ TAMs,ST6GAL1,0.22129941197304293,0.7712592234184106
30,Resident BAM TAMs,ST6GAL1,-1.1953406152290054,0.5407664084794129
31,Resident-TAMs,ST6GAL1,1.0819424974657397,0.8992229237493929
32,Stress-response TAMs,ST6GAL1,-1.3480143775669018,0.48530416951469585
33,Angiogenic TAMs,CXCL8,1.50570653661037,0.24829735657393512
34,Anti-inflammatory TAMs,CXCL8,-0.5326482602438726,0.020396270396270396
35,Astrocyte-like TAMs,CXCL8,-0.5818005636988632,0.015487785406354782
36,Interferon TAMs,CXCL8,-0.5958619360497205,0.01345004269854825
37,Monocytes,CXCL8,-0.6364060434529172,0.00778642936596218
