source	score	norm	pval
GAUTAM_EYE_IRIS_CILIARY_BODY_WIF1_HIGH_FIBROBLASTS	-0.79667944	-1.7552406	0.0
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	-0.61641955	-1.4049529	0.0
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	-0.75720584	-1.696622	0.0
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	-0.7655397	-1.6092651	0.0
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	-0.6419731	-1.4583223	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_MEG3_HIGH_FIBROBLASTS	-0.7302005	-1.5821723	0.0
HALLMARK_MTORC1_SIGNALING	-0.737657	-1.661093	0.0
GOBP_REGULATION_OF_PRESYNAPTIC_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	0.8336872	1.8592796	0.0
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS	-0.67712045	-1.515575	0.0
GOBP_MUSCLE_CELL_PROLIFERATION	-0.6524835	-1.471965	0.0
GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	-0.72788584	-1.6316019	0.0
GOBP_NEUTROPHIL_MIGRATION	-0.75884014	-1.6274976	0.0
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION	-0.7822112	-1.52804	0.0
GOBP_ACUTE_INFLAMMATORY_RESPONSE	-0.75908566	-1.6279196	0.0
GOBP_ACTION_POTENTIAL	0.44847825	1.4289675	0.0
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	-0.7984352	-1.6689053	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_SMOOTH_MUSCLE_CELLS	-0.6205043	-1.4144604	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_PUTATIVE_STEM_CELLS	-0.6257678	-1.4348881	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_MELANOCYTES	-0.67935103	-1.5510542	0.0
GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	0.8549388	1.8694587	0.0
GOBP_GRANULOCYTE_MIGRATION	-0.7417768	-1.631812	0.0
GOBP_GRANULOCYTE_CHEMOTAXIS	-0.76855445	-1.6652939	0.0
GOBP_MEMBRANE_INVAGINATION	-0.7961806	-1.623793	0.0
GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS	-0.6802116	-1.5638189	0.0
HAY_BONE_MARROW_NAIVE_T_CELL	-0.77557564	-1.797422	0.0
HAY_BONE_MARROW_MONOCYTE	-0.751436	-1.7028453	0.0
HAY_BONE_MARROW_IMMATURE_NEUTROPHIL	-0.818559	-1.8316498	0.0
GAUTAM_EYE_CHOROID_SCLERA_MELANOCYTES	-0.70410854	-1.5519063	0.0
GAUTAM_EYE_CHOROID_SCLERA_FIBROBLASTS	-0.64337295	-1.4609241	0.0
GAUTAM_EYE_CHOROID_SCLERA_CHOROID_ENDOTHELIAL_CELLS	-0.8073415	-1.7617732	0.0
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	-0.7634065	-1.6773481	0.0
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS	-0.741538	-1.565645	0.0
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	-0.65052813	-1.487226	0.0
GOBP_CARBOHYDRATE_HOMEOSTASIS	-0.63214153	-1.4321321	0.0
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS	-0.66193235	-1.472226	0.0
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE	-0.65474993	-1.4905704	0.0
GOBP_WALKING_BEHAVIOR	0.6627782	1.6000266	0.0
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR	-0.66326445	-1.5073776	0.0
GOBP_AEROBIC_RESPIRATION	-0.73003906	-1.6502516	0.0
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	-0.8045583	-1.637437	0.0
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	-0.62946236	-1.419931	0.0
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	-0.91067386	-1.6592982	0.0
