source	score	norm	pval
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.9023908	2.129357	0.0
TRAVAGLINI_LUNG_CD8_MEMORY_EFFECTOR_T_CELL	0.9011833	1.7059785	0.0
TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL	-0.4980424	-1.6560442	0.0
TRAVAGLINI_LUNG_CLUB_CELL	0.87349826	2.007842	0.0
VANGURP_PANCREATIC_BETA_CELL	0.829765	1.8945941	0.0
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	0.7294241	1.7904869	0.0
DESCARTES_FETAL_INTESTINE_ENS_NEURONS	0.7551152	1.7368821	0.0
GOBP_FAT_CELL_DIFFERENTIATION	-0.42089802	-1.4146072	0.0
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	0.8818163	2.0810697	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C4_HIGH_GRADE_CHONDROSARCOMA_1	0.88694775	1.9784929	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C6_LEUKOCYTE	-0.8459129	-3.04896	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE	0.64147514	1.5515074	0.0
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION	-0.7857491	-1.8243892	0.0
GOBP_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	-0.6543786	-1.7430276	0.0
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	-0.3919113	-1.2871188	0.0
TRAVAGLINI_LUNG_CD4_MEMORY_EFFECTOR_T_CELL	0.7651328	1.6648651	0.0
CUI_DEVELOPING_HEART_CARDIAC_FIBROBLASTS	0.7960174	1.7951525	0.0
SU_HO_FOETAL_FEMUR_C0_TRANSITIONING_CELL	0.8550036	2.055789	0.0
SU_HO_FOETAL_FEMUR_C1_RESTING_CHONDROCYTE	0.87487125	1.8123996	0.0
TRAVAGLINI_LUNG_AIRWAY_SMOOTH_MUSCLE_CELL	0.80739915	1.9075098	0.0
TRAVAGLINI_LUNG_BASAL_CELL	0.78106517	1.8660702	0.0
TRAVAGLINI_LUNG_IGSF21_DENDRITIC_CELL	-0.71832216	-2.0138552	0.0
TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL	-0.4303983	-1.4263581	0.0
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	-0.5966503	-2.0041208	0.0
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	-0.43505552	-1.4455608	0.0
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	-0.6512293	-1.8085395	0.0
GOBP_MONOAMINE_TRANSPORT	0.8169446	1.6657106	0.0
GOBP_MONONUCLEAR_CELL_MIGRATION	-0.41519308	-1.411195	0.0
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	-0.6343353	-1.9998583	0.0
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	-0.6234235	-1.8593538	0.0
VANGURP_PANCREATIC_DELTA_CELL	0.77540207	1.695255	0.0
CUI_DEVELOPING_HEART_C9_B_T_CELL	-0.68493503	-2.2372723	0.0
MENON_FETAL_KIDNEY_3_STROMAL_CELLS	0.7556124	1.6723137	0.0
AIZARANI_LIVER_C2_KUPFFER_CELLS_1	-0.56641394	-1.8468359	0.0
AIZARANI_LIVER_C31_KUPFFER_CELLS_5	-0.5546488	-1.6738327	0.0
AIZARANI_LIVER_C33_STELLATE_CELLS_2	0.780886	1.8531505	0.0
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.7734493	1.834001	0.0
ZHONG_PFC_C9_ORG_OTHER	0.82099235	1.8542094	0.0
AIZARANI_LIVER_C14_HEPATOCYTES_2	0.66438985	1.5737504	0.0
AIZARANI_LIVER_C18_NK_NKT_CELLS_5	-0.5490671	-1.7263875	0.0
DESCARTES_FETAL_CEREBELLUM_ASTROCYTES	0.7888218	1.7470477	0.0
DESCARTES_FETAL_CEREBRUM_ASTROCYTES	0.72637063	1.6180288	0.0
DESCARTES_FETAL_EYE_MICROGLIA	-0.69657457	-2.1413715	0.0
ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR	-0.57804793	-1.7969065	0.0
AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	0.6411241	1.5542763	0.0
CUI_DEVELOPING_HEART_C7_MAST_CELL	-0.70688117	-2.222162	0.0
DESCARTES_FETAL_HEART_MYELOID_CELLS	-0.60451305	-1.8870463	0.0
DESCARTES_FETAL_HEART_SATB2_LRRC7_POSITIVE_CELLS	0.7444898	1.6812884	0.0
TRAVAGLINI_LUNG_MACROPHAGE_CELL	-0.525323	-1.7885221	0.0
TRAVAGLINI_LUNG_NEUROENDOCRINE_CELL	0.79434985	1.8345239	0.0
TRAVAGLINI_LUNG_NEUTROPHIL_CELL	-0.55084103	-1.979859	0.0
BUSSLINGER_DUODENAL_BCHE_CELLS	0.8669592	1.7844837	0.0
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	0.8717848	2.1267226	0.0
DESCARTES_FETAL_INTESTINE_ENS_GLIA	0.8466615	1.7553065	0.0
DESCARTES_FETAL_ADRENAL_MYELOID_CELLS	-0.62482476	-2.0119889	0.0
DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS	0.7919155	1.8025645	0.0
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE	-0.41185474	-1.4202586	0.0
DESCARTES_FETAL_LIVER_MYELOID_CELLS	-0.6377909	-2.158513	0.0
DESCARTES_FETAL_LIVER_STELLATE_CELLS	0.70885605	1.6587639	0.0
DESCARTES_FETAL_LUNG_MYELOID_CELLS	-0.62838084	-1.9911418	0.0
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	0.86785024	1.9956989	0.0
BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	0.82612735	1.834864	0.0
BUSSLINGER_GASTRIC_PARIETAL_CELLS	0.73318475	1.7838506	0.0
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.866611	2.0164263	0.0
DESCARTES_MAIN_FETAL_CCL19_CCL21_POSITIVE_CELLS	-0.40923476	-1.3743126	0.0
DESCARTES_MAIN_FETAL_MICROGLIA	-0.77788126	-2.3394275	0.0
RUBENSTEIN_SKELETAL_MUSCLE_B_CELLS	0.84578013	2.003462	0.0
RUBENSTEIN_SKELETAL_MUSCLE_FAP_CELLS	0.7344592	1.764942	0.0
RUBENSTEIN_SKELETAL_MUSCLE_FBN1_FAP_CELLS	0.73402077	1.7989787	0.0
RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS	0.73593295	1.7725197	0.0
RUBENSTEIN_SKELETAL_MUSCLE_PERICYTES	0.8248408	1.9349314	0.0
RUBENSTEIN_SKELETAL_MUSCLE_SATELLITE_CELLS	0.8187415	2.0042272	0.0
