source	score	norm	pval
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	-0.5601375	-1.6258982	0.0
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.60513294	-1.7334563	0.0
GOBP_POSITIVE_REGULATION_OF_INTEGRIN_ACTIVATION	-0.9359328	-1.746563	0.0
GOBP_OXIDATIVE_PHOSPHORYLATION	-0.70025116	-2.028432	0.0
LAKE_ADULT_KIDNEY_C3_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S1_S2	0.64723897	1.6156362	0.0
LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3	-0.8170726	-2.370724	0.0
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB	-0.688978	-2.121378	0.0
GOBP_ODONTOBLAST_DIFFERENTIATION	-0.90370035	-1.7021976	0.0
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	-0.9039977	-1.8642211	0.0
GOBP_RESPONSE_TO_INTERFERON_BETA	-0.8334356	-1.8234763	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_UNSPECIFIED	-0.81690806	-1.7450721	0.0
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	-0.6193982	-1.805167	0.0
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.7050315	-1.7481627	0.0
GOBP_ELECTRON_TRANSPORT_CHAIN	-0.62282515	-1.8017924	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_COLUMNAR_CELLS	-0.92932945	-1.9789695	0.0
GOBP_MONONUCLEAR_CELL_MIGRATION	-0.5493038	-1.6625286	0.0
GOBP_MICTURITION	0.97866005	1.5469847	0.0
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN	-0.89891714	-1.9418336	0.0
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	-0.78194	-1.9198364	0.0
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	-0.738371	-1.7905966	0.0
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE	-0.5062181	-1.5704052	0.0
GAUTAM_EYE_CORNEA_FIBROBLASTS	-0.5696656	-1.662127	0.0
GAUTAM_EYE_CORNEA_MELANOCYTES	-0.600944	-1.8329681	0.0
GOBP_MACROPHAGE_MIGRATION	-0.7070755	-1.7779809	0.0
GOBP_LENS_FIBER_CELL_DIFFERENTIATION	-0.78908134	-1.8026266	0.0
GOBP_SISTER_CHROMATID_SEGREGATION	-0.51073897	-1.567208	0.0
FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	-0.6789168	-2.2580664	0.0
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA	-0.73203236	-2.3230884	0.0
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	-0.74995047	-2.3723798	0.0
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR	-0.789804	-2.2377703	0.0
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR	-0.5864741	-1.6919078	0.0
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	-0.7514332	-2.1080384	0.0
FAN_OVARY_CL3_MATURE_CUMULUS_GRANULOSA_CELL_1	-0.585139	-1.8688408	0.0
FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL	-0.42184553	-1.3632718	0.0
GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL	0.6251981	1.5952432	0.0
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION	-0.6609544	-1.9239576	0.0
FAN_EMBRYONIC_CTX_NSC_2	-0.55677617	-1.7369266	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	-0.7882459	-2.2212846	0.0
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	-0.794765	-2.5315168	0.0
KEGG_RIBOSOME	-0.9848252	-2.622091	0.0
FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL	-0.5517133	-1.7755601	0.0
GOBP_RRNA_METABOLIC_PROCESS	-0.49508804	-1.5747191	0.0
GOBP_RRNA_PROCESSING	-0.546127	-1.7163049	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_WIF1_HIGH_FIBROBLASTS	-0.60335994	-1.7184492	0.0
GOBP_AEROBIC_RESPIRATION	-0.6512361	-1.9687856	0.0
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.7566477	-2.1645424	0.0
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	-0.46850145	-1.5229951	0.0
GOBP_NEGATIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT	-0.8758707	-1.7877399	0.0
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	-0.54854786	-1.5665185	0.0
GOBP_EOSINOPHIL_CHEMOTAXIS	-0.8870018	-1.6850168	0.0
GOBP_REGULATION_OF_INTEGRIN_ACTIVATION	-0.86507744	-1.7538192	0.0
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	-0.6880924	-1.8614769	0.0
GOBP_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT	-0.7686526	-1.9291135	0.0
ZHONG_PFC_C1_OPC	-0.5632188	-1.7407111	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C3_SKELETAL_PROGENITOR_LIKE_CELL	-0.5313009	-1.6830627	0.0
HE_LIM_SUN_FETAL_LUNG_C2_SPP1_POS_MACROPHAGE_CELL	0.82899237	1.780066	0.0
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	-0.8828825	-1.7400104	0.0
SU_HO_FOETAL_FEMUR_C0_TRANSITIONING_CELL	-0.8907561	-2.6544333	0.0
TRAVAGLINI_LUNG_AIRWAY_SMOOTH_MUSCLE_CELL	-0.80089134	-2.3975582	0.0
TRAVAGLINI_LUNG_BASAL_CELL	-0.7312556	-2.1928267	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_1_CELL	-0.75534236	-2.3846526	0.0
TRAVAGLINI_LUNG_B_CELL	-0.53736466	-1.5737549	0.0
TRAVAGLINI_LUNG_IGSF21_DENDRITIC_CELL	0.79124755	1.6959023	0.0
TRAVAGLINI_LUNG_LYMPHATIC_CELL	-0.551849	-1.7117065	0.0
GOBP_REGULATION_OF_D_GLUCOSE_IMPORT	-0.7315228	-1.6887699	0.0
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	-0.58095145	-1.6047055	0.0
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	-0.90116024	-2.7565424	0.0
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	-0.84866333	-2.0966082	0.0
BUSSLINGER_ESOPHAGEAL_LATE_SUPRABASAL_CELLS	-0.681358	-1.8793603	0.0
AIZARANI_LIVER_C33_STELLATE_CELLS_2	-0.58385473	-1.7187296	0.0
DESCARTES_FETAL_INTESTINE_ENS_GLIA	-0.7729693	-1.8440382	0.0
ZHONG_PFC_MAJOR_TYPES_NPCS	-0.7006453	-2.007721	0.0
CUI_DEVELOPING_HEART_C5_VALVAR_CELL	-0.45795524	-1.4452271	0.0
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	-0.88382494	-2.3965092	0.0
BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	-0.78981936	-2.1128914	0.0
DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS	-0.6371021	-1.7119777	0.0
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	-0.81503475	-2.4045036	0.0
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2	-0.4345157	-1.4490607	0.0
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS	-0.715317	-1.9737303	0.0
GAUTAM_EYE_CHOROID_SCLERA_MELANOCYTES	-0.58786196	-1.7109469	0.0
GAUTAM_EYE_CORNEA_ELF3_HIGH_EPITHELIAL_CELLS	-0.576047	-1.7476721	0.0
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB	-0.706371	-2.163262	0.0
MANNO_MIDBRAIN_NEUROTYPES_BASAL	-0.92982394	-2.386245	0.0
DESCARTES_MAIN_FETAL_MYELOID_CELLS	0.8339706	1.8623616	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL_CELLS	-0.61919063	-1.6891185	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_GLOBOSE_BASAL_CELLS	-0.84321374	-1.8318838	0.0
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	-0.7781674	-2.1670308	0.0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.70751256	-1.7772439	0.0
KEGG_HUNTINGTONS_DISEASE	-0.7024404	-2.1476827	0.0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.6163346	-1.6321636	0.0
GOBP_REGULATION_OF_CALCIUM_ION_IMPORT	-0.79570746	-1.7630119	0.0
FAN_EMBRYONIC_CTX_MICROGLIA_1	-0.6687642	-2.0261528	0.0
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS	-0.48293066	-1.4790468	0.0
GOBP_INTEGRIN_ACTIVATION	-0.84388024	-1.7805922	0.0
CUI_DEVELOPING_HEART_COMPACT_ATRIAL_CARDIOMYOCYTE	-0.9691535	-1.795952	0.0
CUI_DEVELOPING_HEART_ENDOCARDIAL_CELL	-0.7863544	-1.8793803	0.0
TRAVAGLINI_LUNG_CD4_MEMORY_EFFECTOR_T_CELL	-0.6784338	-1.72805	0.0
KEGG_PARKINSONS_DISEASE	-0.682158	-1.923925	0.0
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	-0.74458236	-1.8970675	0.0
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	-0.6865067	-2.02761	0.0
GOBP_REGULATION_OF_CDC42_PROTEIN_SIGNAL_TRANSDUCTION	0.95650023	1.5537711	0.0
BUSSLINGER_GASTRIC_PARIETAL_CELLS	-0.51581705	-1.6316569	0.0
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	0.687905	1.6921265	0.0
MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	-0.5025088	-1.6147112	0.0
DESCARTES_FETAL_PLACENTA_MYELOID_CELLS	0.77102774	1.8027157	0.0
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	0.8889798	1.6713395	0.0
GOBP_REGULATION_OF_GLIAL_CELL_MIGRATION	-0.8830247	-1.7293291	0.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.67833716	-1.8539311	0.0
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	-0.8395307	-1.9356654	0.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.6555815	-2.0377867	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C4_HIGH_GRADE_CHONDROSARCOMA_1	-0.88830686	-2.3758001	0.0
TRAVAGLINI_LUNG_CAPILLARY_AEROCYTE_CELL	-0.7891601	-1.9617342	0.0
KEGG_ALZHEIMERS_DISEASE	-0.61690927	-1.8678828	0.0
