source	score	norm	pval
ZHONG_PFC_MAJOR_TYPES_NPCS	-0.6588259	-1.8022366	0.0
AIZARANI_LIVER_C5_NK_NKT_CELLS_3	0.73358893	1.7322421	0.0
GOBP_MICROTUBULE_BASED_TRANSPORT	-0.56374526	-1.6187868	0.0
GOBP_METANEPHROS_DEVELOPMENT	0.8122203	1.8171275	0.0
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	0.688053	1.7503194	0.0
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.7171224	1.670073	0.0
LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET	0.5836161	1.5924044	0.0
MENON_FETAL_KIDNEY_4_PODOCYTES	-0.6229241	-1.7016685	0.0
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR	0.63916326	1.606387	0.0
LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES	0.6445178	1.6792231	0.0
FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2	0.59222424	1.6142764	0.0
FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL	0.63278276	1.6599195	0.0
HE_LIM_SUN_FETAL_LUNG_C7_SCHWANN_PRECURSOR_CELL	-0.5580469	-1.6373206	0.0
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS	-0.6566606	-1.7124996	0.0
GOBP_REGULATION_OF_BLOOD_PRESSURE	0.67533326	1.6751292	0.0
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS	0.7484516	1.8703897	0.0
BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS	0.6881418	1.7503041	0.0
GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION_VIA_CHROMOSOMAL_CPG_ISLAND_DEMETHYLATION	0.97691214	1.6345209	0.0
GOBP_LOCOMOTORY_BEHAVIOR	0.6386192	1.6309534	0.0
GOBP_POSITIVE_REGULATION_OF_GLIOGENESIS	0.81479824	1.6971917	0.0
GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS	0.9093891	1.6894051	0.0
GOBP_METANEPHRIC_GLOMERULUS_DEVELOPMENT	0.97197014	1.7235836	0.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.7417087	1.9951513	0.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.91930866	1.7194091	0.0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.7765155	1.7506561	0.0
