source	score	norm	pval
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	0.8848288	1.8594251	0.0
GOBP_FEMALE_GAMETE_GENERATION	0.69936895	1.4908818	0.0
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION	-0.88881177	-1.7378298	0.0
GOBP_CENTROSOME_SEPARATION	0.923765	1.6396037	0.0
GOBP_CENTROSOME_DUPLICATION	0.84574157	1.7285222	0.0
GOBP_CENTROMERE_COMPLEX_ASSEMBLY	0.8961593	1.6894779	0.0
GOBP_CENTRIOLE_ASSEMBLY	0.86627406	1.6905683	0.0
GOBP_REGULATORY_NCRNA_MEDIATED_HETEROCHROMATIN_FORMATION	0.9279164	1.6384475	0.0
GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	0.9203989	1.658807	0.0
GOBP_REGULATION_OF_CYTOKINESIS	0.78660095	1.6264334	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES	-0.6174015	-2.0877335	0.0
GOBP_CELLULAR_RESPIRATION	0.6607612	1.423624	0.0
GOBP_INTERSTRAND_CROSS_LINK_REPAIR	0.84801626	1.6309569	0.0
GOBP_INTERLEUKIN_4_PRODUCTION	-0.57446736	-1.6392176	0.0
GOBP_INTERLEUKIN_2_PRODUCTION	-0.45956734	-1.535686	0.0
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS	0.8257311	1.7857403	0.0
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	0.79925853	1.6677424	0.0
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.90888697	1.6700954	0.0
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	0.9177843	1.6338391	0.0
GOBP_AEROBIC_RESPIRATION	0.6826822	1.464891	0.0
FAN_EMBRYONIC_CTX_MICROGLIA_1	0.9391171	2.0216591	0.0
HALLMARK_DNA_REPAIR	0.64216524	1.3628473	0.0
HALLMARK_COAGULATION	-0.36950043	-1.3262795	0.0
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	-0.9460353	-1.9901717	0.0
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX	-0.97863317	-1.862458	0.0
GOBP_OXIDATIVE_PHOSPHORYLATION	0.71286684	1.5159551	0.0
GOBP_OVULATION	-0.919279	-2.0525181	0.0
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.68578976	1.4879575	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	0.7201911	1.5234389	0.0
FAN_EMBRYONIC_CTX_NSC_2	0.90364444	1.9731534	0.0
GOBP_TRANSLESION_SYNTHESIS	0.86922735	1.6200683	0.0
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	-0.37488607	-1.3818302	0.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.40661094	-1.4709461	0.0
HALLMARK_SPERMATOGENESIS	0.723046	1.5187835	0.0
HALLMARK_MYC_TARGETS_V1	0.733374	1.5559508	0.0
HALLMARK_MITOTIC_SPINDLE	0.8198994	1.7706755	0.0
HALLMARK_G2M_CHECKPOINT	0.89738363	1.9411258	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS	-0.39067888	-1.2940335	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES	-0.6509009	-1.9484124	0.0
DESCARTES_MAIN_FETAL_SKELETAL_MUSCLE_CELLS	-0.33721882	-1.1890123	0.0
HE_LIM_SUN_FETAL_LUNG_C0_EARLY_FIBROBLAST	0.88737756	1.852404	0.0
HAY_BONE_MARROW_MONOCYTE	-0.3313214	-1.2150642	0.0
HAY_BONE_MARROW_IMMATURE_NEUTROPHIL	-0.34250233	-1.4563296	0.0
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	-0.29750034	-1.057803	0.0
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	-0.36116648	-1.2453351	0.0
HE_LIM_SUN_FETAL_LUNG_C1_EARLY_TIP_CELL	0.8956634	1.924514	0.0
HE_LIM_SUN_FETAL_LUNG_C0_RESTING_CHONDROCYTE	-0.40292165	-1.5028889	0.0
HE_LIM_SUN_FETAL_LUNG_C2_PROMYELOCYTE_LIKE_CELL	0.89984554	1.7851483	0.0
HE_LIM_SUN_FETAL_LUNG_C2_PROMONOCYTE_LIKE_CELL	0.9040699	1.9770766	0.0
HE_LIM_SUN_FETAL_LUNG_C0_INTERM_CHONDROCYTE	-0.53999966	-1.7261685	0.0
DESCARTES_MAIN_FETAL_MICROGLIA	-0.7047246	-2.239143	0.0
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.71317923	1.5305185	0.0
HU_FETAL_RETINA_BLOOD	0.64010006	1.3853853	0.0
HE_LIM_SUN_FETAL_LUNG_C7_SCHWANN_PRECURSOR_CELL	0.8835585	1.9264686	0.0
HE_LIM_SUN_FETAL_LUNG_C6_DEUTEROSOMAL_CELL	0.8866719	1.9265904	0.0
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	0.9362975	1.870925	0.0
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.84983575	1.7706267	0.0
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.7377357	1.5126492	0.0
GOBP_NUCLEUS_ORGANIZATION	0.7142075	1.5158556	0.0
GOBP_REGULATION_OF_CHEMOTAXIS	-0.35081387	-1.4410436	0.0
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM	-0.38768628	-1.2700425	0.0
GOBP_MITOTIC_SPINDLE_ORGANIZATION	0.8240327	1.7526996	0.0
GOBP_MITOTIC_SPINDLE_ELONGATION	0.9780576	1.6428491	0.0
GOBP_MITOTIC_SPINDLE_ASSEMBLY	0.8164026	1.6699477	0.0
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	0.9134684	1.8673184	0.0
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.8711146	1.8724095	0.0
GOBP_IMMUNOGLOBULIN_PRODUCTION	0.7219649	1.48897	0.0
GOBP_RESPONSE_TO_IONIZING_RADIATION	0.71781445	1.5195322	0.0
GOBP_REGULATION_OF_CHROMOSOME_CONDENSATION	0.93212223	1.6209204	0.0
HALLMARK_E2F_TARGETS	0.8781074	1.8891579	0.0
GOBP_CHROMOSOME_SEPARATION	0.91874224	1.8979192	0.0
GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	0.8175979	1.648911	0.0
GOBP_CHROMOSOME_LOCALIZATION	0.8426443	1.7692828	0.0
GOBP_CHROMOSOME_CONDENSATION	0.9224557	1.7329818	0.0
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	-0.2889996	-1.2253332	0.0
GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION	0.8460769	1.6812692	0.0
HE_LIM_SUN_FETAL_LUNG_C0_MID_AIRWAY_SMC_2_CELL	-0.40650713	-1.489397	0.0
HE_LIM_SUN_FETAL_LUNG_C0_MESENCHYMAL_2_CELL	0.8571115	1.8872882	0.0
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.87393117	1.7578462	0.0
KEGG_PYRIMIDINE_METABOLISM	0.69166243	1.4599181	0.0
DESCARTES_FETAL_LUNG_BRONCHIOLAR_AND_ALVEOLAR_EPITHELIAL_CELLS	-0.6217451	-1.6245427	0.0
DESCARTES_FETAL_INTESTINE_STROMAL_CELLS	-0.75765556	-1.8780302	0.0
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	-0.46517408	-2.0516682	0.0
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	0.66212755	1.4318106	0.0
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA	0.6477625	1.404067	0.0
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.73581845	1.5722734	0.0
