,source,score,norm,pval,state,pval_plot,ng_log_p
0,HALLMARK_HYPOXIA,-0.66866815,-1.6933182,0.0,OPC-NPC-like 1,0.0004997501249375312,7.601402334583733
1,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,-0.6690515,-1.7328539,0.0,OPC-NPC-like 1,0.0004997501249375312,7.601402334583733
2,GOBP_PROTEIN_FOLDING,-0.6273818,-1.5067577,0.0010695187,OPC-NPC-like 1,0.0010695187,6.840546544788687
3,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,-0.59274334,-1.4626315,0.0010810811,OPC-NPC-like 1,0.0010810811,6.829793720012425
4,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,-0.6365008,-1.5307541,0.0010834236,OPC-NPC-like 1,0.0010834236,6.827629251702852
5,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.63839185,-1.4918333,0.0033482143,OPC-NPC-like 1,0.0033482143,5.699328120040154
6,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,-0.5751123,-1.3673614,0.01880531,OPC-NPC-like 1,0.01880531,3.9736160022183133
7,GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS,-0.8149838,-1.4429142,0.023929471,OPC-NPC-like 1,0.023929471,3.7326444834491164
8,GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,-0.69045305,-1.39666,0.02706027,OPC-NPC-like 1,0.02706027,3.609688678462222
9,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,-0.5334138,-1.3275752,0.028907923,OPC-NPC-like 1,0.028907923,3.5436395691874765
10,GOBP_REGULATION_OF_WOUND_HEALING,-0.56612164,-1.3393013,0.034065936,OPC-NPC-like 1,0.034065936,3.379457338251558
11,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,-0.48556274,-1.2341056,0.06784969,OPC-NPC-like 1,0.06784969,2.690460461613686
12,GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,-0.70284116,-1.2977687,0.10306749,OPC-NPC-like 1,0.10306749,2.272371262611836
13,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,0.73459613,2.1425493,0.0,AC progenitor-like 2,0.0004997501249375312,7.601402334583733
14,GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS,-0.78453285,-1.4427683,0.06809338,AC progenitor-like 2,0.06809338,2.686875280537183
15,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,-0.4006586,-1.1956959,0.11290322,AC progenitor-like 2,0.11290322,2.181224287418351
16,HALLMARK_HYPOXIA,-0.35123357,-1.0827973,0.26865673,AC progenitor-like 2,0.26865673,1.314320810939247
17,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,0.42691636,1.1087769,0.29126215,AC progenitor-like 2,0.29126215,1.2335315582341482
18,GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,0.50513375,0.9777657,0.5,AC progenitor-like 2,0.5,0.6931471805599453
19,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.37755153,0.94566625,0.5514334,AC progenitor-like 2,0.5514334,0.5952342091402276
20,GOBP_REGULATION_OF_WOUND_HEALING,0.35860953,0.9217112,0.5951613,AC progenitor-like 2,0.5951613,0.5189228177384476
21,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.3402969,0.8851167,0.6695353,AC progenitor-like 2,0.6695353,0.40117138932601015
22,GOBP_PROTEIN_FOLDING,0.32995367,0.8689132,0.6884984,AC progenitor-like 2,0.6884984,0.3732422847086478
23,GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,-0.35878935,-0.81614834,0.74387527,AC progenitor-like 2,0.74387527,0.2958819060529791
24,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,0.27891278,0.7595649,0.9452888,AC progenitor-like 2,0.9452888,0.056264789711540836
25,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,-0.26113617,-0.80809647,0.9589905,AC progenitor-like 2,0.9589905,0.04187411030000703
26,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,0.83272105,2.1046438,0.0,AC progenitor-like 1,0.0004997501249375312,7.601402334583733
27,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,0.70913196,1.6644238,0.0012360939,AC progenitor-like 1,0.0012360939,6.695798951958492
28,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.67372805,1.555881,0.0037082818,AC progenitor-like 1,0.0037082818,5.597186636323715
29,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.5931794,1.417213,0.015081206,AC progenitor-like 1,0.015081206,4.194305946125234
30,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,0.58687484,1.4213868,0.015700484,AC progenitor-like 1,0.015700484,4.1540637390775705
31,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6573159,1.4771094,0.017264277,AC progenitor-like 1,0.017264277,4.0591158256460504
32,HALLMARK_HYPOXIA,0.5544505,1.3614631,0.01920904,AC progenitor-like 1,0.01920904,3.952374277422302
33,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.52360874,1.2982914,0.044267878,AC progenitor-like 1,0.044267878,3.117495966524482
34,GOBP_REGULATION_OF_WOUND_HEALING,0.5761477,1.3166989,0.06257822,AC progenitor-like 1,0.06257822,2.7713379847381296
35,GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,0.7105615,1.2553066,0.16104294,AC progenitor-like 1,0.16104294,1.8260842414834157
36,GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,0.61689824,1.1988814,0.22547585,AC progenitor-like 1,0.22547585,1.4895422211182006
37,GOBP_PROTEIN_FOLDING,0.49378356,1.1446246,0.24399494,AC progenitor-like 1,0.24399494,1.4106077916088824
38,GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS,0.46245238,0.7772274,0.76959246,AC progenitor-like 1,0.76959246,0.2618941769759314
39,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.67952055,1.7466037,0.0,AC-gliosis-like 1,0.0004997501249375312,7.601402334583733
40,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.71487266,1.8051838,0.0,AC-gliosis-like 1,0.0004997501249375312,7.601402334583733
41,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,0.5625543,1.6012022,0.0,AC-gliosis-like 1,0.0004997501249375312,7.601402334583733
42,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.7169168,1.705149,0.0,AC-gliosis-like 1,0.0004997501249375312,7.601402334583733
43,GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS,0.8960229,1.5449933,0.006342495,AC-gliosis-like 1,0.006342495,5.060483054823824
44,GOBP_REGULATION_OF_WOUND_HEALING,0.60259825,1.4749223,0.012345679,AC-gliosis-like 1,0.012345679,4.394449155672438
45,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,0.59440124,1.501722,0.017152658,AC-gliosis-like 1,0.017152658,4.065602131956448
46,HALLMARK_HYPOXIA,0.5191644,1.4064202,0.017211704,AC-gliosis-like 1,0.017211704,4.062165661457866
47,GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,0.78368783,1.4393018,0.053169735,AC-gliosis-like 1,0.053169735,2.9342659354918514
48,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,0.4879425,1.2889664,0.07394958,AC-gliosis-like 1,0.07394958,2.6043717693546413
49,GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,0.5371928,1.1035657,0.32862905,AC-gliosis-like 1,0.32862905,1.1128256719304366
50,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.33503148,0.91460264,0.669967,AC-gliosis-like 1,0.669967,0.40052682154147345
51,GOBP_PROTEIN_FOLDING,0.309017,0.7738385,0.9009009,AC-gliosis-like 1,0.9009009,0.10436001632424276
52,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.7068682,1.740747,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
53,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.6766522,1.7201213,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
54,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,0.6252894,1.6067502,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
55,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.72504866,1.7169113,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
56,HALLMARK_HYPOXIA,0.70889544,1.8832895,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
57,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,0.644452,1.580801,0.0024630541,Gliosis-like,0.0024630541,6.006353195001733
58,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.550625,1.4651117,0.004454343,Gliosis-like,0.004454343,5.413875703682309
59,GOBP_REGULATION_OF_WOUND_HEALING,0.6342206,1.539376,0.004914005,Gliosis-like,0.004914005,5.3156659873826495
60,GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,0.7989224,1.5004389,0.00591716,Gliosis-like,0.00591716,5.129898674923075
61,GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS,0.8663569,1.5244433,0.00882353,Gliosis-like,0.00882353,4.730333262275433
62,GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,0.73724097,1.5327386,0.01010101,Gliosis-like,0.01010101,4.59511986013459
63,GOBP_PROTEIN_FOLDING,0.5781146,1.4296561,0.020581113,Gliosis-like,0.020581113,3.8833814684059393
64,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,0.34143832,0.9331548,0.64554244,Gliosis-like,0.64554244,0.43766432337413913
65,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.48652542,1.5531931,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
66,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,0.57495683,1.6786207,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
67,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,0.5554087,1.7071089,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
68,GOBP_PROTEIN_FOLDING,0.74923617,2.1387143,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
69,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.6047778,1.8134111,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
70,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5944942,1.6525872,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
71,HALLMARK_HYPOXIA,0.7983726,2.5107844,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
72,GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS,0.90611905,1.6908971,0.0025641026,Hypoxic 1,0.0025641026,5.966146725123692
73,GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,0.8552252,1.7637786,0.0027247956,Hypoxic 1,0.0027247956,5.90536186285457
74,GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,0.84040195,1.9622818,0.0029411765,Hypoxic 1,0.0029411765,5.8289456076102075
75,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,0.35981718,1.1962013,0.055555556,Hypoxic 1,0.055555556,2.8903717498961647
76,GOBP_REGULATION_OF_WOUND_HEALING,0.45473972,1.2906717,0.075630255,Hypoxic 1,0.075630255,2.5818988774419775
77,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.33339167,0.96158355,0.56682026,Hypoxic 1,0.56682026,0.5677130272737336
