,annotation_coarse,feature,mean,proportion
0,AC-gliosis-like,JUN,0.6735681101729288,0.38929721291749325
1,AC-progenitor-like,JUN,0.642956409221686,0.3782774017711431
2,Gliosis-like,JUN,0.7586714888268155,0.43646077522760723
3,Hypoxic,JUN,1.0,0.41936094881471014
4,NPC-neuronal-like,JUN,0.18860007485597954,0.23901468667115316
5,OPC-NPC-like,JUN,0.0,0.14028612788377523
6,OPC-like,JUN,0.40827523732712057,0.27710632923298106
7,OPC-neuronal-like,JUN,0.14279017645729108,0.20596891923710856
8,Proliferative,JUN,0.5541096331913224,0.3590325188645347
9,AC-gliosis-like,IL6R,0.6024925345383878,0.11070278708250675
10,AC-progenitor-like,IL6R,0.3231816059726424,0.06615691764764359
11,Gliosis-like,IL6R,1.0,0.2069454287739192
12,Hypoxic,IL6R,0.6362394125650593,0.10379846429560124
13,NPC-neuronal-like,IL6R,0.0,0.014508530937017537
14,OPC-NPC-like,IL6R,0.0052570337733845365,0.011437290522828936
15,OPC-like,IL6R,0.21775656421608894,0.0433257865353479
16,OPC-neuronal-like,IL6R,0.022276037393882956,0.01736519896397457
17,Proliferative,IL6R,0.22774778305403545,0.05176518145885735
18,AC-gliosis-like,IFI16,0.5636816893696434,0.28807440892386743
19,AC-progenitor-like,IFI16,0.9148420391285171,0.39298998450871075
20,Gliosis-like,IFI16,0.5955721281185254,0.3050755056424794
21,Hypoxic,IFI16,0.7779611144831178,0.32809289991694957
22,NPC-neuronal-like,IFI16,0.12759638259488115,0.20785004552472192
23,OPC-NPC-like,IFI16,0.0,0.1328655824932511
24,OPC-like,IFI16,0.26130332685532176,0.2080027410328588
25,OPC-neuronal-like,IFI16,0.12629297517620897,0.182010831174947
26,Proliferative,IFI16,1.0,0.41362738052461373
27,AC-gliosis-like,TGFB2,0.8120672306272981,0.2842368857523822
28,AC-progenitor-like,TGFB2,0.9128856777895812,0.30636302635175994
29,Gliosis-like,TGFB2,1.0,0.33026222537207656
30,Hypoxic,TGFB2,0.4091638086145126,0.16311395392886804
31,NPC-neuronal-like,TGFB2,0.15736036758037764,0.1052016943113891
32,OPC-NPC-like,TGFB2,0.0,0.05605185252807157
33,OPC-like,TGFB2,0.22430814784894162,0.11685668025986067
34,OPC-neuronal-like,TGFB2,0.07092257583423374,0.06828349423122204
35,Proliferative,TGFB2,0.3022245813990207,0.15585698886094143
36,AC-gliosis-like,EPCAM,0.0,0.011203616377768382
37,AC-progenitor-like,EPCAM,0.16298117070317214,0.01429837714247844
38,Gliosis-like,EPCAM,0.5506840275263017,0.02578640353268277
39,Hypoxic,EPCAM,0.37539052493466035,0.016901490536622325
40,NPC-neuronal-like,EPCAM,0.41553571085375557,0.021683622976129212
41,OPC-NPC-like,EPCAM,1.0,0.028873615983515694
42,OPC-like,EPCAM,0.27121353674824067,0.016117004481051266
43,OPC-neuronal-like,EPCAM,0.32962813560452814,0.018130445020014128
44,Proliferative,EPCAM,0.24843235705447858,0.018213259072942866
45,AC-gliosis-like,REL,0.07703951376901279,0.1113044326644769
46,AC-progenitor-like,REL,0.09644998986208254,0.11186036300978354
47,Gliosis-like,REL,0.43783948956844576,0.17074633375129478
48,Hypoxic,REL,1.0,0.1697288476388909
49,NPC-neuronal-like,REL,0.35681013411820467,0.14577807687739994
50,OPC-NPC-like,REL,0.0,0.0898942344057695
51,OPC-like,REL,0.2095944659671172,0.10991676128156723
52,OPC-neuronal-like,REL,0.004459474561143034,0.09612667765481517
