,rao_q
PD60967c_lo0007,51.32474217912617
PD60967c_lo0014,108.41129761500588
PD60967c_lo0012,53.067209467735225
PD60967a_lo0033,174.14002990747198
PD60967a_lo0027,176.62532598698067
PD60967a_lo0028,164.9222666903746
PD60967a_lo0031,125.26873394032604
PD60967a_lo0035,202.03710953539942
PD60967a_lo0036,217.6298176715623
PD60967a_lo0037,241.79439848754117
PD60967a_lo0039,125.46083848685505
PD60967a_lo0026,165.70852599964414
PD60967a_lo0030,176.46813569344417
PD60967a_lo0025,196.78438531156007
PD60967a_lo0005,260.28016773373315
PD60967a_lo0004,211.90956446112074
PD60967a_lo0003,236.09046989514655
PD60967a_lo0023,317.1017254893769
PD60967a_lo0020,288.1625788217121
PD60967a_lo0009,322.0471330727076
PD60967a_lo0019,315.08244451393733
PD60967a_lo0022,304.5790702542487
PD60967c_lo0030,43.92268138441085
PD60967c_lo0023,38.397326331803335
PD60967c_lo0027,47.934323469687236
PD60967c_lo0021,36.55592889845885
PD60967c_lo0006,156.9782176250128
PD60967c_lo0015,152.6598297330341
PD60967c_lo0002,160.1848778731046
PD60967c_lo0005,171.54768660615653
PD60967a_lo0040,351.9707359086864
PD60967a_lo0034,270.6639207641285
PD60967a_lo0013,322.6974571474216
PD60967a_lo0015,322.66739274789506
PD60967a_lo0014,311.7363316374616
