,PDID,cluster_pt,cluster_st
6,PD60967c_lo0002,LCM: 1,ST: 0
7,PD60967c_lo0015,LCM: 1,ST: 0
9,PD60967c_lo0021,LCM: 2,ST: 0
12,PD60967c_lo0030,LCM: 2,ST: 0
11,PD60967c_lo0023,LCM: 2,ST: 0
10,PD60967c_lo0027,LCM: 2,ST: 0
8,PD60967c_lo0006,LCM: 1,ST: 0
32,PD60967c_lo0012,LCM: 6,ST: 0
33,PD60967c_lo0014,LCM: 6,ST: 0
14,PD60967a_lo0019,LCM: 3,ST: 1
2,PD60967a_lo0013,LCM: 0,ST: 1
4,PD60967a_lo0040,LCM: 0,ST: 1
15,PD60967a_lo0009,LCM: 3,ST: 1
22,PD60967a_lo0030,LCM: 5,ST: 1
3,PD60967a_lo0034,LCM: 0,ST: 1
0,PD60967a_lo0014,LCM: 0,ST: 1
28,PD60967a_lo0031,LCM: 5,ST: 1
29,PD60967a_lo0028,LCM: 5,ST: 1
30,PD60967a_lo0027,LCM: 5,ST: 1
21,PD60967a_lo0025,LCM: 5,ST: 1
27,PD60967a_lo0035,LCM: 5,ST: 1
26,PD60967a_lo0036,LCM: 5,ST: 1
25,PD60967a_lo0037,LCM: 5,ST: 1
24,PD60967a_lo0039,LCM: 5,ST: 1
31,PD60967a_lo0033,LCM: 5,ST: 1
34,PD60967c_lo0007,LCM: 6,ST: 1
23,PD60967a_lo0026,LCM: 5,ST: 1
16,PD60967a_lo0020,LCM: 3,ST: 1
20,PD60967a_lo0005,LCM: 4,ST: 2
13,PD60967a_lo0022,LCM: 3,ST: 2
1,PD60967a_lo0015,LCM: 0,ST: 2
5,PD60967c_lo0005,LCM: 1,ST: 2
19,PD60967a_lo0004,LCM: 4,ST: 2
18,PD60967a_lo0003,LCM: 4,ST: 2
17,PD60967a_lo0023,LCM: 3,ST: 2
