,index,"('OPC-NPC-like', 'Neuron-like')","('Neuron-like', 'AC-gliosis-hypoxia')","('OPC-NPC-like', 'AC-gliosis-hypoxia')",Average,pass,counts,max_time,pass_counts,good_clones
1,at10_2,0.9166666666666666,0.8739232576350823,0.8786217697729053,0.8897372313582181,True,5440,67.15701079368591,True,True
3,at6_0,0.625,0.581140350877193,0.9824561403508772,0.72953216374269,True,3476,69.9999725818634,True,True
4,at10_1,0.230392156862745,0.9527415143603132,0.9569190600522192,0.7133509104250925,True,6519,68.50579118728638,True,True
5,at4_0,0.0272277227722772,0.995260663507109,0.9173067494688676,0.6465983785827513,True,14602,118.85661268234252,True,True
6,at15_2,0.0010498687664041,0.9507389162561576,0.8374384236453202,0.5964090695559606,True,3109,33.93726849555969,True,True
8,at4_1,0.0159090909090909,0.9927007299270072,0.7504976775049768,0.5863691661136917,True,5804,70.14886236190796,True,True
11,at15_4,0.0024193548387096,0.9246200607902736,0.7416413373860182,0.5562269176716672,True,25146,210.5534553527832,True,True
12,at15_0,0.0015948963317384,0.913793103448276,0.7389162561576355,0.5514347519792167,True,2879,54.26688098907471,True,True
13,at9_2,0.116867469879518,0.7614533965244866,0.7740916271721959,0.5508041645254003,True,11317,192.7959690093994,True,True
14,at5_4,0.9019607843137256,0.0,0.7415730337078652,0.5478446060071969,True,2161,31.978657722473145,True,True
15,at15_6,0.0019929771282148,0.874675885911841,0.7355229040622299,0.5373972557007619,True,14901,229.76602363586423,True,True
17,at10_0,0.1756821445667783,0.5,0.8401639344262295,0.5052820263310026,True,2731,34.76452922821045,True,True
18,at15_3,0.0033975084937712,0.9814356435643564,0.452970297029703,0.4792678163626102,True,2691,67.02764797210693,True,True
23,at4_2,0.0,0.992082825822168,0.0066991473812423,0.3329273244011368,True,4670,60.319536209106445,True,True
30,at3_3,0.1666666666666666,0.1839520559347428,0.2155818212085899,0.1887335146033331,True,7077,101.40422058105467,True,True
35,at13_0,0.0833333333333333,0.3100616016427104,0.0217975043437055,0.1383974797732498,True,6882,49.99755835533142,True,True
40,at7_0,0.2222222222222222,0.0064458768615247,0.0855745721271393,0.1047475570702954,True,5895,114.22668743133544,True,True
42,at9_0,0.1896551724137931,0.046642408203771,0.058220310949388,0.0981726305223174,True,12423,103.2622606754303,True,True
45,at5_9,0.0192307692307692,0.1415929203539823,0.0884955752212389,0.0831064216019968,True,2216,30.63882780075073,True,True
47,at6_4,0.2,0.0109574745630054,0.0174797808505087,0.0761457518045047,True,4132,27.408461093902588,True,True
51,at5_2,0.0049382716049382,0.1031390134529148,0.0358744394618834,0.0479839081732454,True,2734,77.13541746139526,True,True
52,at6_5,0.0666666666666666,0.0273703141684932,0.0202326757713707,0.0380898855355102,True,21882,119.7289776802063,True,True
54,at9_4,0.0196078431372549,0.0351210251542477,0.0094921689606074,0.02140701241737,True,11929,203.31472373008728,True,True
