donor,0,1,2,3,4,5,6,7,8,9
AT3,7042.0,1936.0,11743.0,7077.0,3102.0,,,,,
AT4,14602.0,5804.0,4670.0,,,,,,,
AT5,576.0,1530.0,2734.0,1713.0,2161.0,2533.0,467.0,304.0,1928.0,2216.0
AT6,3476.0,7014.0,327.0,518.0,4132.0,21882.0,719.0,,,
AT7,5895.0,1598.0,,,,,,,,
AT9,12423.0,1506.0,11317.0,958.0,11929.0,,,,,
AT10,2731.0,6519.0,5440.0,702.0,934.0,,,,,
AT11,2134.0,2545.0,132.0,782.0,,,,,,
AT12,1800.0,1804.0,1313.0,82.0,574.0,,,,,
AT13,6882.0,,,,,,,,,
AT14,331.0,999.0,1894.0,448.0,,,,,,
AT15,2879.0,1570.0,3109.0,2691.0,25146.0,1256.0,14901.0,,,
