index,variable,value,stateA,stateB,ID_col,classA,classB
at6_0,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.9375,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at4_1,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.9723756906077348,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at5_4,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.8695652173913043,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at15_3,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.9017094017094016,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at15_0,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.978021978021978,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at15_2,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.9829545454545454,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at15_6,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.974921630094044,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at4_0,"('OPC-NPC-like 1', 'AC progenitor-like 2')",0.9635284139100933,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at10_0,"('OPC-NPC-like 1', 'AC progenitor-like 2')",1.0,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
at7_0,"('OPC-NPC-like 1', 'AC progenitor-like 2')",1.0,OPC-NPC-like 1,AC progenitor-like 2,OPC-NPC-like 1 > AC progenitor-like 2,OPC-NPC-like,AC-gliosis-hypoxia
