,Hypoxic,Gliosis-like,AC-gliosis-like,AC-progenitor-like,Proliferative,NPC-neuronal-like,OPC-neuronal-like,OPC-NPC-like,OPC-like
OPC-like,-0.7811023481379004,-0.912095599638213,-0.9032246402984677,-0.5891451915710854,-0.6405592570945436,0.2849568625733942,0.10936393293415704,1.6776287991023218,1.7541774421303362
NPC-neuronal-like 2,-0.7858769648913521,-0.9025689595686226,-0.8125647743517669,-0.828926019832221,-0.5450809266993142,2.228981319309958,0.5790552392972245,0.6922144893185045,0.3747665974175898
NPC-OPC-like 1,-0.7650731896606497,-1.242880585055268,-0.9188402449034425,0.041111289105086844,0.017336221329843807,-0.6712765118961183,0.26324939367920974,1.8993652159257273,1.37700841147561
NPC-OPC-like 2,-0.9970511543779683,-1.280009384513771,-0.5067366494241873,-0.1109653763132455,-0.6253799202243714,1.1152103389787453,1.9053801770038992,-0.34533987655067555,0.844891845421574
NPC-neuronal-like 3,-1.3350398651151383,-1.3733923573137015,-0.4237214417472516,-0.2970865460521859,0.45946424818362364,1.9645134651637421,0.985219610123904,-0.09576755980238155,0.11581044655938884
NPC-neuronal-like 1,-0.7275784139981503,-0.7520433782191146,-0.25466554330153424,-0.5947610622010762,-0.795019796438905,2.492671139430389,0.790232371856964,-0.12367673736062129,-0.03515857976795127
Cycling,-0.53777880900715,-0.7023422597848444,-0.6267326576463552,-0.6507131843261212,2.6010804246287886,-0.6359347081229585,-0.017990421182077092,0.46993147071172386,0.10048014472899416
AC-gliosis-like 1,0.06383409169664458,1.4163961245702854,1.6648029818009173,0.0976807653339833,-0.557215204977382,-1.0816522919053677,0.5113612218515537,-1.3964505499265174,-0.718757138444116
AC-progenitor-like,-0.3193460744902893,-0.2587162032797836,1.1380920178567047,2.27921389268897,0.012117226570082297,-1.07352317644108,-0.6405354263050456,-0.8249731131271429,-0.3123291434724149
Gliosis-hypoxia,1.3762133489453934,1.9698474569341875,0.5687666862435085,-0.311907472529255,-0.5713471803840109,-1.0233406831055771,-0.6324893214558867,-0.8939239958857944,-0.4818188387625661
AC-gliosis-like 2,0.15370347038696655,1.3094006624547438,1.1698730959276018,1.4384671154660857,-0.36030794971436436,-1.168952357441454,-1.0018528156212467,-1.0326192379077088,-0.5077119835506244
AC-NPC-OPC-like 1,-0.7566181837045446,-0.445518751740344,0.5645994140165476,-0.17661378381384163,-1.5113296864244181,2.26723109252883,0.5045087989015725,-0.4473170499169834,0.0010581501531853601
