,predictions,feature,mean,proportion
0,AC-gliosis-like,AQP4,0.28248873,0.44920219099785663
1,AC-progenitor-like,AQP4,1.0,0.7721601096161975
2,Gliosis-like,AQP4,0.46703845,0.6294875154419196
3,Hypoxic,AQP4,0.09769939,0.24068682649054535
4,NPC-neuronal-like,AQP4,0.11057609,0.31164047151277013
5,OPC-NPC-like,AQP4,0.06462284,0.23896231315288277
6,OPC-like,AQP4,0.075176485,0.22586475656755955
7,OPC-neuronal-like,AQP4,0.0,0.05465158480522623
8,Proliferative,AQP4,0.064205356,0.2194326150977775
9,AC-gliosis-like,CENPF,0.068039134,0.10404858299595142
10,AC-progenitor-like,CENPF,0.04542249,0.08805008527323878
11,Gliosis-like,CENPF,0.01684937,0.06466888780743459
12,Hypoxic,CENPF,0.0,0.05044429015677054
13,NPC-neuronal-like,CENPF,0.083045706,0.11143172888015718
14,OPC-NPC-like,CENPF,0.11705628,0.13757911544602835
15,OPC-like,CENPF,0.188615,0.17144032056002373
16,OPC-neuronal-like,CENPF,0.15542117,0.14967940962980886
17,Proliferative,CENPF,1.0,0.4559348008785497
18,AC-gliosis-like,DCX,0.096172094,0.2101690878780662
19,AC-progenitor-like,DCX,0.0715545,0.1792560092124251
20,Gliosis-like,DCX,0.0,0.07548759031183319
21,Hypoxic,DCX,0.0010739815,0.07291842914403403
22,NPC-neuronal-like,DCX,1.0,0.7433079567779961
23,OPC-NPC-like,DCX,0.54509026,0.5934476058559859
24,OPC-like,DCX,0.28303477,0.4132374458481165
25,OPC-neuronal-like,DCX,0.2628984,0.39741108153883375
26,Proliferative,DCX,0.25041422,0.3800363002041004
27,AC-gliosis-like,DLL3,0.07322137,0.35484639199809476
28,AC-progenitor-like,DLL3,0.026993083,0.22084311181726746
29,Gliosis-like,DLL3,0.0,0.15138696514805525
30,Hypoxic,DLL3,0.01642968,0.17437294701774245
31,NPC-neuronal-like,DLL3,0.17661647,0.581102652259332
32,OPC-NPC-like,DLL3,1.0,0.8956157057386352
33,OPC-like,DLL3,0.31532595,0.6715981141277841
34,OPC-neuronal-like,DLL3,0.16764522,0.5585833534962497
35,Proliferative,DLL3,0.25167724,0.592293622040015
36,AC-gliosis-like,DSCAM,0.13692789,0.020862110026196715
37,AC-progenitor-like,DSCAM,0.0009175044,0.007208139585732402
38,Gliosis-like,DSCAM,0.0,0.007112641784898738
39,Hypoxic,DSCAM,0.04862997,0.011978039288902374
40,NPC-neuronal-like,DSCAM,0.15970239,0.021795186640471514
41,OPC-NPC-like,DSCAM,0.3568535,0.040601373578807644
42,OPC-like,DSCAM,1.0,0.06937179033538306
43,OPC-neuronal-like,DSCAM,0.2207883,0.02573796273893056
44,Proliferative,DSCAM,0.14907174,0.021384633855237044
45,AC-gliosis-like,GFAP,0.42452776,0.9448201952845916
46,AC-progenitor-like,GFAP,1.0,0.9868883284987537
47,Gliosis-like,GFAP,0.45081043,0.9532998914386254
48,Hypoxic,GFAP,0.053961113,0.6895044837424226
49,NPC-neuronal-like,GFAP,0.37126172,0.9335093320235757
50,OPC-NPC-like,GFAP,0.2916964,0.9295127065658606
51,OPC-like,GFAP,0.2193293,0.8136601413447837
52,OPC-neuronal-like,GFAP,0.0,0.4536656181950157
53,Proliferative,GFAP,0.19974613,0.8737755743412643
54,AC-gliosis-like,GRIA4,0.18346567,0.09886877828054298
55,AC-progenitor-like,GRIA4,0.18819912,0.10435768115097008
56,Gliosis-like,GRIA4,0.051499747,0.0495264477969528
57,Hypoxic,GRIA4,0.0,0.028483579059143393
58,NPC-neuronal-like,GRIA4,0.8596171,0.29776522593320237
59,OPC-NPC-like,GRIA4,0.5034346,0.2009003289663531
60,OPC-like,GRIA4,0.7558352,0.25439192096933066
61,OPC-neuronal-like,GRIA4,1.0,0.33329300750060487
62,Proliferative,GRIA4,0.31942067,0.1461330395417982
63,AC-gliosis-like,GRIK2,0.054233707,0.05261967135032151
64,AC-progenitor-like,GRIK2,0.03332696,0.043350873868489716
65,Gliosis-like,GRIK2,0.0015109807,0.026934451390708644
66,Hypoxic,GRIK2,0.0,0.02470288278091215
67,NPC-neuronal-like,GRIK2,1.0,0.33711935166994106
68,OPC-NPC-like,GRIK2,0.24818087,0.1314903522440892
69,OPC-like,GRIK2,0.38510758,0.17889008960761998
70,OPC-neuronal-like,GRIK2,0.46432465,0.211922332446165
71,Proliferative,GRIK2,0.115387626,0.08010056710241036
72,AC-gliosis-like,HILPDA,0.017301504,0.26226482495832343
73,AC-progenitor-like,HILPDA,0.013427363,0.26950716440971967
74,Gliosis-like,HILPDA,0.36804593,0.6344476472129674
75,Hypoxic,HILPDA,1.0,0.8741051476980344
76,NPC-neuronal-like,HILPDA,0.01786932,0.3069130648330059
77,OPC-NPC-like,HILPDA,0.011672303,0.2842192339508667
78,OPC-like,HILPDA,0.014634922,0.26166955157937016
79,OPC-neuronal-like,HILPDA,0.0,0.20956327123155094
80,Proliferative,HILPDA,0.019362245,0.3028665861564864
81,AC-gliosis-like,MKI67,0.04853879,0.038163848535365565
82,AC-progenitor-like,MKI67,0.034539435,0.033613690363395184
83,Gliosis-like,MKI67,0.0075296676,0.023995807284842584
84,Hypoxic,MKI67,0.0,0.021243078933703623
85,NPC-neuronal-like,MKI67,0.06570284,0.04266944990176817
86,OPC-NPC-like,MKI67,0.10017346,0.05413516477174352
87,OPC-like,MKI67,0.21753345,0.08502682490651926
88,OPC-neuronal-like,MKI67,0.18632361,0.07533873699491894
89,Proliferative,MKI67,1.0,0.2690240612442354
90,AC-gliosis-like,MYT1L,0.002400227,0.0027268397237437485
91,AC-progenitor-like,MYT1L,0.002442307,0.0027659140270833637
92,Gliosis-like,MYT1L,0.00049252197,0.002002770186800434
93,Hypoxic,MYT1L,0.0,0.0018728449156052906
94,NPC-neuronal-like,MYT1L,1.0,0.22918713163064833
95,OPC-NPC-like,MYT1L,0.02324058,0.009618899213174045
96,OPC-like,MYT1L,0.087685436,0.031233563170024962
97,OPC-neuronal-like,MYT1L,0.091176905,0.03139366077909509
98,Proliferative,MYT1L,0.0076923505,0.00462580421901594
99,AC-gliosis-like,OLIG1,0.33214536,0.30628721124077163
100,AC-progenitor-like,OLIG1,0.11089902,0.13093086308178942
101,Gliosis-like,OLIG1,0.018440226,0.05216561224871785
102,Hypoxic,OLIG1,0.0,0.032077574286597785
103,NPC-neuronal-like,OLIG1,0.09909525,0.137463163064833
104,OPC-NPC-like,OLIG1,1.0,0.5634366403108828
105,OPC-like,OLIG1,0.5955903,0.43914428070041217
106,OPC-neuronal-like,OLIG1,0.3913766,0.3612690539559642
107,Proliferative,OLIG1,0.46897247,0.39314392254073177
108,AC-gliosis-like,PDGFRA,0.008892173,0.18354370088116218
109,AC-progenitor-like,PDGFRA,0.011773502,0.2126874918006501
110,Gliosis-like,PDGFRA,0.0,0.1645266349717366
111,Hypoxic,PDGFRA,0.0067750476,0.19077930185475825
112,NPC-neuronal-like,PDGFRA,0.058211554,0.25521856581532415
113,OPC-NPC-like,PDGFRA,0.04046682,0.30567899809545795
114,OPC-like,PDGFRA,0.45919272,0.6572628075779166
115,OPC-neuronal-like,PDGFRA,1.0,0.7533268812000968
116,Proliferative,PDGFRA,0.09857414,0.3097099514820229
117,AC-gliosis-like,RYR3,0.57208145,0.15797809002143368
118,AC-progenitor-like,RYR3,0.31564417,0.11968499919828579
119,Gliosis-like,RYR3,0.11357692,0.07960543555572193
120,Hypoxic,RYR3,0.0,0.051319451332287026
121,NPC-neuronal-like,RYR3,1.0,0.21279469548133595
122,OPC-NPC-like,RYR3,0.1527924,0.08667590080991132
123,OPC-like,RYR3,0.009317422,0.051144242447426054
124,OPC-neuronal-like,RYR3,0.24760202,0.09115654488265183
125,Proliferative,RYR3,0.20908217,0.09499495045798993
126,AC-gliosis-like,SERPINE1,1.0,0.3471898070969278
127,AC-progenitor-like,SERPINE1,0.17848906,0.1351835925542615
128,Gliosis-like,SERPINE1,0.94546443,0.3413506532399955
129,Hypoxic,SERPINE1,0.64160836,0.23501578207319848
130,NPC-neuronal-like,SERPINE1,0.021092594,0.0706041257367387
131,OPC-NPC-like,SERPINE1,0.0,0.06202266212654624
132,OPC-like,SERPINE1,0.038800098,0.07371350426042633
133,OPC-neuronal-like,SERPINE1,0.0441654,0.07648802322767966
134,Proliferative,SERPINE1,0.13871658,0.11390778053207341
135,AC-gliosis-like,SLC1A3,0.7466308,0.3804000952607764
136,AC-progenitor-like,SLC1A3,1.0,0.44949564887832894
137,Gliosis-like,SLC1A3,0.35451382,0.2591996406244151
138,Hypoxic,SLC1A3,0.12589109,0.15016015449511952
139,NPC-neuronal-like,SLC1A3,0.0,0.10486247544204322
140,OPC-NPC-like,SLC1A3,0.20402347,0.21292395298282066
141,OPC-like,SLC1A3,0.16504231,0.18907494716306292
142,OPC-neuronal-like,SLC1A3,0.17115603,0.18766634406000485
143,Proliferative,SLC1A3,0.47609442,0.3138978933169488
144,AC-gliosis-like,SOX11,0.15340202,0.3928078113836628
145,AC-progenitor-like,SOX11,0.063766725,0.29309213882774804
146,Gliosis-like,SOX11,0.0,0.1970950473552203
147,Hypoxic,SOX11,0.004439648,0.19789144500778894
148,NPC-neuronal-like,SOX11,1.0,0.8253929273084479
149,OPC-NPC-like,SOX11,0.6239833,0.7149631596160135
150,OPC-like,SOX11,0.3540997,0.5642506718180688
151,OPC-neuronal-like,SOX11,0.42428806,0.6027401403338979
152,Proliferative,SOX11,0.39422905,0.5888189721533649
153,AC-gliosis-like,SOX6,0.27099025,0.1977613717551798
154,AC-progenitor-like,SOX6,0.41655275,0.24768596125533868
155,Gliosis-like,SOX6,0.18648961,0.1717328641485419
156,Hypoxic,SOX6,0.0,0.1005093438041506
157,NPC-neuronal-like,SOX6,0.0841584,0.12966601178781925
158,OPC-NPC-like,SOX6,0.6947737,0.30939189319174315
159,OPC-like,SOX6,1.0,0.35466256084615605
160,OPC-neuronal-like,SOX6,0.706873,0.3088555528671667
161,Proliferative,SOX6,0.33833373,0.21366271884291335
162,AC-gliosis-like,STMN2,0.01173178,0.013479399857108835
163,AC-progenitor-like,STMN2,0.03505884,0.027028701368744808
164,Gliosis-like,STMN2,0.02234,0.01969078725714072
165,Hypoxic,STMN2,0.0,0.006721237827966651
166,NPC-neuronal-like,STMN2,1.0,0.33920677799607074
167,OPC-NPC-like,STMN2,0.015239678,0.01574613801196591
168,OPC-like,STMN2,0.041883554,0.02942610957567875
169,OPC-neuronal-like,STMN2,0.03250372,0.0240140333897895
170,Proliferative,STMN2,0.009830086,0.01272625832468202
171,AC-gliosis-like,VEGFA,0.12651747,0.3633722314836866
172,AC-progenitor-like,VEGFA,0.05822367,0.2964010320248386
173,Gliosis-like,VEGFA,0.8315843,0.7537902893722158
174,Hypoxic,VEGFA,1.0,0.8123596095614276
175,NPC-neuronal-like,VEGFA,0.01661981,0.23201129666011788
176,OPC-NPC-like,VEGFA,0.01385833,0.23126719378234356
177,OPC-like,VEGFA,0.043557912,0.2724568936662618
178,OPC-neuronal-like,VEGFA,0.0,0.2037261069441084
