,sample_ID,time,group_merged,proportion
0,E25 GSO1 Day 14,Day 14,AC-gliosis-like,0.012355681588008913
1,E25 GSO1 Day 14,Day 14,AC-progenitor-like,0.044966578894065225
2,E25 GSO1 Day 14,Day 14,Gliosis-like,0.011140368644926069
3,E25 GSO1 Day 14,Day 14,Hypoxic,0.07899534130038485
4,E25 GSO1 Day 14,Day 14,NPC-OPC-like (all),0.747417459995949
5,E25 GSO1 Day 14,Day 14,NPC-neuronal-like,0.005468908243872798
6,E25 GSO1 Day 14,Day 14,Proliferative,0.09965566133279319
7,E25 GSO1 Day 7,Day 7,AC-gliosis-like,0.02088167053364269
8,E25 GSO1 Day 7,Day 7,AC-progenitor-like,0.058004640371229696
9,E25 GSO1 Day 7,Day 7,Gliosis-like,0.005834584413811929
10,E25 GSO1 Day 7,Day 7,Hypoxic,0.04111505391019517
11,E25 GSO1 Day 7,Day 7,NPC-OPC-like (all),0.7915586188071516
12,E25 GSO1 Day 7,Day 7,NPC-neuronal-like,0.012044492971202402
13,E25 GSO1 Day 7,Day 7,Proliferative,0.07056093899276648
14,E25 GSO2 Day 7,Day 7,AC-gliosis-like,0.01605813223288777
15,E25 GSO2 Day 7,Day 7,AC-progenitor-like,0.09015878711761012
16,E25 GSO2 Day 7,Day 7,Gliosis-like,0.0054723243922131515
17,E25 GSO2 Day 7,Day 7,Hypoxic,0.027541042432941597
18,E25 GSO2 Day 7,Day 7,NPC-OPC-like (all),0.7238718937830806
19,E25 GSO2 Day 7,Day 7,NPC-neuronal-like,0.015789001525074012
20,E25 GSO2 Day 7,Day 7,Proliferative,0.12110881851619269
21,E25 baseline Day 0,Day 0,AC-progenitor-like,0.0
22,E25 baseline Day 0,Day 0,Gliosis-like,0.00024789291026276647
23,E25 baseline Day 0,Day 0,Hypoxic,0.0017352503718393653
24,E25 baseline Day 0,Day 0,NPC-OPC-like (all),0.891670798215171
25,E25 baseline Day 0,Day 0,Proliferative,0.10634605850272683
