annotation_granular,AC_score,MES1_score,MES2_score,NPC1_score,NPC2_score,OPC_score
OPC-like 4,0.008006279434850863,0.001726844583987441,7.849293563579278e-05,0.07260596546310832,0.027237048665620094,0.8903453689167975
OPC-NPC-like 2,0.0012011210463098892,0.0,6.672894701721607e-05,0.56639530228213,0.005338315761377286,0.4269985319631656
OPC-NPC-like 1,0.010086003055096361,0.00014647722279185587,8.370127016677478e-05,0.40672539705790034,0.09004164138190797,0.4929167800121367
OPC-like 3,0.03511807817589577,0.0009670195439739414,0.0015777687296416939,0.11034201954397393,0.002748371335504886,0.8492467426710097
OPC-like 1,0.12576576576576576,0.032998712998713,0.014002574002574002,0.15187902187902189,0.15093951093951094,0.5244144144144144
OPC-like 2,0.035065848356987596,0.00019179133103183735,0.0002557217747091165,0.18264927758598645,0.004826748497634574,0.7770106124536504
OPC-NPC-like 3,0.031789413118527045,0.0008630609896432681,0.0005034522439585731,0.31480149597238205,0.028481012658227847,0.6235615650172612
OPC-like 5,0.042797913601711916,0.004413534840176541,0.021398956800855958,0.08720074896348803,0.029423565601176944,0.8147652801925906
OPC-neuronal-like,0.015363786202024958,0.0032964445490934777,0.0020014127619496116,0.25070638097480574,0.35189545561572877,0.37673651989639745
NPC-neuronal-like 2,0.00045409823658518124,0.0002648906380080224,0.00011352455914629531,0.03920381442518731,0.9585256943918867,0.0014379777491864074
NPC-neuronal-like 1,0.001933431737385917,0.0017671150287935802,0.0008315835429616848,0.02989542836947257,0.9616224194923182,0.003950021829068002
NPC-neuronal-like 4,0.09663348618722738,0.015098982216754278,0.005368527010401521,0.0956268873727771,0.6605525109048205,0.12671960630801923
NPC-neuronal-like 5,0.0,0.0,0.0,0.0689134048662536,0.8995012845700469,0.031585310563699565
NPC-neuronal-like 3,0.032940961766584544,0.0035587188612099642,0.0021899808376676703,0.2339629528241628,0.6905739574778721,0.036773428232502965
AC-gliosis-like 4,0.7710843373493976,0.13443246670894102,0.020291693088142042,0.02092580849714648,0.03170577045022194,0.02155992390615092
AC-gliosis-like 2,0.7847627950455714,0.1411544753447067,0.02687543818649217,0.021032951624211264,0.013087169899509232,0.013087169899509232
Hypoxic 1,0.18629523165370307,0.12417568481569158,0.5506214068312479,0.035361007778153535,0.06827020629015894,0.035276462631044975
Gliosis-like,0.14059859346889822,0.44867251812680586,0.326446055716077,0.01188464264297007,0.046393719675080415,0.026004470370168457
AC progenitor-like 3,0.8120783809829746,0.032444587214905236,0.0036941856729842595,0.035014455509155155,0.01060070671378092,0.10616768390619981
AC progenitor-like 1,0.8088744886598196,0.027909478714487658,0.0013510639628707608,0.06742809962845742,0.0044785268398864105,0.08995834219447815
AC-gliosis-like 1,0.5630266751903296,0.20561399430464347,0.03215745529919994,0.02971658821022452,0.07148253617713721,0.09800275081846535
AC progenitor-like 4,0.45013297872340424,0.0425531914893617,0.09441489361702128,0.1658909574468085,0.05518617021276596,0.1918218085106383
AC-gliosis-like 3,0.5874160656553096,0.13330017408604825,0.0074608306391444916,0.0954986321810495,0.03382243223078836,0.14250186520765978
Hypoxic 2,0.26232353079123866,0.060832043525162985,0.15079030064255897,0.16049903850663666,0.11054828572768632,0.2550068008067164
AC progenitor-like 2,0.6547460528818718,0.05009194090419124,0.0023460782448798427,0.02073425908312726,0.027328641176843575,0.2447530277090863
Proliferative AC-OPC-like,0.33664761904761903,0.025066666666666668,0.006171428571428572,0.2503619047619048,0.06068571428571429,0.32106666666666667
Proliferative NPC-OPC-like,0.21077844311377245,0.017564870259481037,0.006187624750499002,0.47924151696606787,0.11057884231536926,0.17564870259481039
Proliferative nIPC-like,0.13167018390111546,0.12209828157974073,0.015375339161893277,0.28135363280072356,0.43277057582152545,0.01673198673500151
