annotation_granular,AT3,AT4,AT5,AT6,AT7,AT9,AT10,AT11,AT12,AT13,AT14,AT15
OPC-like 4,0.0003924646781789639,0.11616954474097331,0.17111459968602827,0.02197802197802198,0.00015698587127158556,0.36813186813186816,0.17566718995290423,0.030690737833594977,0.0,0.00023547880690737833,7.849293563579278e-05,0.11538461538461539
OPC-NPC-like 2,0.0002669157880688643,0.00934205258241025,0.009208594688375817,0.0007340184171893767,0.0007340184171893767,0.9560256239156546,0.013612705191512078,0.006739623648738823,0.0,0.0,0.0002001868410516482,0.003136260509809155
OPC-NPC-like 1,0.0020506811190859823,0.05034631400531503,0.03289459917554249,0.0058590889116742345,0.02339450501161355,0.04162045659042876,0.24687689635690221,0.5368180962146101,0.00029295444558371175,0.0009207139718345226,0.0018832785787524326,0.057042415618657014
OPC-like 3,0.0037153908794788273,0.009670195439739415,0.018526058631921825,0.002748371335504886,0.0028501628664495114,0.7214983713355049,0.2207349348534202,0.014047231270358305,0.00010179153094462541,0.0003053745928338762,0.0003053745928338762,0.005496742671009772
OPC-like 1,0.05456885456885457,0.03422136422136422,0.05522522522522522,0.044993564993564994,0.00574002574002574,0.5207207207207207,0.011093951093951095,0.015456885456885457,0.010411840411840411,0.010656370656370656,0.04262548262548262,0.19428571428571428
OPC-like 2,0.00364403528960491,0.4311149469377317,0.35139368367216467,0.013617184503260453,0.01016494054468738,0.11091931978007927,0.04027617951668585,0.02531645569620253,0.001822017644802455,0.0002557217747091165,0.0007032348804500703,0.010772279759621532
OPC-NPC-like 3,0.012010932105868814,0.043512658227848104,0.7232451093210587,0.011795166858457998,0.0007192174913693901,0.19462025316455697,0.006329113924050633,0.0028768699654775605,0.0013665132336018412,0.0,0.0010069044879171462,0.0025172612197928656
OPC-like 5,0.0022736391600909458,0.009629530560385182,0.009495787080379832,0.9553296776782132,0.0008024608800320985,0.008024608800320984,0.007355891400294236,0.0026748696001069948,0.00013374348000534973,0.00026748696001069946,0.0,0.004012304400160492
OPC-neuronal-like,0.0018836825994819873,0.012185071815399105,0.06745938309394867,0.0111843654344243,0.0007652460560395574,0.487461737697198,0.05615728749705674,0.006298563692017895,0.29979985872380505,0.0,0.0008829762185071816,0.0559218271721215
NPC-neuronal-like 2,0.00018920759857715886,0.000832513433739499,0.001135245591462953,0.0020812835843487475,0.0,0.004578823885567245,0.013547264058124574,0.0025353818209339287,0.0003027321577234542,0.0,0.02497540301218497,0.9498221448573375
NPC-neuronal-like 1,0.001725535851645496,0.0029313319889399387,0.004053969771938213,0.00037421259433275815,4.1579177148084236e-05,0.0058626639778798775,0.002411592274588886,0.0027442256917735598,0.0005821084800731794,2.0789588574042118e-05,0.0008523731315357269,0.9783996174715702
NPC-neuronal-like 4,0.026730790739290907,0.0816463482831898,0.01711217984565485,0.002796107817917459,0.0035790180069343474,0.05871826417626664,0.013309473213287104,0.0058159042612683145,0.0029079521306341572,0.006598814450285203,0.025612347612123925,0.7551727994631473
NPC-neuronal-like 5,0.0001511258878645912,0.003022517757291824,0.0010578812150521385,0.0003022517757291824,0.0001511258878645912,0.16895874263261296,0.20326431917787516,0.5765452622034154,0.0010578812150521385,0.0001511258878645912,0.0010578812150521385,0.04427988514432522
