,annotation_granular,feature,mean,proportion
0,AC progenitor-like 1,CENPF,-0.4775029893652431,0.044535071368702855
1,AC progenitor-like 2,CENPF,-0.4962748329926509,0.03230613150719675
2,AC progenitor-like 3,CENPF,-0.4199085561869202,0.053003533568904596
3,AC progenitor-like 4,CENPF,-0.34561603351838616,0.08111702127659574
4,AC-gliosis-like 1,CENPF,-0.4757742531306896,0.0438000038743922
5,AC-gliosis-like 2,CENPF,-0.38700807811864685,0.08646880112175742
6,AC-gliosis-like 3,CENPF,-0.3750470299923352,0.05894056204924148
7,AC-gliosis-like 4,CENPF,0.13017729393754157,0.17501585288522511
8,Gliosis-like,CENPF,-0.48251098189514957,0.044376601428337784
9,Hypoxic 1,CENPF,-0.37062208420156967,0.06598748731822793
10,Hypoxic 2,CENPF,-0.4674794948302348,0.04300923971671122
11,NPC-neuronal-like 1,CENPF,-0.5274464432712745,0.027754100746346228
12,NPC-neuronal-like 2,CENPF,-0.49232452167278073,0.03398168470445773
13,NPC-neuronal-like 3,CENPF,-0.26386482751296936,0.10174285974997718
14,NPC-neuronal-like 4,CENPF,-0.19017211599668668,0.12168661223576781
15,NPC-neuronal-like 5,CENPF,-0.474396898858816,0.034607828320991386
16,OPC-NPC-like 1,CENPF,0.04191227356210965,0.1596601728431229
17,OPC-NPC-like 2,CENPF,0.027935065087692255,0.1898438542639797
18,OPC-NPC-like 3,CENPF,-0.15734666632267003,0.13895281933256617
19,OPC-like 1,CENPF,0.11784496939967559,0.18306306306306305
20,OPC-like 2,CENPF,-0.24639398637203958,0.11875079913054597
21,OPC-like 3,CENPF,-0.14226189804134526,0.13894543973941367
22,OPC-like 4,CENPF,-0.35235666436724994,0.07409733124018839
23,OPC-like 5,CENPF,0.04337983344501731,0.15072890196602914
24,OPC-neuronal-like,CENPF,-0.3028796129193567,0.08912173298799152
25,Proliferative AC-OPC-like,CENPF,2.507246066241131,0.6700571428571429
26,Proliferative NPC-OPC-like,CENPF,4.30771764044859,0.8023952095808383
27,Proliferative nIPC-like,CENPF,0.2709748274452582,0.23492613807657522
28,AC progenitor-like 1,MYT1L,-0.6280792131869201,0.012534871211078725
29,AC progenitor-like 2,MYT1L,-0.5828763703285682,0.036110582715110015
30,AC progenitor-like 3,MYT1L,-0.6313389025195495,0.00851268872470286
31,AC progenitor-like 4,MYT1L,-0.5948109164770432,0.03158244680851064
32,AC-gliosis-like 1,MYT1L,-0.6121442810279146,0.022374614982274655
33,AC-gliosis-like 2,MYT1L,-0.6292253909629586,0.013087169899509232
34,AC-gliosis-like 3,MYT1L,-0.5438944467715747,0.0425267346431236
35,AC-gliosis-like 4,MYT1L,-0.5688458149838882,0.04755865567533291
36,Gliosis-like,MYT1L,-0.5991671063309438,0.028730305838739572
37,Hypoxic 1,MYT1L,-0.5483070576700586,0.046309604328711534
38,Hypoxic 2,MYT1L,-0.58523183982633,0.03475446742648093
39,NPC-neuronal-like 1,MYT1L,2.785775462461535,0.9335980540945095
40,NPC-neuronal-like 2,MYT1L,2.082479185023269,0.856618481798229
41,NPC-neuronal-like 3,MYT1L,1.6213483805281173,0.704443836116434
42,NPC-neuronal-like 4,MYT1L,1.4300298053815994,0.7382843082429259
43,NPC-neuronal-like 5,MYT1L,2.2042413201136033,0.8985945292428593
44,OPC-NPC-like 1,MYT1L,0.26694067114292,0.35108497771453684
45,OPC-NPC-like 2,MYT1L,-0.35393217005545097,0.17342853329774457
46,OPC-NPC-like 3,MYT1L,-0.5591262391257698,0.06077387802071346
47,OPC-like 1,MYT1L,0.11362423036014105,0.30353925353925354
48,OPC-like 2,MYT1L,-0.5243970284174434,0.07527809742999617
49,OPC-like 3,MYT1L,-0.6163223118687075,0.019136807817589578
