,source,score,norm,pval,state,pval_plot,ng_log_p
0,HALLMARK_HYPOXIA,-0.5339814,-1.6576648,0.0,OPC-like 2,0.0004997501249375312,7.601402334583733
1,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.6065956,1.4673734,0.020497805,OPC-like 2,0.020497805,3.887437471741247
2,GOBP_REGULATION_OF_WOUND_HEALING,-0.421847,-1.1633538,0.19767442,OPC-like 2,0.19767442,1.621133945138468
3,GOBP_ASTROCYTE_DIFFERENTIATION,0.46750665,1.1137985,0.296063,OPC-like 2,0.296063,1.217183009466998
4,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.4226251,0.99749976,0.48421052,OPC-like 2,0.48421052,0.7252355081549242
5,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.36239535,0.88523626,0.6666667,OPC-like 2,0.6666667,0.4054650581081657
6,GOBP_ASTROCYTE_DIFFERENTIATION,0.6784438,1.6000621,0.0,AC progenitor-like 4,0.0004997501249375312,7.601402334583733
7,HALLMARK_HYPOXIA,0.5863559,1.5403848,0.0,AC progenitor-like 4,0.0004997501249375312,7.601402334583733
8,GOBP_REGULATION_OF_WOUND_HEALING,0.58009905,1.4176792,0.018691588,AC progenitor-like 4,0.018691588,3.9796816959019616
9,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.4676016,-1.3926239,0.026845638,AC progenitor-like 4,0.026845638,3.6176519293255684
10,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.3641524,0.89566183,0.6662909,AC progenitor-like 4,0.6662909,0.40602891701854166
11,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.25828344,0.6266919,0.98068184,AC progenitor-like 4,0.98068184,0.01950719414085224
12,HALLMARK_HYPOXIA,-0.590355,-1.8234406,0.0,OPC-like 3,0.0004997501249375312,7.601402334583733
13,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.5504636,1.393377,0.03539823,OPC-like 3,0.03539823,3.34109346009245
14,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.47862557,-1.2595595,0.117913835,OPC-like 3,0.117913835,2.1378011331154188
15,GOBP_REGULATION_OF_WOUND_HEALING,0.43303102,1.1034861,0.2869875,OPC-like 3,0.2869875,1.248316618177988
16,GOBP_ASTROCYTE_DIFFERENTIATION,-0.39449042,-1.0385337,0.35307518,OPC-like 3,0.35307518,1.0410742702204412
17,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.4104477,1.0395405,0.4007421,OPC-like 3,0.4007421,0.9144372007248329
18,HALLMARK_HYPOXIA,-0.5886676,-1.6891025,0.0,OPC-like 4,0.0004997501249375312,7.601402334583733
19,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.6472548,1.6004469,0.0,OPC-like 4,0.0004997501249375312,7.601402334583733
20,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.4468501,1.1207597,0.26953125,OPC-like 4,0.26953125,1.311070939882303
21,GOBP_REGULATION_OF_WOUND_HEALING,-0.41869795,-1.0727515,0.3305955,OPC-like 4,0.3305955,1.106859705303097
22,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.427528,-1.0607003,0.3524229,OPC-like 4,0.3524229,1.0429234040575213
23,GOBP_ASTROCYTE_DIFFERENTIATION,-0.41706103,-0.9963145,0.487965,OPC-like 4,0.487965,0.7175115970125616
24,HALLMARK_HYPOXIA,-0.45489672,-1.4536364,0.0,OPC-NPC-like 2,0.0004997501249375312,7.601402334583733
25,GOBP_ASTROCYTE_DIFFERENTIATION,-0.59174854,-1.6196225,0.0028901733,OPC-NPC-like 2,0.0028901733,5.846438813257725
26,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.43057874,-1.1892371,0.15659341,OPC-NPC-like 2,0.15659341,1.8541025780478049
27,GOBP_REGULATION_OF_WOUND_HEALING,-0.42002073,-1.2010834,0.15805471,OPC-NPC-like 2,0.15805471,1.84481404006856
28,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.4529464,1.1508934,0.23133236,OPC-NPC-like 2,0.23133236,1.4638998146450892
29,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.3038231,0.78587973,0.8607595,OPC-NPC-like 2,0.8607595,0.14994013993797364
30,HALLMARK_HYPOXIA,-0.4645871,-1.5564163,0.0,NPC-neuronal-like 1,0.0004997501249375312,7.601402334583733
31,GOBP_REGULATION_OF_WOUND_HEALING,-0.49923238,-1.5054302,0.0,NPC-neuronal-like 1,0.0004997501249375312,7.601402334583733
32,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.65554345,1.5382652,0.0059808614,NPC-neuronal-like 1,0.0059808614,5.119190674570602
33,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.3946465,-1.215454,0.07236842,NPC-neuronal-like 1,0.07236842,2.6259852625933604
34,GOBP_ASTROCYTE_DIFFERENTIATION,-0.43079677,-1.2382361,0.11377245,NPC-neuronal-like 1,0.11377245,2.173554877987158
35,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.31258658,-0.9714718,0.5153846,NPC-neuronal-like 1,0.5153846,0.6628418609153631
36,GOBP_REGULATION_OF_WOUND_HEALING,0.61071324,1.4017771,0.022326674,AC progenitor-like 3,0.022326674,3.8019731718279863
37,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.45607466,-1.3516037,0.02739726,AC progenitor-like 3,0.02739726,3.597312270588446
38,GOBP_ASTROCYTE_DIFFERENTIATION,0.5830562,1.3109663,0.09056604,AC progenitor-like 3,0.09056604,2.401675970638277
39,HALLMARK_HYPOXIA,0.47766128,1.1877306,0.15212765,AC progenitor-like 3,0.15212765,1.8830353079412072
40,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.37729266,-1.0554903,0.3181818,AC progenitor-like 3,0.3181818,1.1451323614458613
41,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.3887521,0.90260756,0.6502924,AC progenitor-like 3,0.6502924,0.43033317108905556
42,HALLMARK_HYPOXIA,-0.5928463,-1.6272243,0.0,NPC-neuronal-like 5,0.0004997501249375312,7.601402334583733
43,GOBP_REGULATION_OF_WOUND_HEALING,-0.67131454,-1.6968868,0.0,NPC-neuronal-like 5,0.0004997501249375312,7.601402334583733
44,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6527318,-1.5734521,0.0036407767,NPC-neuronal-like 5,0.0036407767,5.615558240974695
45,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.49050415,1.4232838,0.021621622,NPC-neuronal-like 5,0.021621622,3.8340614464584344
46,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.42475492,-1.0690917,0.37939394,NPC-neuronal-like 5,0.37939394,0.9691801941970837
47,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.3959296,-1.0031121,0.45988023,NPC-neuronal-like 5,0.45988023,0.7767891929662538
48,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.6089937,-1.722271,0.0,AC progenitor-like 1,0.0004997501249375312,7.601402334583733
49,GOBP_ASTROCYTE_DIFFERENTIATION,0.6799895,1.547766,0.005340454,AC progenitor-like 1,0.005340454,5.232444610897329
50,HALLMARK_HYPOXIA,0.55993146,1.431866,0.0080831405,AC progenitor-like 1,0.0080831405,4.817974806221408
51,GOBP_REGULATION_OF_WOUND_HEALING,0.5941444,1.4015862,0.0343075,AC progenitor-like 1,0.0343075,3.3723912898204857
52,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.48852587,-1.3695903,0.04819277,AC progenitor-like 1,0.04819277,3.0325462691767076
53,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.39914295,0.9336591,0.58598727,AC progenitor-like 1,0.58598727,0.5344572131905723
54,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.72330254,1.5479873,0.0021074815,NPC-neuronal-like 4,0.0021074815,6.162261646299983
55,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.66068995,1.4430357,0.0061791968,NPC-neuronal-like 4,0.0061791968,5.086566983596604
56,GOBP_ASTROCYTE_DIFFERENTIATION,0.65092444,1.4042988,0.012658228,NPC-neuronal-like 4,0.012658228,4.369447840467021
57,GOBP_REGULATION_OF_WOUND_HEALING,-0.2950913,-0.98974514,0.4090909,NPC-neuronal-like 4,0.4090909,0.893817898244319
58,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.38444796,0.8356499,0.8070539,NPC-neuronal-like 4,0.8070539,0.21436482236017593
59,HALLMARK_HYPOXIA,0.36243126,0.8191055,0.90380764,NPC-neuronal-like 4,0.90380764,0.1011387288430757
60,HALLMARK_HYPOXIA,-0.6690338,-1.7601688,0.0,OPC-NPC-like 1,0.0004997501249375312,7.601402334583733
61,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6391285,-1.516,0.003440367,OPC-NPC-like 1,0.003440367,5.67217712724087
62,GOBP_REGULATION_OF_WOUND_HEALING,-0.5732844,-1.431712,0.011013215,OPC-NPC-like 1,0.011013215,4.508659363607251
63,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.34189126,1.1126795,0.19480519,OPC-NPC-like 1,0.19480519,1.6357552454181408
64,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.38366646,-0.9499154,0.60373217,OPC-NPC-like 1,0.60373217,0.5046246065425327
65,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.39344886,-0.9391517,0.60650223,OPC-NPC-like 1,0.60650223,0.5000468737704966
66,HALLMARK_HYPOXIA,0.5084251,1.4751064,0.0072859745,AC-gliosis-like 1,0.0072859745,4.92180408026464
67,GOBP_REGULATION_OF_WOUND_HEALING,0.5922393,1.518646,0.011342155,AC-gliosis-like 1,0.011342155,4.479228963463577
68,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.5284631,-1.3981797,0.040948275,AC-gliosis-like 1,0.040948275,3.1954455941124467
69,GOBP_ASTROCYTE_DIFFERENTIATION,0.52598745,1.2850208,0.10973085,AC-gliosis-like 1,0.10973085,2.209724729723092
70,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.49745214,-1.2463337,0.12936345,AC-gliosis-like 1,0.12936345,2.0451293943101048
71,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.4544495,-1.204867,0.15677966,AC-gliosis-like 1,0.15677966,1.8529138988678722
72,HALLMARK_HYPOXIA,-0.52463895,-1.6884598,0.0,OPC-NPC-like 3,0.0004997501249375312,7.601402334583733
73,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.5600321,1.3435158,0.07113543,OPC-NPC-like 3,0.07113543,2.6431697540529666
74,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.5231573,1.2698126,0.124475524,OPC-NPC-like 3,0.124475524,2.0836461767820924
75,GOBP_ASTROCYTE_DIFFERENTIATION,0.502448,1.1563665,0.25421348,OPC-NPC-like 3,0.25421348,1.3695808925218407
