,source,score,norm,pval,state,pval_plot,ng_log_p
0,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.6045469,-1.7506943,0.004716981,AC progenitor-like 2,0.004716981,5.3565865
1,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.46561137,1.2514945,0.13851352,AC progenitor-like 2,0.13851352,1.9767873
2,HALLMARK_HYPOXIA,-0.3437093,-1.1314293,0.1497006,AC progenitor-like 2,0.1497006,1.8991181
3,GOBP_ASTROCYTE_DIFFERENTIATION,0.40861154,1.0538279,0.35664335,AC progenitor-like 2,0.35664335,1.031019
4,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.49926147,-1.066359,0.39478958,AC progenitor-like 2,0.39478958,0.92940235
5,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.3889043,0.99299103,0.4701874,AC progenitor-like 2,0.4701874,0.75462395
6,HALLMARK_HYPOXIA,-0.6690338,-1.7601688,0.0,OPC-NPC-like 1,9.99999e-07,13.815512
7,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6391285,-1.516,0.003440367,OPC-NPC-like 1,0.003440367,5.6721773
8,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.6111127,-1.2249801,0.17739975,OPC-NPC-like 1,0.17739975,1.7293496
9,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.34189126,1.1126795,0.19480519,OPC-NPC-like 1,0.19480519,1.6357553
10,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.38366646,-0.9499154,0.60373217,OPC-NPC-like 1,0.60373217,0.5046246
11,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.39344886,-0.9391517,0.60650223,OPC-NPC-like 1,0.60650223,0.50004685
12,HALLMARK_HYPOXIA,-0.4645871,-1.5564163,0.0,NPC-neuronal-like 1,9.99999e-07,13.815512
13,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.65554345,1.5382652,0.0059808614,NPC-neuronal-like 1,0.0059808614,5.1191907
14,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.3946465,-1.215454,0.07236842,NPC-neuronal-like 1,0.07236842,2.6259851
15,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.6097256,-1.4170825,0.08783784,NPC-neuronal-like 1,0.08783784,2.432263
16,GOBP_ASTROCYTE_DIFFERENTIATION,-0.43079677,-1.2382361,0.11377245,NPC-neuronal-like 1,0.11377245,2.173555
17,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.31258658,-0.9714718,0.5153846,NPC-neuronal-like 1,0.5153846,0.66284186
18,HALLMARK_HYPOXIA,-0.590355,-1.8234406,0.0,OPC-like 3,9.99999e-07,13.815512
19,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.5504636,1.393377,0.03539823,OPC-like 3,0.03539823,3.3410935
20,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.47862557,-1.2595595,0.117913835,OPC-like 3,0.117913835,2.1378012
21,GOBP_ASTROCYTE_DIFFERENTIATION,-0.39449042,-1.0385337,0.35307518,OPC-like 3,0.35307518,1.0410743
22,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.4104477,1.0395405,0.4007421,OPC-like 3,0.4007421,0.9144372
23,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.46144494,-0.9618072,0.54545456,OPC-like 3,0.54545456,0.6061358
24,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.45607466,-1.3516037,0.02739726,AC progenitor-like 3,0.02739726,3.5973122
25,GOBP_ASTROCYTE_DIFFERENTIATION,0.5830562,1.3109663,0.09056604,AC progenitor-like 3,0.09056604,2.401676
26,HALLMARK_HYPOXIA,0.47766128,1.1877306,0.15212765,AC progenitor-like 3,0.15212765,1.8830353
27,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.37729266,-1.0554903,0.3181818,AC progenitor-like 3,0.3181818,1.1451323
28,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.3887521,0.90260756,0.6502924,AC progenitor-like 3,0.6502924,0.43033317
29,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.3729453,0.6946721,0.8665689,AC progenitor-like 3,0.8665689,0.14321363
30,HALLMARK_HYPOXIA,0.5084251,1.4751064,0.0072859745,AC-gliosis-like 1,0.0072859745,4.921804
31,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.5284631,-1.3981797,0.040948275,AC-gliosis-like 1,0.040948275,3.1954455
32,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.6931599,1.3614844,0.10309278,AC-gliosis-like 1,0.10309278,2.272126
33,GOBP_ASTROCYTE_DIFFERENTIATION,0.52598745,1.2850208,0.10973085,AC-gliosis-like 1,0.10973085,2.2097247
34,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.49745214,-1.2463337,0.12936345,AC-gliosis-like 1,0.12936345,2.0451293
35,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.4544495,-1.204867,0.15677966,AC-gliosis-like 1,0.15677966,1.8529139
36,HALLMARK_HYPOXIA,0.5773333,1.647589,0.0,AC-gliosis-like 4,9.99999e-07,13.815512
37,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.56381696,-1.4637378,0.017621145,AC-gliosis-like 4,0.017621145,4.0386558
38,GOBP_ASTROCYTE_DIFFERENTIATION,0.5366179,1.3109432,0.105820104,AC-gliosis-like 4,0.105820104,2.2460148
39,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.42036968,1.0796412,0.30860034,AC-gliosis-like 4,0.30860034,1.1757083
40,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.423827,0.8563597,0.66533065,AC-gliosis-like 4,0.66533065,0.40747115
