,annotation_granular,neftel_top
0,AC progenitor-like 1,AC_score
1,AC progenitor-like 1,NPC1_score
2,AC progenitor-like 1,OPC_score
3,AC progenitor-like 1,MES1_score
4,AC progenitor-like 1,NPC2_score
5,AC progenitor-like 1,MES2_score
6,AC progenitor-like 2,AC_score
7,AC progenitor-like 2,OPC_score
8,AC progenitor-like 2,MES1_score
9,AC progenitor-like 2,NPC2_score
10,AC progenitor-like 2,NPC1_score
11,AC progenitor-like 2,MES2_score
12,AC progenitor-like 3,AC_score
13,AC progenitor-like 3,OPC_score
14,AC progenitor-like 3,NPC1_score
15,AC progenitor-like 3,MES1_score
16,AC progenitor-like 3,NPC2_score
17,AC progenitor-like 3,MES2_score
18,AC progenitor-like 4,AC_score
19,AC progenitor-like 4,NPC1_score
20,AC progenitor-like 4,OPC_score
21,AC progenitor-like 4,MES2_score
22,AC progenitor-like 4,NPC2_score
23,AC progenitor-like 4,MES1_score
24,AC-gliosis-like 1,AC_score
25,AC-gliosis-like 1,MES1_score
26,AC-gliosis-like 1,OPC_score
27,AC-gliosis-like 1,NPC2_score
28,AC-gliosis-like 1,NPC1_score
29,AC-gliosis-like 1,MES2_score
30,AC-gliosis-like 2,AC_score
31,AC-gliosis-like 2,MES1_score
32,AC-gliosis-like 2,MES2_score
33,AC-gliosis-like 2,NPC1_score
34,AC-gliosis-like 2,OPC_score
35,AC-gliosis-like 2,NPC2_score
36,AC-gliosis-like 3,AC_score
37,AC-gliosis-like 3,MES1_score
38,AC-gliosis-like 3,NPC1_score
39,AC-gliosis-like 3,OPC_score
40,AC-gliosis-like 3,NPC2_score
41,AC-gliosis-like 3,MES2_score
42,AC-gliosis-like 4,AC_score
43,AC-gliosis-like 4,MES1_score
44,AC-gliosis-like 4,NPC2_score
45,AC-gliosis-like 4,OPC_score
46,AC-gliosis-like 4,NPC1_score
47,AC-gliosis-like 4,MES2_score
48,Gliosis-like,MES1_score
49,Gliosis-like,MES2_score
50,Gliosis-like,AC_score
51,Gliosis-like,NPC2_score
52,Gliosis-like,OPC_score
53,Gliosis-like,NPC1_score
54,Hypoxic 1,MES2_score
55,Hypoxic 1,AC_score
56,Hypoxic 1,MES1_score
57,Hypoxic 1,NPC2_score
58,Hypoxic 1,OPC_score
59,Hypoxic 1,NPC1_score
60,Hypoxic 2,AC_score
61,Hypoxic 2,OPC_score
62,Hypoxic 2,NPC1_score
63,Hypoxic 2,MES2_score
64,Hypoxic 2,NPC2_score
65,Hypoxic 2,MES1_score
66,NPC-neuronal-like 1,NPC2_score
67,NPC-neuronal-like 1,NPC1_score
68,NPC-neuronal-like 1,OPC_score
69,NPC-neuronal-like 1,AC_score
70,NPC-neuronal-like 1,MES1_score
71,NPC-neuronal-like 1,MES2_score
72,NPC-neuronal-like 2,NPC2_score
73,NPC-neuronal-like 2,NPC1_score
74,NPC-neuronal-like 2,OPC_score
75,NPC-neuronal-like 2,AC_score
76,NPC-neuronal-like 2,MES1_score
77,NPC-neuronal-like 2,MES2_score
78,NPC-neuronal-like 3,NPC2_score
79,NPC-neuronal-like 3,NPC1_score
80,NPC-neuronal-like 3,OPC_score
81,NPC-neuronal-like 3,AC_score
82,NPC-neuronal-like 3,MES1_score
83,NPC-neuronal-like 3,MES2_score
