,donor_id,site_id,cell_class,annotation_coarse,count
0,AT3,AT3-BRA-5-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,4253
1,AT3,AT3-BRA-5-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,1736
2,AT3,AT3-BRA-5-FO-1,AC-gliosis-hypoxia,Hypoxic,1455
3,AT3,AT3-BRA-5-FO-1,AC-gliosis-hypoxia,Gliosis-like,811
9,AT3,AT3-BRA-5-FO-1,NPC-OPC-like,OPC-like,596
10,AT3,AT3-BRA-5-FO-1,NPC-OPC-like,OPC-NPC-like,10
18,AT3,AT3-BRA-5-FO-1,NPC-neuronal-like,NPC-neuronal-like,151
27,AT3,AT3-BRA-5-FO-1,Proliferative,Proliferative,661
36,AT3,AT3-BRA-5-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,5320
37,AT3,AT3-BRA-5-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,5162
38,AT3,AT3-BRA-5-FO-2,AC-gliosis-hypoxia,Hypoxic,1693
39,AT3,AT3-BRA-5-FO-2,AC-gliosis-hypoxia,Gliosis-like,365
45,AT3,AT3-BRA-5-FO-2,NPC-OPC-like,OPC-like,815
46,AT3,AT3-BRA-5-FO-2,NPC-OPC-like,OPC-NPC-like,72
47,AT3,AT3-BRA-5-FO-2,NPC-OPC-like,OPC-neuronal-like,10
54,AT3,AT3-BRA-5-FO-2,NPC-neuronal-like,NPC-neuronal-like,97
63,AT3,AT3-BRA-5-FO-2,Proliferative,Proliferative,850
72,AT3,AT3-BRA-5-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,9058
73,AT3,AT3-BRA-5-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,7482
74,AT3,AT3-BRA-5-FO-3,AC-gliosis-hypoxia,Hypoxic,5636
75,AT3,AT3-BRA-5-FO-3,AC-gliosis-hypoxia,Gliosis-like,412
81,AT3,AT3-BRA-5-FO-3,NPC-OPC-like,OPC-like,2636
82,AT3,AT3-BRA-5-FO-3,NPC-OPC-like,OPC-NPC-like,169
83,AT3,AT3-BRA-5-FO-3,NPC-OPC-like,OPC-neuronal-like,17
90,AT3,AT3-BRA-5-FO-3,NPC-neuronal-like,NPC-neuronal-like,12
99,AT3,AT3-BRA-5-FO-3,Proliferative,Proliferative,1571
108,AT3,AT3-BRA-5-FO-4,AC-gliosis-hypoxia,Gliosis-like,8232
109,AT3,AT3-BRA-5-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,818
110,AT3,AT3-BRA-5-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,773
111,AT3,AT3-BRA-5-FO-4,AC-gliosis-hypoxia,Hypoxic,264
117,AT3,AT3-BRA-5-FO-4,NPC-OPC-like,OPC-like,402
118,AT3,AT3-BRA-5-FO-4,NPC-OPC-like,OPC-NPC-like,18
119,AT3,AT3-BRA-5-FO-4,NPC-OPC-like,OPC-neuronal-like,5
126,AT3,AT3-BRA-5-FO-4,NPC-neuronal-like,NPC-neuronal-like,70
135,AT3,AT3-BRA-5-FO-4,Proliferative,Proliferative,87
2196,AT4,AT4-BRA-5-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,335
2197,AT4,AT4-BRA-5-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,302
2198,AT4,AT4-BRA-5-FO-1,AC-gliosis-hypoxia,Hypoxic,69
2199,AT4,AT4-BRA-5-FO-1,AC-gliosis-hypoxia,Gliosis-like,46
2205,AT4,AT4-BRA-5-FO-1,NPC-OPC-like,OPC-like,869
2206,AT4,AT4-BRA-5-FO-1,NPC-OPC-like,OPC-NPC-like,322
2207,AT4,AT4-BRA-5-FO-1,NPC-OPC-like,OPC-neuronal-like,35
2214,AT4,AT4-BRA-5-FO-1,NPC-neuronal-like,NPC-neuronal-like,123
2223,AT4,AT4-BRA-5-FO-1,Proliferative,Proliferative,522
2232,AT4,AT4-BRA-5-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,2306
2233,AT4,AT4-BRA-5-FO-2,AC-gliosis-hypoxia,Hypoxic,1767
2234,AT4,AT4-BRA-5-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,204
2235,AT4,AT4-BRA-5-FO-2,AC-gliosis-hypoxia,Gliosis-like,33
2241,AT4,AT4-BRA-5-FO-2,NPC-OPC-like,OPC-like,3792
