source	score	norm	pval
SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE	-0.46750748	-1.5059078	0.0
ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2	0.77739275	1.8307779	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_STROMAL_C4_CANCER_ASSOCIATED_FIBROBLAST	0.6912598	1.6963308	0.0
AIZARANI_LIVER_C9_LSECS_1	0.6201876	1.6201682	0.0
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	0.6245372	1.5608988	0.0
GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION	0.68017024	1.7098454	0.0
ZHONG_PFC_C3_ASTROCYTE	-0.6458922	-2.1374085	0.0
ZHONG_PFC_C2_UNKNOWN_NPC	-0.756463	-2.0680041	0.0
AIZARANI_LIVER_C20_LSECS_3	0.647467	1.6664906	0.0
AIZARANI_LIVER_C11_HEPATOCYTES_1	0.6714131	1.7231944	0.0
AIZARANI_LIVER_C13_LSECS_2	0.5937322	1.5580884	0.0
AIZARANI_LIVER_C14_HEPATOCYTES_2	0.6640934	1.6608673	0.0
ZHONG_PFC_C1_OPC	-0.55186474	-1.7575116	0.0
ZHONG_PFC_C1_MICROGLIA	-0.4971558	-1.5271187	0.0
CUI_DEVELOPING_HEART_C8_MACROPHAGE	0.5632893	1.4960603	0.0
CUI_DEVELOPING_HEART_COMPACT_VENTRICULAR_CARDIOMYOCYTE	0.77620447	1.7501612	0.0
ZHONG_PFC_C4_PTGDS_POS_OPC	-0.55773973	-1.6467211	0.0
AIZARANI_LIVER_C10_MVECS_1	0.6437486	1.6795423	0.0
TRAVAGLINI_LUNG_LYMPHATIC_CELL	0.6112466	1.5660952	0.0
TRAVAGLINI_LUNG_MACROPHAGE_CELL	0.6488421	1.6462703	0.0
TRAVAGLINI_LUNG_MYOFIBROBLAST_CELL	0.79830426	1.7874442	0.0
TRAVAGLINI_LUNG_NEUROENDOCRINE_CELL	-0.5951544	-1.7613338	0.0
HE_LIM_SUN_FETAL_LUNG_C1_EARLY_TIP_CELL	-0.53822106	-1.6226054	0.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.75407743	1.8017844	0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.7148423	1.8319926	0.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.6478524	1.6660929	0.0
GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS	0.8271326	1.6024443	0.0
FAN_OVARY_CL16_LYMPHATIC_ENDOTHELIAL_CELL	0.67895824	1.7171023	0.0
FAN_EMBRYONIC_CTX_ASTROCYTE_2	0.8186681	2.0426917	0.0
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	0.7458845	1.8571682	0.0
GOBP_REGULATION_OF_TUBE_SIZE	0.65503573	1.5795517	0.0
GOBP_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.771238	1.6377114	0.0
GAO_ESOPHAGUS_25W_C4_FGFR1HIGH_EPITHELIAL_CELLS	0.65139675	1.631217	0.0
GOBP_RESPONSE_TO_ANGIOTENSIN	0.79498434	1.6642249	0.0
GOBP_RESPONSE_TO_CORTICOSTEROID	0.6722463	1.6131152	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	0.7133197	1.7318954	0.0
GOBP_RENAL_SODIUM_EXCRETION	0.95426637	1.5340111	0.0
FAN_EMBRYONIC_CTX_ASTROCYTE_1	0.7685711	1.8123635	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS	0.7453775	1.6939633	0.0
FAN_OVARY_CL3_MATURE_CUMULUS_GRANULOSA_CELL_1	0.6161605	1.5811253	0.0
FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL	0.72022754	1.8565961	0.0
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	0.623483	1.6007633	0.0
FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL	0.62336916	1.6223903	0.0
FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2	0.6969723	1.8223554	0.0
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	-0.6761021	-1.6859831	0.0
GOBP_RESPONSE_TO_TYPE_II_INTERFERON	0.7047195	1.675856	0.0
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	0.6564223	1.6110319	0.0
HALLMARK_COAGULATION	0.7681143	1.8387506	0.0
MANNO_MIDBRAIN_NEUROTYPES_HRN	-0.65974563	-2.1732686	0.0
HALLMARK_E2F_TARGETS	-0.68905675	-2.08155	0.0
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	-0.75547063	-1.7854977	0.0
DESCARTES_FETAL_STOMACH_ENS_NEURONS	-0.6794715	-1.8802359	0.0
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	0.61178976	1.5958579	0.0
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR	0.67621154	1.6390517	0.0
GOBP_MICROTUBULE_POLYMERIZATION	-0.66125935	-1.7335327	0.0
RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS	0.5836355	1.5014257	0.0
