source	score	norm	pval
HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	-0.6329562	-2.0971653	0.0
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR	0.8848674	2.3223288	0.0
LAKE_ADULT_KIDNEY_C21_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_B	-0.6947446	-1.9347221	0.0
LAKE_ADULT_KIDNEY_C20_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_CORTEX	-0.6637466	-1.8750265	0.0
LAKE_ADULT_KIDNEY_C1_EPITHELIAL_CELLS_UNASSIGNED	-0.81167096	-1.8477709	0.0
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	0.91668653	2.6419654	0.0
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA	0.900324	2.6218588	0.0
LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET	-0.5158359	-1.5818076	0.0
LAKE_ADULT_KIDNEY_C16_COLLECTING_SYSTEM_PRINCIPAL_CELLS_CORTEX	-0.78670365	-2.2086208	0.0
LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE	-0.8032847	-2.351834	0.0
LAKE_ADULT_KIDNEY_C14_DISTAL_CONVOLUTED_TUBULE	-0.79299235	-2.3576674	0.0
LAKE_ADULT_KIDNEY_C13_THICK_ASCENDING_LIMB	-0.8015464	-2.218315	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_MELANOCYTES	0.70403177	1.9541289	0.0
HU_FETAL_RETINA_BLOOD	0.77944434	2.2731102	0.0
HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL	-0.70405346	-1.9810593	0.0
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR	0.74677974	2.0206487	0.0
HE_LIM_SUN_FETAL_LUNG_C7_PCP4_POS_NEURON_CELL	-0.7671481	-1.9219885	0.0
HE_LIM_SUN_FETAL_LUNG_C7_KCNIP4_POS_NEURON_CELL	-0.6568164	-1.8883852	0.0
GOBP_PLATELET_AGGREGATION	0.7613522	1.8226198	0.0
GOBP_CELLULAR_RESPONSE_TO_GLUCOCORTICOID_STIMULUS	0.74854094	1.6684699	0.0
GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION	0.8857787	1.7779981	0.0
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	0.7065813	1.7964107	0.0
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM	0.70297503	1.7075809	0.0
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	0.74223214	1.8314495	0.0
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	0.6738134	1.7172179	0.0
GOBP_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_E_STIMULUS	-0.9411804	-1.5371516	0.0
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL	0.9187441	1.6106251	0.0
HU_FETAL_RETINA_MULLER	0.84587127	1.8707095	0.0
GAUTAM_EYE_CORNEA_TGFBI_HIGH_EPITHELIAL_CELLS	0.7452326	1.9437488	0.0
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	-0.50544584	-1.5794021	0.0
GOBP_AEROBIC_RESPIRATION	0.8946704	2.3795469	0.0
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	0.81328756	1.835898	0.0
GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	0.74611044	1.7651209	0.0
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	-0.5808723	-1.6522242	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_WIF1_HIGH_FIBROBLASTS	0.7883611	2.1297903	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_SMOOTH_MUSCLE_CELLS	0.7010626	1.9792815	0.0
MANNO_MIDBRAIN_NEUROTYPES_HOPC	-0.5272438	-1.7228807	0.0
MANNO_MIDBRAIN_NEUROTYPES_HOMTN	-0.5640295	-1.8237687	0.0
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	-0.58976346	-1.894495	0.0
MANNO_MIDBRAIN_NEUROTYPES_HNBM	-0.6138177	-1.9425058	0.0
MANNO_MIDBRAIN_NEUROTYPES_BASAL	0.96587694	2.2393565	0.0
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	0.65143293	1.6316637	0.0
