source	score	norm	pval
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR	0.61977524	1.639941	0.0
GOBP_NEUROTRANSMITTER_SECRETION	-0.4679017	-1.4872082	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_MEG3_HIGH_FIBROBLASTS	0.6801899	1.7107699	0.0
GOBP_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	0.672828	1.6785243	0.0
GOBP_SPINAL_CORD_DEVELOPMENT	-0.5661143	-1.6156353	0.0
GOBP_SODIUM_ION_TRANSPORT	-0.41426805	-1.3954314	0.0
GOBP_REGULATION_OF_AXONOGENESIS	-0.47780097	-1.4966416	0.0
GOBP_REGULATION_OF_WOUND_HEALING	0.6416806	1.6260387	0.0
HALLMARK_P53_PATHWAY	0.5857996	1.5851299	0.0
HALLMARK_MTORC1_SIGNALING	0.62128145	1.6698457	0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6626325	1.8019924	0.0
LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS	0.5989011	1.6044829	0.0
GOBP_HEMOSTASIS	0.57676715	1.559191	0.0
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR	0.6738159	1.767174	0.0
LAKE_ADULT_KIDNEY_C22_ENDOTHELIAL_CELLS_GLOMERULAR_CAPILLARIES	0.63099116	1.6366433	0.0
LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET	0.65481853	1.7747291	0.0
GOBP_NEURONAL_ACTION_POTENTIAL	-0.7750611	-1.9435838	0.0
GOBP_NEUROMUSCULAR_PROCESS	-0.4532861	-1.4287165	0.0
GOBP_VASCULOGENESIS	0.6902355	1.6488041	0.0
GOBP_CELL_MATRIX_ADHESION	0.6116423	1.674416	0.0
HALLMARK_INFLAMMATORY_RESPONSE	0.6165575	1.6679696	0.0
GOBP_POTASSIUM_ION_TRANSPORT	-0.46700037	-1.5104026	0.0
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	-0.5541791	-1.6614666	0.0
MANNO_MIDBRAIN_NEUROTYPES_HOPC	-0.6396702	-2.261474	0.0
MANNO_MIDBRAIN_NEUROTYPES_HNBM	-0.66763556	-2.298286	0.0
MANNO_MIDBRAIN_NEUROTYPES_BASAL	-0.6087861	-1.6816722	0.0
LAKE_ADULT_KIDNEY_C6_PROXIMAL_TUBULE_EPITHELIAL_CELLS_FIBRINOGEN_POS_S3	0.7034833	1.8872931	0.0
LAKE_ADULT_KIDNEY_C4_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S2	0.6248522	1.6674467	0.0
KEGG_CARDIAC_MUSCLE_CONTRACTION	-0.603197	-1.7221857	0.0
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.76016873	1.753545	0.0
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	0.6081134	1.5988647	0.0
GOBP_ACUTE_PHASE_RESPONSE	0.79784596	1.7025834	0.0
GOBP_ACUTE_INFLAMMATORY_RESPONSE	0.6983743	1.7021023	0.0
GOBP_ACTION_POTENTIAL	-0.50559413	-1.6448269	0.0
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	0.852982	1.5956843	0.0
GOBP_TELENCEPHALON_DEVELOPMENT	-0.4630345	-1.5709878	0.0
MANNO_MIDBRAIN_NEUROTYPES_HOMTN	-0.545424	-1.9607981	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_FIBROBLASTS	0.65882826	1.6664412	0.0
GAUTAM_EYE_CORNEA_FIBROBLASTS	0.6114027	1.5977207	0.0
GAUTAM_EYE_CHOROID_SCLERA_FIBROBLASTS	0.5905391	1.5794543	0.0
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS	-0.8221134	-2.5649543	0.0
