source	score	norm	pval
HAY_BONE_MARROW_IMMATURE_NEUTROPHIL	0.6263878	1.954216	0.0
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	0.6732925	2.0899308	0.0
GOBP_BLASTOCYST_FORMATION	0.7922785	1.8105103	0.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.77612925	2.524319	0.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.7459356	2.0638871	0.0
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	0.58070135	1.6988592	0.0
GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	0.65527207	1.7529488	0.0
GOBP_LEUKOCYTE_CHEMOTAXIS	0.47459117	1.5097209	0.0
GOBP_LIPID_HOMEOSTASIS	0.49586695	1.5145292	0.0
GOBP_POSTSYNAPSE_ORGANIZATION	-0.603903	-1.6454825	0.0
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	0.69117683	2.1096952	0.0
HAY_BONE_MARROW_NAIVE_T_CELL	0.6281472	2.1130466	0.0
GOBP_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	-0.8587296	-1.8564426	0.0
GOBP_CAMP_MEDIATED_SIGNALING	-0.8689988	-1.7987666	0.0
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	0.5349852	1.6372573	0.0
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	0.55397004	1.6535639	0.0
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	0.4518258	1.4753381	0.0
GOBP_REGULATION_OF_KETONE_METABOLIC_PROCESS	0.627969	1.8309193	0.0
GOBP_REGULATION_OF_KINASE_ACTIVITY	0.427202	1.4128597	0.0
GOBP_ERYTHROCYTE_HOMEOSTASIS	0.72091985	2.1545699	0.0
GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL	0.919924	1.8285968	0.0
HE_LIM_SUN_FETAL_LUNG_C0_MESENCHYMAL_1_CELL	-0.5827869	-1.6700754	0.0
HE_LIM_SUN_FETAL_LUNG_C0_MESENCHYMAL_2_CELL	-0.62180245	-1.7981713	0.0
HE_LIM_SUN_FETAL_LUNG_C1_EARLY_TIP_CELL	-0.6282872	-1.6586485	0.0
HE_LIM_SUN_FETAL_LUNG_C1_GHRL_POS_NEUROENDOCRINE_CELL	-0.6238026	-1.6752503	0.0
HE_LIM_SUN_FETAL_LUNG_C1_INTERM_NEUROENDOCRINE_CELL	-0.7344879	-2.0733562	0.0
GOBP_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	-0.7969394	-1.7959272	0.0
GOBP_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	0.80854136	2.0026684	0.0
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.4682478	1.4733348	0.0
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION	0.47482747	1.53667	0.0
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	0.86702013	2.0381088	0.0
HE_LIM_SUN_FETAL_LUNG_C1_MUC5AC_POS_ASCL1_POS_PROGENITOR_CELL	-0.79829	-1.8107909	0.0
GOBP_POTASSIUM_ION_TRANSPORT	-0.5882435	-1.6360084	0.0
GOBP_PRESYNAPSE_ASSEMBLY	-0.78536576	-1.7370901	0.0
GOBP_PRESYNAPSE_ORGANIZATION	-0.7799662	-1.80632	0.0
GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.7320966	1.8832662	0.0
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_IMPORT	0.9116263	1.8486435	0.0
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	0.5743527	1.8104718	0.0
GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION	0.8462271	1.8579609	0.0
GOBP_KETONE_METABOLIC_PROCESS	0.54815125	1.7012523	0.0
GOBP_LEARNING	-0.7601493	-1.9960846	0.0
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	0.6989875	1.8839933	0.0
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS	0.60445243	1.941897	0.0
GOBP_MRNA_TRANSCRIPTION	0.7807344	1.9073012	0.0
HALLMARK_MTORC1_SIGNALING	0.7058691	2.285352	0.0
HALLMARK_MYC_TARGETS_V1	0.7142122	2.0611787	0.0
HALLMARK_P53_PATHWAY	0.6527953	2.0865476	0.0
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	0.5510311	1.7648376	0.0
GOBP_REGULATION_OF_NK_T_CELL_ACTIVATION	0.9760287	1.6772572	0.0
GOBP_PLACENTA_DEVELOPMENT	0.6087913	1.8018649	0.0
GOBP_PROTEIN_FOLDING	0.74083215	2.2256172	0.0
GOBP_ZYMOGEN_ACTIVATION	0.7592328	1.8356335	0.0
HALLMARK_ADIPOGENESIS	0.5491808	1.7092319	0.0
HALLMARK_ALLOGRAFT_REJECTION	0.53933424	1.6524328	0.0
HALLMARK_ANDROGEN_RESPONSE	0.6265212	1.8117312	0.0
HALLMARK_APOPTOSIS	0.64949834	1.9982986	0.0
GOBP_CELLULAR_RESPONSE_TO_HEAT	0.8007103	2.088216	0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5122536	1.6782585	0.0
GOBP_REGULATION_OF_LIPID_LOCALIZATION	0.54389894	1.7025	0.0
GOBP_SODIUM_ION_TRANSPORT	-0.56538886	-1.5727297	0.0
GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION	0.73340744	1.8500792	0.0
GOBP_PLASMINOGEN_ACTIVATION	0.82864374	1.8164124	0.0
GOBP_POLYAMINE_BIOSYNTHETIC_PROCESS	0.92491746	1.6912042	0.0
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS	0.5533721	1.553817	0.0
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	0.69755495	1.9031765	0.0
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.57749397	1.7087996	0.0
GOBP_AUTOPHAGOSOME_MATURATION	0.65313154	1.6551656	0.0
HALLMARK_FATTY_ACID_METABOLISM	0.6193883	1.8581883	0.0
HALLMARK_GLYCOLYSIS	0.6405205	2.0281816	0.0
HALLMARK_HYPOXIA	0.7925001	2.6332412	0.0
HALLMARK_IL2_STAT5_SIGNALING	0.5390665	1.7777987	0.0
HALLMARK_INFLAMMATORY_RESPONSE	0.5265811	1.6843935	0.0
