source	score	norm	pval
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_VASCULAR_SMOOTH_MUSCLE_CELLS	-0.6386324	-1.8185514	0.0
HU_FETAL_RETINA_HORIZONTAL	0.8599611	1.7974811	0.0
HU_FETAL_RETINA_BLOOD	-0.5474695	-1.7373153	0.0
HU_FETAL_RETINA_AMACRINE	0.8626031	1.9860252	0.0
HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL	0.69190395	1.720799	0.0
HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_CHODL_POS_NEURON_CELL	0.8078225	1.7895074	0.0
HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	0.6367894	1.7597169	0.0
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	-0.79074144	-1.9181383	0.0
GOBP_RESPONSE_TO_TYPE_II_INTERFERON	-0.6637026	-1.8911539	0.0
GOBP_ENDOCRINE_PROCESS	-0.65689105	-1.77464	0.0
GOBP_EMBRYO_IMPLANTATION	-0.67295456	-1.7256602	0.0
HU_FETAL_RETINA_MULLER	-0.7155986	-1.7168986	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_HORIZONTAL_BASAL_CELLS	-0.83830744	-1.7050625	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES	-0.6935332	-1.8598291	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	-0.6517848	-1.8687314	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NE_PRECURSOR_CELL	0.70695233	1.9126996	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NEUROENDOCRINE_CELL	0.6953177	1.8591542	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PROXIMAL_SECRETORY_PROGENITORS_CELL	-0.5634399	-1.6109648	0.0
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	-0.55364585	-1.5685234	0.0
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	-0.6410513	-1.852595	0.0
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION	-0.5169017	-1.5874738	0.0
GAO_LARGE_INTESTINE_ADULT_CA_ENTEROENDOCRINE_CELLS	0.6343853	1.7034097	0.0
GOBP_MIRNA_TRANSCRIPTION	-0.714979	-1.9201242	0.0
GOBP_MIRNA_METABOLIC_PROCESS	-0.6891549	-1.8904743	0.0
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	-0.6081737	-1.7280788	0.0
FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL	-0.5389006	-1.7083926	0.0
FAN_OVARY_CL16_LYMPHATIC_ENDOTHELIAL_CELL	-0.59055674	-1.8219547	0.0
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	-0.59069794	-1.7181462	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	-0.6155834	-1.811685	0.0
KEGG_RIBOSOME	-0.617612	-1.7797158	0.0
