source	score	norm	pval
HE_LIM_SUN_FETAL_LUNG_C1_SQUAMOUS_CELL	-0.48473454	-1.5293188	0.0
DESCARTES_MAIN_FETAL_MICROGLIA	-0.63447493	-1.8624747	0.0
HU_FETAL_RETINA_RPE	-0.4267087	-1.3949234	0.0
JONES_OVARY_ENDOTHELIAL	-0.5192349	-1.6245549	0.0
JONES_OVARY_MACROPHAGE	-0.477478	-1.5445539	0.0
JONES_OVARY_NK_CELL	-0.6996539	-2.00907	0.0
JONES_OVARY_PERICYTE	-0.61818457	-1.9411393	0.0
JONES_OVARY_STROMAL	-0.52604836	-1.6432698	0.0
JONES_OVARY_T_CELL	-0.6459258	-1.8240066	0.0
KEGG_ALLOGRAFT_REJECTION	-0.8323947	-1.749212	0.0
HE_LIM_SUN_FETAL_LUNG_C3_OMD_POS_ENDOTHELIAL_CELL	-0.52072644	-1.7631751	0.0
HE_LIM_SUN_FETAL_LUNG_C4_ILC2_CELL	-0.4945689	-1.4946862	0.0
HE_LIM_SUN_FETAL_LUNG_C4_ILCP_CELL	-0.5089997	-1.572133	0.0
HE_LIM_SUN_FETAL_LUNG_C7_MID_SCHWANN_CELL	-0.50110036	-1.6453542	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL_CELLS	-0.6677968	-1.9180107	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PROXIMAL_SECRETORY_2_CELL	-0.42177674	-1.3817046	0.0
DESCARTES_MAIN_FETAL_LYMPHATIC_ENDOTHELIAL_CELLS	-0.73702145	-1.9365597	0.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.5758468	-1.6708715	0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.50198334	-1.5934215	0.0
HALLMARK_MYC_TARGETS_V1	0.7293622	1.8547466	0.0
HALLMARK_MYC_TARGETS_V2	0.769688	1.8018228	0.0
GOBP_REGULATION_OF_BLOOD_CIRCULATION	-0.52675486	-1.7233906	0.0
GOBP_REGULATION_OF_BLOOD_PRESSURE	-0.5224847	-1.5927801	0.0
GOBP_RECOMBINATIONAL_REPAIR	0.65391546	1.7231517	0.0
GOBP_CYTOPLASMIC_TRANSLATION	0.8873955	2.3403919	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PROXIMAL_BASAL_CELL	-0.4955196	-1.5437169	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	0.79303485	2.1141987	0.0
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.61421406	1.7375683	0.0
FAN_OVARY_CL16_LYMPHATIC_ENDOTHELIAL_CELL	-0.50552833	-1.6015254	0.0
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	0.67926025	1.759097	0.0
FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2	-0.5292925	-1.7693728	0.0
FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL	-0.5252457	-1.6994916	0.0
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	-0.88206506	-1.817395	0.0
GOBP_RIBOSOME_BIOGENESIS	0.7748627	2.2284317	0.0
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_TRANSPORT	0.90960956	1.7163097	0.0
GOBP_APPENDAGE_MORPHOGENESIS	-0.5816921	-1.6720921	0.0
GOBP_SEQUESTERING_OF_CALCIUM_ION	-0.53547674	-1.5674032	0.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	-0.80530274	-1.7830995	0.0
KEGG_HUNTINGTONS_DISEASE	0.6810256	1.850492	0.0
CUI_DEVELOPING_HEART_C8_MACROPHAGE	-0.46217263	-1.5297041	0.0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-0.7065822	-1.7762585	0.0
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	-0.50286794	-1.5881518	0.0
GOBP_HEART_PROCESS	-0.46845424	-1.5174193	0.0
GOBP_NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS	0.7010336	1.7234077	0.0
GOBP_SPINDLE_LOCALIZATION	-0.71474004	-1.6742687	0.0
GOBP_SMOOTH_MUSCLE_CONTRACTION	-0.629511	-1.7387716	0.0
GOBP_TRNA_METABOLIC_PROCESS	0.6749217	1.7134769	0.0
GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS	-0.5900083	-1.7349092	0.0
GAO_ESOPHAGUS_25W_C4_FGFR1HIGH_EPITHELIAL_CELLS	-0.53777647	-1.6699061	0.0
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	-0.636886	-1.819612	0.0
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	-0.6755304	-1.819083	0.0
GOBP_REGULATION_OF_CELL_MORPHOGENESIS	-0.54469925	-1.6841365	0.0
GOBP_REGULATION_OF_CELL_SHAPE	-0.561633	-1.6673255	0.0
GOBP_REGULATION_OF_CELL_SIZE	-0.5053206	-1.5323198	0.0
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION	-0.46763936	-1.4685575	0.0
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	-0.5502676	-1.5923735	0.0
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING	-0.77147067	-1.6937608	0.0
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	-0.47531608	-1.552028	0.0
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	-0.48370573	-1.5905908	0.0
GOBP_ACUTE_PHASE_RESPONSE	-0.76566595	-1.7713748	0.0
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	-0.5729576	-1.7515464	0.0
GOBP_NEGATIVE_REGULATION_OF_COAGULATION	-0.7048347	-1.736493	0.0
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	-0.65916187	-1.792114	0.0
GOBP_AEROBIC_RESPIRATION	0.71493334	1.9232733	0.0
AIZARANI_LIVER_C10_MVECS_1	-0.57631177	-1.8974198	0.0
TRAVAGLINI_LUNG_CAPILLARY_INTERMEDIATE_1_CELL	-0.5866751	-1.8558758	0.0
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.8926794	2.339368	0.0
TRAVAGLINI_LUNG_CLUB_CELL	0.7921278	2.0906203	0.0
TRAVAGLINI_LUNG_LYMPHATIC_CELL	-0.4803631	-1.5426232	0.0
TRAVAGLINI_LUNG_MACROPHAGE_CELL	-0.49666733	-1.5793383	0.0
CUI_DEVELOPING_HEART_COMPACT_ATRIAL_CARDIOMYOCYTE	0.93032295	1.7209779	0.0
RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS	0.54943645	1.5509505	0.0
RUBENSTEIN_SKELETAL_MUSCLE_SATELLITE_CELLS	0.7142881	2.051905	0.0
CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	-0.5129038	-1.5715446	0.0
CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL	-0.5570588	-1.7474512	0.0
DESCARTES_FETAL_CEREBELLUM_ASTROCYTES	-0.5308214	-1.5808256	0.0
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	0.85540557	2.3596919	0.0
AIZARANI_LIVER_C32_MVECS_3	-0.63476497	-1.8745898	0.0
AIZARANI_LIVER_C33_STELLATE_CELLS_2	-0.64736766	-1.9426514	0.0
AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4	-0.49547702	-1.5392705	0.0
TRAVAGLINI_LUNG_CAPILLARY_AEROCYTE_CELL	-0.7879253	-1.9102733	0.0
CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE	-0.54841244	-1.5771457	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C4_HIGH_GRADE_CHONDROSARCOMA_1	0.7753178	1.9530681	0.0
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	0.57619375	1.6060659	0.0
GOBP_ENDOTHELIAL_CELL_CHEMOTAXIS	-0.81735414	-1.9410493	0.0
LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS	-0.5467084	-1.7008307	0.0
MENON_FETAL_KIDNEY_6_COLLECTING_DUCT_CELLS	-0.66183716	-1.8752891	0.0
MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS	-0.5808515	-1.6659685	0.0
RUBENSTEIN_SKELETAL_MUSCLE_B_CELLS	0.88194054	2.441028	0.0
TRAVAGLINI_LUNG_BASOPHIL_MAST_1_CELL	-0.4851079	-1.5647343	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_1_CELL	0.70103526	2.0076475	0.0
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	0.73436034	1.8340646	0.0
DESCARTES_FETAL_CEREBRUM_ASTROCYTES	-0.51232857	-1.594571	0.0
TRAVAGLINI_LUNG_PERICYTE_CELL	-0.5920043	-1.743135	0.0
TRAVAGLINI_LUNG_VASCULAR_SMOOTH_MUSCLE_CELL	-0.642305	-1.7389637	0.0
VANGURP_PANCREATIC_ALPHA_CELL	-0.718815	-1.7231709	0.0
GOBP_ENDOCRINE_PROCESS	-0.683215	-1.8846462	0.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.51608837	-1.647675	0.0
HAY_BONE_MARROW_NAIVE_T_CELL	0.6475625	1.8981578	0.0
HAY_BONE_MARROW_PLASMA_CELL	-0.6581121	-1.7016907	0.0
GAUTAM_EYE_CHOROID_SCLERA_CHOROID_ENDOTHELIAL_CELLS	0.6259452	1.6489289	0.0
GAUTAM_EYE_CHOROID_SCLERA_MELANOCYTES	0.7080779	1.8449576	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_CILIARY_BODY_CELLS	-0.63266665	-1.8117703	0.0
HALLMARK_COAGULATION	-0.57060933	-1.6672398	0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.6094545	-1.929123	0.0
