source	score	norm	pval
BUSSLINGER_DUODENAL_STEM_CELLS	-0.4974161	-1.5560311	0.0
TRAVAGLINI_LUNG_CLUB_CELL	-0.6961926	-2.0123305	0.0
ZHONG_PFC_C2_THY1_POS_OPC	0.8703969	1.852123	0.0
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	-0.668274	-1.9105794	0.0
AIZARANI_LIVER_C17_HEPATOCYTES_3	-0.6517865	-1.6965263	0.0
ZHONG_PFC_MAJOR_TYPES_OPC	0.8200369	2.1532922	0.0
TRAVAGLINI_LUNG_MACROPHAGE_CELL	-0.543986	-1.6666377	0.0
AIZARANI_LIVER_C14_HEPATOCYTES_2	-0.5337565	-1.6061342	0.0
DESCARTES_FETAL_CEREBRUM_ASTROCYTES	-0.56942016	-1.6960112	0.0
ZHONG_PFC_C4_PTGDS_POS_OPC	0.64601237	1.7606077	0.0
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	0.80534524	2.0366623	0.0
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	-0.599205	-1.6929663	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C0_M1_MACROPHAGE	-0.5322221	-1.6903771	0.0
DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES	0.85574585	2.0378733	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_1_CELL	-0.5180978	-1.6335157	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C2_T_CELL	-0.6004165	-1.6265227	0.0
HE_LIM_SUN_FETAL_LUNG_C0_RESTING_CHONDROCYTE	0.67928404	1.8298305	0.0
HE_LIM_SUN_FETAL_LUNG_C1_INTERM_NEUROENDOCRINE_CELL	0.54202974	1.631982	0.0
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	-0.63942754	-1.7716502	0.0
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	0.6884641	1.9085618	0.0
GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION	0.84503525	1.7398098	0.0
GOBP_SYNAPSE_ASSEMBLY	0.55937135	1.6146482	0.0
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	0.7106811	1.8857688	0.0
GOBP_MICROTUBULE_ORGANIZING_CENTER_LOCALIZATION	-0.8340228	-1.7193547	0.0
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.6050583	1.74402	0.0
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	-0.6849584	-1.7620809	0.0
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS	-0.54851556	-1.6318341	0.0
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	-0.60854226	-1.5918549	0.0
GOBP_AEROBIC_RESPIRATION	-0.55082536	-1.586884	0.0
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	-0.55663365	-1.6790731	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NEUROENDOCRINE_CELL	0.5314387	1.5677962	0.0
GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0.829894	1.7744949	0.0
KEGG_RIBOSOME	-0.6738764	-1.8753684	0.0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	-0.72675776	-1.6493537	0.0
GOBP_OXIDATIVE_PHOSPHORYLATION	-0.5860263	-1.6338737	0.0
GOBP_OSTEOBLAST_DIFFERENTIATION	-0.53971004	-1.6574956	0.0
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	-0.53829205	-1.6428515	0.0
FAN_OVARY_CL3_MATURE_CUMULUS_GRANULOSA_CELL_1	-0.5512015	-1.6681089	0.0
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	-0.7165681	-1.6660056	0.0
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR	-0.69821	-1.7774049	0.0
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	-0.54564184	-1.6165475	0.0
HALLMARK_HYPOXIA	-0.5045382	-1.5789677	0.0
FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL	-0.51429886	-1.6198609	0.0
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS	0.71541005	1.9066854	0.0
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.932301	1.6505817	0.0
GOBP_CYTOPLASMIC_TRANSLATION	-0.65496486	-1.8663614	0.0
DESCARTES_MAIN_FETAL_OLIGODENDROCYTES	0.86898446	2.0156534	0.0
GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	-0.61151975	-1.6213713	0.0
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	0.67298	1.8926574	0.0
FAN_EMBRYONIC_CTX_OPC	0.91021454	2.176407	0.0
FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	-0.47971222	-1.5593568	0.0
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	-0.59078896	-1.7017856	0.0
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	-0.6209671	-1.7494857	0.0
DESCARTES_FETAL_SPLEEN_STROMAL_CELLS	0.7818458	1.7822143	0.0
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	-0.6278006	-1.8871914	0.0
RUBENSTEIN_SKELETAL_MUSCLE_SATELLITE_CELLS	-0.6078961	-1.9334315	0.0
RUBENSTEIN_SKELETAL_MUSCLE_ENDOTHELIAL_CELLS	-0.5552561	-1.6154273	0.0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.61270183	1.7826525	0.0
RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS	-0.5484737	-1.6960903	0.0
RUBENSTEIN_SKELETAL_MUSCLE_MYELOID_CELLS	-0.53165424	-1.732028	0.0
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	-0.831723	-1.7239522	0.0
GOBP_SKIN_DEVELOPMENT	-0.52357006	-1.607798	0.0
GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	-0.71860313	-1.6365032	0.0
GOBP_EXCITATORY_SYNAPSE_ASSEMBLY	0.8136457	1.7517943	0.0
RUBENSTEIN_SKELETAL_MUSCLE_B_CELLS	-0.61598027	-1.8518238	0.0
GOBP_ATP_METABOLIC_PROCESS	-0.5281032	-1.5777732	0.0
GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY	0.8780623	1.7466727	0.0
GOBP_CELLULAR_RESPIRATION	-0.5474753	-1.6280738	0.0
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	-0.6451376	-1.7760602	0.0
