source	score	norm	pval
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_IMMATURE_NEURONS	0.6370945	1.8675827	0.0
GOBP_REGULATION_OF_EXOCYTOSIS	0.5109589	1.5586823	0.0
GOBP_DENDRITE_EXTENSION	0.783392	1.6980602	0.0
GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	-0.72785103	-1.7754556	0.0
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	-0.5807507	-1.6357855	0.0
ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1	-0.72883797	-1.7103844	0.0
KEGG_RIBOSOME	-0.88168555	-2.352945	0.0
KEGG_PPAR_SIGNALING_PATHWAY	-0.7357245	-1.7301463	0.0
KEGG_PARKINSONS_DISEASE	-0.7693922	-2.0058627	0.0
GOBP_REGULATION_OF_AMYLOID_BETA_CLEARANCE	-0.86909556	-1.5878648	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS	-0.5804249	-1.5660737	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS	-0.70782477	-1.6688024	0.0
GOBP_POLYOL_METABOLIC_PROCESS	-0.6223555	-1.5899745	0.0
GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION	-0.6404361	-1.7175418	0.0
GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY	0.8746615	1.7957556	0.0
GOBP_NEGATIVE_REGULATION_OF_AMIDE_METABOLIC_PROCESS	-0.8046187	-1.666647	0.0
AIZARANI_LIVER_C14_HEPATOCYTES_2	-0.65242326	-1.8220524	0.0
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	-0.6798542	-1.8566694	0.0
GOBP_INCLUSION_BODY_ASSEMBLY	-0.79144615	-1.61449	0.0
GOBP_CYTOPLASMIC_TRANSLATION	-0.8371291	-2.2701354	0.0
GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	-0.6061024	-1.6385434	0.0
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	-0.6661965	-2.0333962	0.0
GOBP_PROTEIN_FOLDING	-0.6521193	-1.7831018	0.0
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	-0.6056756	-1.7415361	0.0
GOBP_PYRUVATE_METABOLIC_PROCESS	-0.6740575	-1.781053	0.0
GOBP_CELLULAR_RESPONSE_TO_RADIATION	-0.59027404	-1.5949305	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NE_PRECURSOR_CELL	0.59469765	1.9526412	0.0
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	-0.77570045	-1.789223	0.0
HU_FETAL_RETINA_BLOOD	-0.5943446	-1.7435102	0.0
HU_FETAL_RETINA_AMACRINE	0.674943	1.7587138	0.0
HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL	0.6661245	1.937222	0.0
HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	0.58916605	1.997693	0.0
HE_LIM_SUN_FETAL_LUNG_C7_MID_SCHWANN_CELL	-0.50453913	-1.5086173	0.0
HE_LIM_SUN_FETAL_LUNG_C7_LATE_SCHWANN_CELL	-0.6287527	-1.6592538	0.0
DESCARTES_MAIN_FETAL_ASTROCYTES	-0.81908655	-1.7458358	0.0
DESCARTES_MAIN_FETAL_OLIGODENDROCYTES	0.7190581	1.7463651	0.0
GOBP_REGULATION_OF_GLYCOLYTIC_PROCESS	-0.7654805	-1.6284453	0.0
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	-0.7213736	-1.7169544	0.0
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	-0.58397067	-1.5913814	0.0
GOBP_REGULATION_OF_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	-0.7914197	-1.7234485	0.0
GOBP_RESPONSE_TO_COPPER_ION	-0.852967	-1.7781582	0.0
BUSSLINGER_DUODENAL_STEM_CELLS	-0.72655636	-2.1443503	0.0
GOBP_RESPONSE_TO_HEAT	-0.6417051	-1.6206472	0.0
GOBP_DETOXIFICATION	-0.6118472	-1.6058041	0.0
DESCARTES_FETAL_THYMUS_THYMIC_EPITHELIAL_CELLS	0.47413749	1.5329185	0.0
