source	score	norm	pval
GOBP_CELLULAR_RESPONSE_TO_ANTIBIOTIC	0.91050977	1.8179569	0.0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	-0.70410275	-1.8045778	0.0
KEGG_HUNTINGTONS_DISEASE	0.6115476	1.9459571	0.0
GOBP_B_CELL_ACTIVATION	0.47385255	1.622538	0.0
GOBP_METANEPHRIC_TUBULE_DEVELOPMENT	0.7753634	1.8138928	0.0
GOBP_CARDIAC_CONDUCTION	-0.67585814	-1.7611294	0.0
GOBP_LOCOMOTORY_BEHAVIOR	-0.577471	-1.6429805	0.0
GOBP_LIVER_REGENERATION	0.7763244	1.7830336	0.0
GOBP_POSITIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT	0.68213433	1.7156665	0.0
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.7733307	1.9975901	0.0
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	0.70849824	2.0877879	0.0
FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL	0.5272565	1.778818	0.0
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	-0.6586259	-1.7145096	0.0
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	-0.52057916	-1.5179261	0.0
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	-0.6747559	-1.7434461	0.0
HE_LIM_SUN_FETAL_LUNG_C7_COL20A1_POS_SCHWANN_CELL	-0.66494596	-1.7319819	0.0
HE_LIM_SUN_FETAL_LUNG_C6_DEUTEROSOMAL_CELL	0.669057	2.2287579	0.0
HE_LIM_SUN_FETAL_LUNG_C4_ILCP_CELL	-0.555949	-1.5796529	0.0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	-0.67877686	-1.7494178	0.0
HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL	-0.5991231	-1.6489056	0.0
HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	-0.6481877	-1.9689026	0.0
GOBP_REGULATION_OF_BLOOD_CIRCULATION	-0.5427418	-1.5731088	0.0
HU_FETAL_RETINA_RPC	0.7872766	2.4242382	0.0
GOBP_AEROBIC_RESPIRATION	0.71764725	2.2928205	0.0
GOBP_ACTIVATED_T_CELL_PROLIFERATION	0.7626985	1.8299422	0.0
GOBP_CELLULAR_RESPIRATION	0.59742874	1.9567835	0.0
GOBP_CDC42_PROTEIN_SIGNAL_TRANSDUCTION	-0.9342608	-1.6758776	0.0
GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT	0.7537916	1.9550025	0.0
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	-0.5255979	-1.5406771	0.0
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	0.77307874	1.8129128	0.0
GOBP_MRNA_TRANSPORT	0.67948806	1.8713948	0.0
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	-0.60016304	-1.6320289	0.0
HE_LIM_SUN_FETAL_LUNG_C7_SCHWANN_PRECURSOR_CELL	0.59992623	2.08873	0.0
GOBP_HEART_PROCESS	-0.5634229	-1.6503342	0.0
GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	0.6505224	1.8274169	0.0
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	0.60809153	1.8763468	0.0
GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION	0.64350516	1.8208709	0.0
FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL	0.39427462	1.3978074	0.0
FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL	0.5116338	1.7692974	0.0
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	0.6755221	2.329057	0.0
FAN_OVARY_CL3_MATURE_CUMULUS_GRANULOSA_CELL_1	0.49323726	1.6712644	0.0
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	0.6773567	2.0917785	0.0
GOBP_SPINDLE_ORGANIZATION	0.6404357	2.0355842	0.0
GOBP_SOMITE_DEVELOPMENT	0.6045015	1.7112159	0.0
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	0.76830417	1.9556676	0.0
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	0.47261766	1.5347635	0.0
GOBP_PROTEIN_STABILIZATION	0.59842426	1.964241	0.0
GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	0.8718629	1.8481109	0.0
FAN_EMBRYONIC_CTX_MICROGLIA_1	0.77919114	2.5458138	0.0
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	-0.65299416	-1.8309071	0.0
FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON	-0.75302875	-1.7893648	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_UNSPECIFIED	0.8657779	2.1017005	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS	0.5593464	1.7716274	0.0
GOBP_SOMITOGENESIS	0.6977436	1.8520645	0.0
GOBP_SPINDLE_ASSEMBLY	0.6365307	1.8835326	0.0
GOBP_NEPHRIC_DUCT_MORPHOGENESIS	0.91944116	1.7845197	0.0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.55609304	-1.5989217	0.0
HE_LIM_SUN_FETAL_LUNG_C2_PROMONOCYTE_LIKE_CELL	0.6241635	2.2239587	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NE_PRECURSOR_CELL	-0.5187438	-1.5494866	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NEUROENDOCRINE_CELL	-0.58359283	-1.712508	0.0
GOBP_CALCIUM_MEDIATED_SIGNALING	-0.54476196	-1.58243	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL	0.47590855	1.6673597	0.0
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	-0.57526827	-1.6108274	0.0
GOBP_CELL_MATRIX_ADHESION	-0.56129235	-1.6396329	0.0
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS	0.6719021	2.1084745	0.0
GAO_LARGE_INTESTINE_ADULT_CA_ENTEROENDOCRINE_CELLS	-0.61992455	-1.8415682	0.0
GAO_LARGE_INTESTINE_24W_C2_MKI67POS_PROGENITOR	0.7758203	2.4048352	0.0
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE	0.6810589	1.7216624	0.0
GOBP_SODIUM_ION_TRANSPORT	-0.5634304	-1.6383917	0.0
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	-0.62936836	-1.7694038	0.0
GOBP_CELL_FATE_COMMITMENT	0.43624443	1.4871851	0.0
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	0.57353234	1.8035353	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	0.8058664	2.6090584	0.0
FAN_EMBRYONIC_CTX_NSC_2	0.77950215	2.676069	0.0
JONES_OVARY_OOCYTE	0.62370217	1.7861853	0.0
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION	0.9028515	1.9962009	0.0
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	0.8082897	1.8481817	0.0
FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0.45032063	1.6005857	0.0
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	0.599032	1.9236002	0.0
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.68737555	2.370591	0.0
GOBP_GLIAL_CELL_FATE_COMMITMENT	0.9483354	1.7218382	0.0
GOBP_GLIAL_CELL_DIFFERENTIATION	0.4426139	1.532617	0.0
GOBP_NUCLEUS_ORGANIZATION	0.6161211	1.8384192	0.0
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	0.65296185	1.974477	0.0
GOBP_AXIS_SPECIFICATION	0.66187334	1.8551433	0.0
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	0.58504075	1.6894617	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PROXIMAL_SECRETORY_2_CELL	-0.50119764	-1.493804	0.0
GOBP_METANEPHRIC_EPITHELIUM_DEVELOPMENT	0.7753634	1.8138928	0.0
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	0.63667333	1.8973484	0.0
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.780302	1.8871144	0.0
GOBP_MATURATION_OF_SSU_RRNA	0.78758556	2.0849078	0.0
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	0.8062724	2.373204	0.0
GOBP_POTASSIUM_ION_TRANSPORT	-0.6084294	-1.7430569	0.0
GOBP_ATP_BIOSYNTHETIC_PROCESS	0.72563	2.1192367	0.0
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	0.62177604	1.7768667	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C2_T_CELL	0.61729646	1.8376964	0.0
HAY_BONE_MARROW_NAIVE_T_CELL	0.48503134	1.7314353	0.0
HAY_BONE_MARROW_EOSINOPHIL	0.7710182	2.133482	0.0
ZHONG_PFC_C3_UNKNOWN_INP	0.8048739	2.0733917	0.0
BUSSLINGER_GASTRIC_PARIETAL_CELLS	0.47386852	1.5715874	0.0
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	0.7767143	2.4169679	0.0
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	0.8415037	2.3179402	0.0
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.88168275	2.477837	0.0
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.58882815	1.935564	0.0
TRAVAGLINI_LUNG_MYOFIBROBLAST_CELL	-0.6397973	-1.6362042	0.0
GOBP_ATP_METABOLIC_PROCESS	0.46501848	1.5515324	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_1_CELL	0.6864674	2.4136693	0.0
TRAVAGLINI_LUNG_BASAL_CELL	0.5606714	1.90344	0.0
SU_HO_FOETAL_FEMUR_C0_TRANSITIONING_CELL	0.77979285	2.6935482	0.0
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS	0.46517977	1.5702481	0.0
GOBP_EMBRYONIC_EPITHELIAL_TUBE_FORMATION	0.5785241	1.6841054	0.0
GOBP_ELECTRON_TRANSPORT_CHAIN	0.6094333	1.867969	0.0
ZHENG_CORD_BLOOD_C3_MEGAKARYOCYTE_ERYTHROID_PROGENITOR	0.6165762	1.7957867	0.0
ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR	0.6555023	1.9396666	0.0
GOBP_RNA_EXPORT_FROM_NUCLEUS	0.7819541	1.8828652	0.0
GOBP_POSITIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	-0.9353113	-1.7019519	0.0
TRAVAGLINI_LUNG_VEIN_CELL	-0.7220728	-1.7065469	0.0
HE_LIM_SUN_FETAL_LUNG_C1_EARLY_TIP_CELL	0.6373242	2.0684614	0.0
ZHONG_PFC_C2_UNKNOWN_NPC	0.8464571	2.537041	0.0
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	0.71574163	2.4294605	0.0
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	0.8231844	2.7992897	0.0
TRAVAGLINI_LUNG_CLUB_CELL	0.77138495	2.4072702	0.0
ZHONG_PFC_C8_ORG_PROLIFERATING	0.86534244	2.4831698	0.0
ZHONG_PFC_MAJOR_TYPES_NPCS	0.7660011	2.457051	0.0
AIZARANI_LIVER_C12_NK_NKT_CELLS_4	0.70511144	1.7934518	0.0
ZHONG_PFC_C1_NEUROD1_POS_EXCITATORY_NEURON	-0.77261573	-1.6836423	0.0
GOBP_TRANSMISSION_OF_NERVE_IMPULSE	-0.7183492	-1.8183837	0.0
GOBP_TRANSCRIPTION_INITIATION_AT_RNA_POLYMERASE_II_PROMOTER	0.5723017	1.7785419	0.0
GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	0.5282345	1.7271326	0.0
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	0.7935396	2.0756006	0.0
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.6909429	2.1941917	0.0
HE_LIM_SUN_FETAL_LUNG_C7_PCP4_POS_NEURON_CELL	-0.74313635	-1.8559029	0.0
HE_LIM_SUN_FETAL_LUNG_C7_MID_SCHWANN_CELL	-0.52051884	-1.5735276	0.0
HE_LIM_SUN_FETAL_LUNG_C7_LATE_SCHWANN_CELL	-0.651135	-1.7901728	0.0
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	-0.5795879	-1.6175716	0.0
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	0.5126185	1.6976286	0.0
GOBP_REGULATION_OF_NUCLEAR_DIVISION	0.5634645	1.7418888	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_MELANOCYTES	0.5561856	1.8513021	0.0
GOBP_ACTION_POTENTIAL	-0.67463505	-1.8900515	0.0
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	-0.6222416	-1.6768402	0.0
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	0.5309764	1.6305479	0.0
GOBP_MITOTIC_SPINDLE_ORGANIZATION	0.65308684	1.9821066	0.0
GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	0.6162503	1.8642417	0.0
GOBP_LEARNING	-0.62579066	-1.712635	0.0
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	0.6293105	1.9064152	0.0
GOBP_MITOCHONDRIAL_TRANSLATION	0.63328654	1.8922237	0.0
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	0.6387967	1.9923432	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE	0.783887	2.6617453	0.0
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.72588116	2.3453834	0.0
CUI_DEVELOPING_HEART_C5_VALVAR_CELL	0.39910218	1.3583452	0.0
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.8080847	2.5470634	0.0
ZHONG_PFC_C1_MICROGLIA	0.68602866	2.32783	0.0
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	0.758385	2.1826196	0.0
ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2	0.63232493	1.9033988	0.0
ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1	0.66393536	1.8256032	0.0
ZHENG_CORD_BLOOD_C4_PUTATIVE_EARLY_ERYTHROID_COMMITMENT	0.5949639	1.7054893	0.0
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	0.9013849	1.7898798	0.0
GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	0.6275064	1.7924827	0.0
GOBP_OXIDATIVE_PHOSPHORYLATION	0.74715894	2.310386	0.0
GAUTAM_EYE_CORNEA_MELANOCYTES	0.55141205	1.8396764	0.0
GAUTAM_EYE_CORNEA_FIBROBLASTS	0.5629226	1.8295143	0.0
GAUTAM_EYE_CORNEA_CYTOTOXIC_T_CELLS	0.60675794	1.7677153	0.0
GAUTAM_EYE_CORNEA_CONJUNCTIVAL_CELLS	0.57187176	1.7161524	0.0
GAUTAM_EYE_CHOROID_SCLERA_MELANOCYTES	0.6299231	1.9758433	0.0
GAUTAM_EYE_CHOROID_SCLERA_CHOROID_ENDOTHELIAL_CELLS	0.51996	1.6442384	0.0
KEGG_DILATED_CARDIOMYOPATHY	-0.7368193	-1.9040254	0.0
KEGG_CELL_CYCLE	0.68053216	2.0620935	0.0
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.6113039	-1.759553	0.0
MANNO_MIDBRAIN_NEUROTYPES_HPROGM	0.41441602	1.4820628	0.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.63851136	2.0119712	0.0
HE_LIM_SUN_FETAL_LUNG_C0_MESENCHYMAL_2_CELL	0.52575845	1.8845156	0.0
ZHONG_PFC_C1_OPC	0.73749214	2.5358095	0.0
DESCARTES_FETAL_HEART_SATB2_LRRC7_POSITIVE_CELLS	-0.63466173	-1.723289	0.0
TRAVAGLINI_LUNG_PROLIFERATING_NK_T_CELL	0.72969604	2.2781107	0.0
