source	score	norm	pval
GOBP_DNA_TEMPLATED_DNA_REPLICATION	0.72368205	1.8908037	0.0
GOBP_REGULATION_OF_EXOCYTOSIS	-0.5235766	-1.7045993	0.0
GAO_LARGE_INTESTINE_24W_C2_MKI67POS_PROGENITOR	0.6441638	1.6976045	0.0
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	0.6164392	1.7481084	0.0
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.64286053	1.8164332	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	0.625497	1.6808242	0.0
FAN_EMBRYONIC_CTX_OPC	-0.75427717	-2.095331	0.0
FAN_EMBRYONIC_CTX_NSC_2	0.7874696	2.2767754	0.0
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	0.77035105	1.7184705	0.0
HE_LIM_SUN_FETAL_LUNG_C3_VENOUS_ENDOTHELIAL_CELL	-0.5172863	-1.5599328	0.0
GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	0.86648285	1.6684946	0.0
GOBP_DNA_STRAND_ELONGATION	0.8652739	1.7322692	0.0
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	-0.37852642	-1.3190293	0.0
GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH	-0.5748	-1.7208253	0.0
KEGG_DNA_REPLICATION	0.8043346	1.7598164	0.0
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	-0.7209809	-1.7780722	0.0
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	-0.50070584	-1.572678	0.0
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	-0.71616244	-1.9954147	0.0
HE_LIM_SUN_FETAL_LUNG_C0_MESENCHYMAL_2_CELL	0.5869108	1.7281121	0.0
HE_LIM_SUN_FETAL_LUNG_C0_EARLY_FIBROBLAST	0.7051243	1.763026	0.0
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	-0.6585162	-2.1254425	0.0
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	-0.48689738	-1.5216421	0.0
GOBP_POTASSIUM_ION_TRANSPORT	-0.42215812	-1.4236891	0.0
GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	-0.72782844	-1.9080626	0.0
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	-0.80743027	-1.8453523	0.0
GOBP_POSTSYNAPSE_ORGANIZATION	-0.48431692	-1.5723466	0.0
GOBP_HOMOLOGOUS_RECOMBINATION	0.7657983	1.6772585	0.0
FAN_EMBRYONIC_CTX_MICROGLIA_1	0.8057317	2.2356005	0.0
HE_LIM_SUN_FETAL_LUNG_C1_INTERM_NEUROENDOCRINE_CELL	-0.50964916	-1.7507274	0.0
HE_LIM_SUN_FETAL_LUNG_C1_GHRL_POS_NEUROENDOCRINE_CELL	-0.4840748	-1.602495	0.0
HE_LIM_SUN_FETAL_LUNG_C1_EARLY_TIP_CELL	0.6317251	1.73382	0.0
HE_LIM_SUN_FETAL_LUNG_C7_MID_SCHWANN_CELL	-0.45076823	-1.5894825	0.0
HE_LIM_SUN_FETAL_LUNG_C7_KCNIP4_POS_NEURON_CELL	-0.45799482	-1.4422888	0.0
HE_LIM_SUN_FETAL_LUNG_C6_DEUTEROSOMAL_CELL	0.6919371	1.9276247	0.0
DESCARTES_MAIN_FETAL_BIPOLAR_CELLS	-0.6439237	-1.7320802	0.0
HALLMARK_KRAS_SIGNALING_DN	-0.4583183	-1.4630002	0.0
GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY	-0.7373877	-1.8478459	0.0
TRAVAGLINI_LUNG_PERICYTE_CELL	-0.52566755	-1.676287	0.0
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	-0.5283545	-1.6606013	0.0
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	0.8052508	1.7055265	0.0
GOBP_LIPID_EXPORT_FROM_CELL	-0.67307305	-1.7956846	0.0
GOBP_CYTOPLASMIC_TRANSLATION	0.614425	1.6613675	0.0
HALLMARK_MYC_TARGETS_V1	0.716642	1.8635076	0.0
DESCARTES_MAIN_FETAL_OLIGODENDROCYTES	-0.78176755	-2.052312	0.0
GOBP_CHROMOSOME_SEPARATION	0.794434	1.8962584	0.0
GOBP_CHROMOSOME_LOCALIZATION	0.6706021	1.6947558	0.0
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	-0.58800894	-1.8362751	0.0
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	-0.6206015	-1.8830007	0.0
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.75393265	1.7000474	0.0
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	0.7363504	1.8685615	0.0
GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING	0.8149792	1.7200854	0.0
GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	-0.8464364	-1.8743529	0.0
GOBP_HEART_PROCESS	-0.4714678	-1.627492	0.0
GOBP_POSITIVE_REGULATION_OF_SECRETION	-0.43451318	-1.501838	0.0
GOBP_HETEROCHROMATIN_FORMATION	0.6898193	1.6565838	0.0
GOBP_REGULATION_OF_LIPID_LOCALIZATION	-0.45320168	-1.488133	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_SCHWANN_CELLS	-0.58721024	-1.6546605	0.0
GOBP_ACTION_POTENTIAL	-0.5217614	-1.7051204	0.0
HALLMARK_E2F_TARGETS	0.7661544	2.1092448	0.0
HALLMARK_G2M_CHECKPOINT	0.7241541	1.9819432	0.0
DESCARTES_MAIN_FETAL_LYMPHOID_CELLS	0.62230134	1.5723833	0.0
GOBP_REGULATION_OF_HEART_CONTRACTION	-0.4898784	-1.6209979	0.0
GOBP_DETECTION_OF_ABIOTIC_STIMULUS	-0.49576393	-1.548491	0.0
GOBP_DEVELOPMENTAL_CELL_GROWTH	-0.51260513	-1.7100853	0.0
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	-0.47262928	-1.5883969	0.0
GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS	0.5729926	1.5915146	0.0
GOBP_POSITIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	-0.8867981	-1.8068994	0.0
GOBP_RRNA_METABOLIC_PROCESS	0.57531816	1.614573	0.0
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	0.809947	1.7962407	0.0
DESCARTES_FETAL_KIDNEY_MEGAKARYOCYTES	-0.5639262	-1.6633004	0.0
DESCARTES_FETAL_INTESTINE_ENS_NEURONS	-0.64928335	-2.065275	0.0
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	-0.70418686	-1.8465148	0.0
GOBP_MITOTIC_SPINDLE_ORGANIZATION	0.7023197	1.8173856	0.0
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	0.7961825	1.816143	0.0
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.73974603	1.9975952	0.0
TRAVAGLINI_LUNG_PROLIFERATING_NK_T_CELL	0.8069568	2.161425	0.0
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	0.69288296	1.9816722	0.0
LAKE_ADULT_KIDNEY_C14_DISTAL_CONVOLUTED_TUBULE	-0.5447674	-1.7836058	0.0
LAKE_ADULT_KIDNEY_C13_THICK_ASCENDING_LIMB	-0.5766448	-1.7983185	0.0
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	-0.61485195	-1.7968382	0.0
ZHONG_PFC_C8_ORG_PROLIFERATING	0.7138173	1.7796594	0.0
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	0.6940599	1.9406503	0.0
BUSSLINGER_DUODENAL_STEM_CELLS	0.6453043	1.8686037	0.0
ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON	-0.6024314	-1.8494958	0.0
ZHONG_PFC_MAJOR_TYPES_NPCS	0.77252907	2.128691	0.0
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	0.6747669	1.6948178	0.0
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING	0.98011535	1.6925914	0.0
GOBP_AXON_EXTENSION	-0.51858526	-1.5293736	0.0
GOBP_REGULATION_OF_BINDING	0.6254099	1.6378571	0.0
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.75807065	1.8652567	0.0
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	0.67264414	1.9809469	0.0
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	-0.51147485	-1.8075061	0.0
MANNO_MIDBRAIN_NEUROTYPES_HRN	-0.49364036	-1.7833368	0.0
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	0.70730495	1.8443558	0.0
GOBP_TRANSMISSION_OF_NERVE_IMPULSE	-0.6861353	-1.9428583	0.0
ZHONG_PFC_C3_UNKNOWN_INP	0.77079916	1.7640471	0.0
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	0.6208989	1.6281444	0.0
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.6785669	1.8121563	0.0
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.6246239	1.6762148	0.0
TRAVAGLINI_LUNG_CLUB_CELL	0.62901837	1.6991878	0.0
FAN_EMBRYONIC_CTX_ASTROCYTE_2	-0.6090684	-2.0282426	0.0
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_DEVELOPMENT	-0.9059104	-1.8400983	0.0
GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION	0.8720412	1.7139019	0.0
GOBP_GABAERGIC_NEURON_DIFFERENTIATION	0.90055674	1.6578811	0.0
HE_LIM_SUN_FETAL_LUNG_C2_PROMYELOCYTE_LIKE_CELL	0.8004244	1.8123225	0.0
HE_LIM_SUN_FETAL_LUNG_C2_PROMONOCYTE_LIKE_CELL	0.76510644	2.2273898	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NE_PRECURSOR_CELL	-0.52936846	-1.8285608	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NEUROENDOCRINE_CELL	-0.5269724	-1.8471833	0.0
HU_FETAL_RETINA_BLOOD	0.59029526	1.6929957	0.0
GOBP_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	0.7017546	1.6167233	0.0
