source	score	norm	pval
ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR	0.7951349	1.9049274	0.0
BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	0.8278737	1.9302499	0.0
AIZARANI_LIVER_C12_NK_NKT_CELLS_4	0.87216496	1.9034498	0.0
AIZARANI_LIVER_C14_HEPATOCYTES_2	0.6099577	1.5939305	0.0
BUSSLINGER_GASTRIC_IMMATURE_PIT_CELLS	0.6721188	1.7141148	0.0
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	0.75625426	1.831589	0.0
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	0.549989	1.574905	0.0
AIZARANI_LIVER_C20_LSECS_3	0.65036994	1.8468759	0.0
CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	0.744835	1.9202778	0.0
BUSSLINGER_GASTRIC_CHIEF_CELLS	0.8142397	1.8057969	0.0
GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	0.8940688	1.651555	0.0
GOBP_L_ASCORBIC_ACID_METABOLIC_PROCESS	0.96229315	1.6522825	0.0
SU_HO_FOETAL_FEMUR_C0_TRANSITIONING_CELL	0.79476154	2.098411	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_STROMAL_C2_GRANULATING_CANCER_ASSOCIATED_FIBROBLAST	0.7698737	2.0511642	0.0
SU_HO_FOETAL_FEMUR_C2_HYPERTROPHIC_CHONDROCYTE	0.6953603	1.9937438	0.0
TRAVAGLINI_LUNG_ADVENTITIAL_FIBROBLAST_CELL	0.59459406	1.7007307	0.0
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION	0.69918776	1.7940638	0.0
TRAVAGLINI_LUNG_AIRWAY_SMOOTH_MUSCLE_CELL	0.7121697	1.8280956	0.0
DESCARTES_FETAL_HEART_MYELOID_CELLS	-0.78926826	-2.016825	0.0
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	-0.67640275	-1.8370819	0.0
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB	0.77238417	2.0761125	0.0
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB	0.81622714	2.1871066	0.0
MANNO_MIDBRAIN_NEUROTYPES_BASAL	0.8862059	1.9671174	0.0
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	0.6995022	1.6609144	0.0
GOBP_PROTEIN_REFOLDING	0.91607636	1.8227414	0.0
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT	0.9858622	1.556769	0.0
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE	0.97060937	1.8295068	0.0
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE	0.97096413	1.791922	0.0
GOBP_GLUCOSE_METABOLIC_PROCESS	0.6198385	1.626486	0.0
GOBP_GLUCOSE_CATABOLIC_PROCESS	0.9120787	1.7981789	0.0
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	-0.9713266	-1.5575342	0.0
HALLMARK_KRAS_SIGNALING_DN	-0.6744765	-1.7173364	0.0
DESCARTES_FETAL_LIVER_MYELOID_CELLS	-0.67756104	-1.8357372	0.0
DESCARTES_FETAL_KIDNEY_MYELOID_CELLS	-0.60884553	-1.5895944	0.0
HALLMARK_HYPOXIA	0.82992107	2.2640615	0.0
DESCARTES_FETAL_LIVER_LYMPHOID_CELLS	-0.6757954	-1.6221216	0.0
RUBENSTEIN_SKELETAL_MUSCLE_FBN1_FAP_CELLS	0.69068307	1.93238	0.0
GOBP_CYTOPLASMIC_TRANSLATION	0.79306275	1.9592675	0.0
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	0.75799954	1.7747896	0.0
AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3	0.6732648	1.7628547	0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.66135526	1.8184067	0.0
AIZARANI_LIVER_C29_MVECS_2	0.58886075	1.6876918	0.0
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.7179112	1.8077837	0.0
HALLMARK_APOPTOSIS	0.6479533	1.7014935	0.0
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY	0.88694316	1.7361442	0.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.7751036	1.853987	0.0
HALLMARK_GLYCOLYSIS	0.78450817	2.132803	0.0
GOBP_NEGATIVE_REGULATION_OF_GROWTH	0.59571886	1.6036037	0.0
RUBENSTEIN_SKELETAL_MUSCLE_FAP_CELLS	0.663701	1.7726647	0.0
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	0.91749305	1.6848644	0.0
GOBP_PURINE_NUCLEOTIDE_CATABOLIC_PROCESS	0.74710584	1.8566226	0.0
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.6849771	1.7786942	0.0
GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	0.68838084	1.743556	0.0
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	0.82480085	1.8774881	0.0
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	0.9554778	1.7963713	0.0
GOBP_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	0.7370987	1.7712357	0.0
LAKE_ADULT_KIDNEY_C3_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S1_S2	-0.65095764	-1.7783477	0.0
LAKE_ADULT_KIDNEY_C29_UNKNOWN_NOVEL_PT_CFH_POS_SUBPOPULATION_S2	-0.7474266	-1.9192623	0.0
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA	0.78123885	2.137585	0.0
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	0.82262796	2.269498	0.0
LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET	0.592058	1.6380725	0.0
LAKE_ADULT_KIDNEY_C13_THICK_ASCENDING_LIMB	-0.64491445	-1.7062252	0.0
DESCARTES_FETAL_LUNG_SQUAMOUS_EPITHELIAL_CELLS	0.7346215	1.8817627	0.0
DESCARTES_FETAL_LUNG_MYELOID_CELLS	-0.73059005	-1.9293903	0.0
KEGG_RIBOSOME	0.88907295	2.0747461	0.0
KEGG_SPLICEOSOME	0.7767661	1.8914537	0.0
DESCARTES_FETAL_THYMUS_THYMIC_EPITHELIAL_CELLS	-0.6385237	-1.7664708	0.0
DESCARTES_FETAL_THYMUS_ANTIGEN_PRESENTING_CELLS	-0.6762015	-1.8233366	0.0
GOBP_PROTEIN_FOLDING	0.77216214	2.0454667	0.0
GOBP_DE_NOVO_PROTEIN_FOLDING	0.8264261	1.6567612	0.0
GOBP_N_GLYCAN_PROCESSING	-0.96691066	-1.7517765	0.0
GAUTAM_EYE_CORNEA_FIBROBLASTS	0.7156662	1.8622031	0.0
HALLMARK_MTORC1_SIGNALING	0.8548118	2.2659273	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_SMOOTH_MUSCLE_CELLS	0.5907093	1.6351826	0.0
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS	0.8161221	2.0701835	0.0
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	0.7390809	1.8711089	0.0
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	0.7058009	1.6972057	0.0
GOBP_RIBOSOME_BIOGENESIS	0.599953	1.6800982	0.0
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	0.91229177	1.6289128	0.0
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	0.8392624	1.7045363	0.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.6390049	1.764582	0.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.67653966	1.8040781	0.0
DESCARTES_FETAL_PLACENTA_MYELOID_CELLS	-0.72896343	-1.9091737	0.0
DESCARTES_FETAL_PANCREAS_MYELOID_CELLS	-0.62967145	-1.7387809	0.0
HALLMARK_MYC_TARGETS_V2	0.75577873	1.7297482	0.0
HALLMARK_MYC_TARGETS_V1	0.70925987	1.8383958	0.0
GOBP_PROTEIN_STABILIZATION	0.66464406	1.7239801	0.0
DESCARTES_FETAL_SPLEEN_MYELOID_CELLS	-0.72294235	-1.8906318	0.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.8078479	1.9215895	0.0
GAUTAM_EYE_CORNEA_MELANOCYTES	0.6358572	1.7094396	0.0
HAY_BONE_MARROW_IMMATURE_NEUTROPHIL	0.6657501	1.7477478	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_CILIARY_BODY_CELLS	0.7076028	1.7800137	0.0
GAUTAM_EYE_IRIS_CILIARY_BODY_FIBROBLASTS	0.70903903	1.7060909	0.0
GOBP_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS	0.67943454	1.7542961	0.0
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	0.6998247	1.7252125	0.0
GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS	0.7838897	1.853741	0.0
DESCARTES_MAIN_FETAL_THYMOCYTES	-0.7244693	-1.6493068	0.0
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.9105786	-1.7178859	0.0
HU_FETAL_RETINA_BLOOD	0.62193245	1.7069536	0.0
GOBP_NADH_METABOLIC_PROCESS	0.9252136	1.891407	0.0
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.5848569	1.5773933	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_COLUMNAR_CELLS	0.9142617	1.7121892	0.0
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_HORIZONTAL_BASAL_CELLS	0.90907675	1.7064803	0.0
GOBP_RESPONSE_TO_CADMIUM_ION	0.78322923	1.6777714	0.0
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.64836204	1.663524	0.0
GOBP_ENDOTHELIAL_CELL_ACTIVATION	-0.9762856	-1.5781549	0.0
GOBP_CELLULAR_RESPONSE_TO_HEAT	0.91346765	1.9043363	0.0
GOBP_RESPONSE_TO_HEAT	0.8658513	2.0177662	0.0
DESCARTES_MAIN_FETAL_MICROGLIA	-0.83732826	-2.0422876	0.0
HE_LIM_SUN_FETAL_LUNG_C2_PLATELET_CELL	0.5530579	1.5764792	0.0
GAUTAM_EYE_CHOROID_SCLERA_CHOROID_ENDOTHELIAL_CELLS	0.7630269	1.9176195	0.0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.8194679	1.8320575	0.0
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	0.7217623	1.8238679	0.0
GOBP_RESPONSE_TO_ZINC_ION	0.8148654	1.7269375	0.0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.8349856	1.8251734	0.0
HE_LIM_SUN_FETAL_LUNG_C1_PROXIMAL_BASAL_CELL	0.67367655	1.7522942	0.0
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	0.7063689	1.8935616	0.0
FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL	0.7912718	2.1568432	0.0
FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2	0.58890927	1.6588295	0.0
FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL	0.67793584	1.8916434	0.0
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	0.734498	1.834059	0.0
FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0.59953177	1.6920921	0.0
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.73236716	2.0134685	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	0.85801715	2.1162758	0.0
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2	0.5560418	1.5813785	0.0
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	0.5838844	1.5323545	0.0
KEGG_ENDOCYTOSIS	0.63303363	1.6079838	0.0
DESCARTES_MAIN_FETAL_ADRENOCORTICAL_CELLS	0.773751	1.7540886	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_1_CELL	0.7569355	2.0705464	0.0
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	0.81876653	1.7705872	0.0
BUSSLINGER_ESOPHAGEAL_LATE_SUPRABASAL_CELLS	0.81816685	1.9976403	0.0
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.78177357	1.7415609	0.0
BUSSLINGER_DUODENAL_STEM_CELLS	0.6911226	1.915464	0.0
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	0.8506593	2.2447238	0.0
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	0.8241001	2.2711864	0.0
BUSSLINGER_DUODENAL_EARLY_IMMATURE_ENTEROCYTES	0.76221293	1.8464775	0.0
RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS	0.6089208	1.6538808	0.0
TRAVAGLINI_LUNG_BASAL_CELL	0.7469882	1.9286215	0.0
DESCARTES_FETAL_EYE_MICROGLIA	-0.8108459	-2.0219276	0.0
DESCARTES_FETAL_ADRENAL_MYELOID_CELLS	-0.7320805	-1.9141301	0.0
TRAVAGLINI_LUNG_NEUTROPHIL_CELL	0.549932	1.5299494	0.0
TRAVAGLINI_LUNG_BASOPHIL_MAST_1_CELL	0.5864193	1.6504644	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL	0.6855102	1.9144412	0.0
AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	0.6277282	1.6979102	0.0
TRAVAGLINI_LUNG_CLUB_CELL	0.75769424	1.9008733	0.0
TRAVAGLINI_LUNG_DIFFERENTIATING_BASAL_CELL	0.64929104	1.6442533	0.0
TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL	0.66458976	1.7257897	0.0
CUI_DEVELOPING_HEART_C7_MAST_CELL	0.7467217	1.8941327	0.0
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.7593554	1.9122169	0.0
BUSSLINGER_GASTRIC_PARIETAL_CELLS	0.612382	1.6837928	0.0
AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4	0.7278327	1.9365566	0.0
CUI_DEVELOPING_HEART_C5_VALVAR_CELL	0.6762254	1.8546405	0.0
GOBP_PYRUVATE_METABOLIC_PROCESS	0.70799387	1.764434	0.0
GOBP_RECEPTOR_INTERNALIZATION	0.6363698	1.5917594	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_STROMAL_C0_MINERALISATION_STROMAL_CELL	0.75334054	1.9678568	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_STROMAL_C1_OSSIFICATION_STROMAL_CELL	0.6945853	1.8199757	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C3_SKELETAL_PROGENITOR_LIKE_CELL	0.5922595	1.6359553	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C1_M2_MACROPHAGE	0.8547549	2.0962794	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C5_CHON2	0.719424	1.9669929	0.0
