,AT6_1,AT12_0,AT14_3,AT7_1,AT12_5,AT11_15,AT5_7,AT3_0,AT6_14,AT3_8,AT7_9,AT6_15,AT10_13,AT9_7,AT14_0,AT4_1,AT13_9,AT15_10,AT10_1,AT12_3,AT15_7,AT6_0,AT7_13,AT14_11,AT4_0,AT5_3,AT3_6,AT5_11,AT4_5,AT13_15,AT10_7,AT9_11,AT5_8,AT14_15,AT3_7,AT12_1,AT3_9,AT9_15,AT10_8,AT10_9,AT11_0,AT7_3,AT6_4,AT4_15,AT6_6,AT9_8,AT7_12,AT4_12,AT11_10,AT13_1,AT7_14,AT3_1,AT14_6,AT6_9,AT12_15,AT10_11,AT7_4,AT5_4,AT5_0,AT9_12,AT4_13,AT6_13,AT14_1,AT10_12,AT3_15,AT15_1,AT14_9,AT15_9,AT5_13,AT5_14,AT12_10,AT6_7,AT9_3,AT4_2,AT10_6,AT11_12,AT7_8,AT4_3,AT15_8,AT9_6,AT7_10,AT3_10,AT3_14,AT6_11,AT7_11,AT15_5,AT9_9,AT14_12,AT12_13,AT12_2,AT11_5,AT14_8,AT12_7,AT11_8,AT10_14,AT13_11,AT11_14,AT15_4,AT9_2,AT5_2,AT15_12,AT11_1,AT14_10,AT4_6,AT9_1,AT13_3,AT12_4,AT5_10,AT7_2,AT10_0,AT12_12,AT15_2,AT3_4,AT6_3,AT7_15,AT15_11,AT14_2,AT3_13,AT14_13,AT9_0,AT7_0,AT9_5,AT4_9,AT4_8,AT14_5,AT5_15,AT6_5,AT6_10,AT10_3,AT13_6,AT13_7,AT3_5,AT7_5,AT11_9,AT5_9,AT4_7,AT5_12,AT9_4,AT10_2,AT3_3,AT10_5,AT9_13,AT9_10,AT4_10,AT11_3,AT11_2,AT10_10,AT15_0,AT6_8,AT14_7,AT13_0,AT5_1,AT4_4,AT13_2,AT14_14,AT9_14,AT12_8,AT10_4,AT13_13,AT6_2,AT7_7,AT10_15,AT7_6,AT11_11,AT15_15,AT13_4,AT15_3,AT12_11,AT15_13,AT6_12,AT12_6,AT5_6,AT12_9,AT13_10,AT13_12,AT13_14,AT3_12,AT15_6,AT3_11,AT4_11,AT11_6,AT11_13,AT13_5,AT4_14,AT13_8,AT3_2,AT14_4,AT11_4,AT15_14,AT12_14,AT11_7,AT5_5
Hypoxic 1 (cell state),0.7954649740142378,0.9014701961854024,0.0858445834837775,0.8163063950319048,0.0381529008840175,0.0481633957421971,0.0,0.1444670117829647,0.0927359521131698,0.8397698688116749,0.0081003699327592,0.0762992955702801,0.0,0.6714206665070613,0.7273469788326951,0.6318571125440173,0.9460324553700348,0.54352015,0.6934954030855552,0.0250334045503265,0.34456345,0.0028817016002008,0.1625418976105877,0.0332144039222833,0.0179394318142483,0.0,0.0013921303947857,0.6622733354889512,0.0,0.0,0.1655579900727166,0.2538424065012493,0.0,0.0333896760005245,0.0021669227452372,0.0064931661451559,5.0699160709948574e-05,0.0,0.0,0.0,0.0139458548045247,0.0009422863955352,0.0,0.3009834113849503,0.028328684677752,0.070411009853359,0.0034201052036047,0.0,0.0306284080390784,0.0006125743951366,0.0,0.0,0.0,0.0,0.0,0.0,0.0006439423133867,0.0,0.0,0.0,0.0,0.0,0.0,0.0077499801336407,0.0,0.0,0.0018410213585364,0.0,0.0,0.0,0.0053143225494376,0.0005995192603304,0.0016158364157098,0.0,0.0031752185114244,0.045169071886976,0.0020834028170902,0.0,0.0,0.0004190952060908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232858655614445,0.0182560720305536,0.0,0.0,0.0,0.0,0.0094548424757548,0.034103700292512,0.0,0.0021051294974266,0.1956707887504986,0.10121317,0.2595740080201128,0.0024687072578561,0.0035204799385976,0.0,0.009659537185868,0.0,0.0,0.0003127183751384,0.0,1.1747168297233218e-05,0.0,0.0016058332224027,0.0,0.001178236753776,0.0,0.1074420612332453,0.0,0.0078374740221688,0.000185856019103,0.0023949702308803,0.0,0.037407301013173,0.0082922633050135,0.0003231549527276,0.1137152604785897,0.0004673827843109,0.0032224899797178,0.0233510822468236,0.0,0.0011012240534702,0.0070255744226543,0.0,0.0882253536272877,0.0283406152819603,0.0,0.0,0.0,0.0627584084774837,0.0,0.0287359573115672,0.0,0.0,0.0,0.3541835059660559,0.0010704143248832,0.0151759601607883,0.0,0.0,0.0,0.0003820400427536,0.0,0.0,0.0002824389297003,0.0002919389361847,0.0,0.0,0.0,0.0024848708565724,0.0,0.0007125649354415,0.0,0.0013631103998947,0.0283051096754164,0.0,0.0017665009803862,0.0044407444,0.0,0.0062625105,0.0,0.0,0.0,0.0,0.0046788308024108,0.0033411431893079,0.0045079178604347,0.0,0.0,0.0,0.0,0.0363470950519361,0.02863221973688,0.0058953572630902,0.0,0.0098002665950788,0.0035219594595703,0.0,0.0,0.0,0.0002383969559182,0.0133957908015853,0.0
Stress-response TAMs,0.0689652238606538,0.0163263040268392,0.76839328465622,0.0940461621987703,0.7855457694014791,0.0,0.3341648339990525,0.8937470000575194,0.1062384510549251,0.0409684795437907,0.8470987716073815,0.7958580504674907,0.44198663875021,0.4853684122588507,0.0518921405323001,0.0,0.2744870624042872,0.8968453,0.5097695458617494,0.0243556330423177,0.098764844,0.0,0.0,0.0,0.155838835500365,0.1720996336331084,0.0017312456094196,0.4210138686202254,0.0,0.0,0.0,0.0,0.0,0.0287341753873914,0.0009044192931275,0.0171373107306766,9.954190340750945e-05,0.4906129370163669,0.0254532551627499,0.0092903225328265,0.0,0.0,0.0,0.0,0.0051830867077377,0.0,0.0,0.0,0.0,0.2326091370920688,0.0,0.0235150355699215,0.0,0.0023108330414296,0.0048140634277067,0.0,0.0013167181784221,0.0,0.0,0.0240186507247822,0.0,0.0,0.0218150569006198,0.0,0.0,0.0,0.0005260297032172,0.0,0.0,0.0,0.0093239647440519,0.000703600929944,0.0,0.0,0.0004734850842314,0.0,0.0,0.0,0.0,0.0,0.0,0.0006888944659044,0.0097353669619691,0.0,0.0,0.0,0.0,0.0033176017817034,0.0,0.0742611586085378,0.0,0.002520070934104,0.0226238987268404,0.0,0.0,0.045642834127841,0.0,0.0009011871,0.0,0.0,0.0,0.0,0.0100803260461788,0.0123478869915247,0.0,0.0137447273178875,0.0065929149503322,0.0,0.0061001676852249,0.0043643235206418,0.0065740646598384,0.0,0.0021493033176368,0.0011190842396494,0.0153766926684094,0.0021777237,0.0565986951622588,0.0,0.0059175133036718,0.0,0.0242871464219577,0.0,0.8050079216868521,0.0268053558212579,0.0197691116335017,0.0702285533812682,0.0,0.0196216696981694,0.0,0.1112178295424975,0.0224738608019296,0.0049544858175325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310912,0.0,0.0005808135945234,0.0103517554521648,0.0024931103663453,0.0,0.0049970945900116,0.0006292109873231,0.0,0.0086719044240744,0.0086624290875909,0.0794043587815584,0.0,0.0094193728125326,0.0,0.0023549684273011,0.0,0.0,0.0,0.0,0.0055661307320482,0.0,0.0,0.0051353146090702,0.0,0.0017050984150953,0.0098791998495234,0.007285486957292,0.009591194900715,0.0001379494884833,0.0,0.0,0.0,0.0,0.0,0.1473084559247853,0.0,0.0310070022574374,0.0213682779712874,0.0292259693769859,0.0,0.0,0.0113664695010914,0.0,0.0
Angiogenic TAMs,0.0592882720047909,0.0468497459518863,0.4974463195247025,0.0,0.7154443880789257,0.5246862115602532,0.8528612319158695,0.3659546780743279,0.8565952369665094,0.0376596290046267,0.8384093198518978,0.0326937739714053,0.7663531426564564,0.0750655993593039,0.0,0.0,0.1383196172719415,0.81688124,0.0,0.0698597688423119,0.16873401,0.0135875907381629,0.0192756262781791,0.1787183389214181,0.13165548088759,0.0723548465599014,0.1874539628472836,0.065300182497914,0.0,0.2658804065332141,0.0855727173265843,0.0,0.0,0.1075260273954153,0.0,0.0,0.0,0.8553831994916772,0.0943195441240865,0.0247292280662403,0.0217311255233312,0.1048896907295013,0.0028884575493396,0.026881684949013,0.0031420605618015,0.0172846078859487,0.0,0.0,0.2048590952394318,0.221423684704334,0.0,0.3510950915790998,0.0,0.0169022457377708,0.1184020229385086,0.0253927352889409,0.0,0.0,0.0,0.0352623037752724,0.0,0.0052187764294267,0.0997390843406017,0.0,0.0,0.0,0.0032256791830866,0.0,0.0,0.0,0.0106839062640712,0.0,0.0,0.0,0.0,0.0099084838408419,0.0,0.0,0.0,0.0,0.0017503114715621,0.0,0.0287217323113323,0.006371615005743,0.0335118956752344,0.0016506414,0.0,0.0680489316203769,0.0,0.0,0.0123064793578354,0.0085958129861711,0.0131522900990245,0.0544442728978011,0.0,0.0850557692699862,0.0,0.0,0.0,0.0,0.0,0.0524695723311665,0.0,0.0,0.0,0.1095522920736241,0.0129599200117253,0.0,0.0,0.0,0.0,0.0,0.0,0.0025932482681338,0.0,0.011425917,0.0187567204276022,0.0,0.0,0.0,0.0,0.016650776809184,0.8393877572423096,0.0020750769210873,0.0,0.0038892891891364,0.0,0.0,0.0026412385357623,0.0453595708881872,0.0,0.0,0.0008677044678298,0.015164355341459,0.0014868353287276,0.0,0.0,0.0,0.0009913940019291,0.0019491171341454,0.0,0.0,0.0003535126786136,0.0,0.0,0.0049851510766563,0.0,0.0013082278,0.0001655120121704,0.0,0.0043249779620187,0.0041076145084509,0.0,0.0067840021843054,0.0,0.0,0.0061914060518896,0.0,0.0098992426444698,7.638736783845987e-05,0.0012954515257952,0.0,0.0,0.0114668125849335,0.0,0.0,0.0,0.000422021899422,0.0,0.0004768233869065,0.0007091873767923,0.0,0.0004169394387433,0.0019165012486262,0.0016524756121671,0.0021329200015772,0.0,0.0,0.0,0.0,0.0,0.0488791804535957,0.0918621222686969,0.0,0.0158364173368508,0.027165789049184,0.0179430856006254,0.0340803735492594,0.0,0.0049084030466988,0.0050188862434344,0.0
Gliosis-like,0.0433040948480713,0.0045235401929576,0.0051926081808174,0.1122301369638391,0.0,0.1834148582416004,0.1857863406244039,0.0083317249504085,0.013085564276114,0.0052789316027323,0.0314163350348585,0.0,0.1104731322868973,0.2046370401511422,0.035539004165494,0.0,0.1518347633756463,0.160737,0.2867388402774521,0.5736181862398134,0.8163151,0.7955799764181384,0.8168120115773938,0.7348274027776813,0.5072195097565734,0.4177024707115662,0.8348544250134459,0.3334245206769251,0.3699311186844521,0.7659438780658802,0.5891661637618173,0.7423376457438725,0.0,0.0426665140812092,0.0,0.1592267875454358,0.0010636013790127,0.0298042627287382,0.0133234728630649,0.0,0.133131759800288,0.0228486835896189,0.1445712678087063,0.0009460200043204,0.0,0.0,0.0085949638098376,0.1216897944635596,0.0,0.0,0.0,0.0,0.0,0.0,0.003731643443315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016842089464824,0.0,0.0019798072562001,0.0,0.0079216263067912,0.0,0.0,0.0,1.093547669049824e-05,0.0008189576928774,0.0,0.0,4.273505288190332e-06,0.0051918460199899,0.0006514755086854,0.0,0.0,0.0,0.0023009402712142,0.0001648383521756,0.0010905087119586,0.0,0.004124904640657,0.0011508692,0.0,0.0,0.1017149811603423,0.0,0.0076459143401972,0.0,0.0,0.0,0.0,0.0,0.00707393294598,0.00038101617,0.0,0.0340366191359009,0.0,0.4903006089028136,0.0053465810882539,0.0,0.0108449519501628,0.0058222982770317,0.0,0.0058309986491058,0.0,0.0002941173054799,0.1570910753381221,0.001402509,0.1189425782248356,0.0,0.0002164547448279,0.019489607,0.1530636392214277,0.0231918398947651,0.0043797013947407,0.0,0.0,0.0016882905394779,0.0,0.0,0.0,0.0179894548999372,0.001045669015091,0.0015944699410013,0.0,0.0763990602814417,0.0,0.0023202683863355,6.322508030299787e-05,0.0201234991331336,0.0043075681663861,0.0,0.0004621094870483,0.0055183578651844,0.0,0.0,0.0,0.0015376455627386,0.0036318054586831,0.0,0.0455121837983193,0.0049376327245993,0.0,0.00052387756,0.0,0.0024352296309754,0.0,0.0004599176487262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007408687787642,0.0,0.0,0.0020720271168451,0.0,0.0,0.0,0.0,0.0,0.0,8.285060332320884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027814762281297,0.0002135570910941,0.0064445552381236,0.0,0.0,0.0,0.0,0.0,0.0069434842061265,0.048970079750961,0.0,0.0,0.0451811019871484,0.0
AC-gliosis-like 1,0.0,0.0,0.0,0.0002149640157913,0.0,0.0064295495284133,0.2640030271461624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047823158557326,0.0,0.0,0.0,0.0,0.155233045965027,0.4653656,0.025013181521722,0.0,0.0458214740045181,0.2105947328973658,0.1760820938912534,0.0228112394943033,0.0,0.7599929577537341,0.7665764810704198,0.0059577599390858,0.0420445552862156,0.0,0.6824990058732142,0.8511544373864285,0.6640431731374197,3.566724881584346e-05,0.4751770483639378,0.9088434454249488,0.0100647634706513,0.5936932885866546,0.9065522202691808,0.8145585472067179,0.0039094429199014,0.1540594006747991,0.0110652858146477,0.0447986630257147,0.0,0.0161861478175357,0.0044399491135341,0.0,0.0,0.0,0.0003123819596936,0.0102137603077634,0.064613103226872,0.0,0.0,0.0816030313525226,0.0,0.0,0.0013114128329286,0.0025957519761557,0.0077360119140799,0.0259322220428017,0.034622293,0.0003516519039906,0.0,0.0,0.0,0.0018451793549279,0.0002329429652177,0.0,0.0,0.0,0.0023106178400827,0.0332264967847762,0.0,0.002972756,0.0340497323544322,0.0,0.0,0.0,0.001765461627542,0.0029570333865436,0.043168064,0.0,0.0,0.0328371535653296,0.0,0.0,0.0,0.0009688469665475,0.0667780919626979,0.0,0.0145441052798037,8.91240946269606e-05,0.00044850464,0.0099308256525969,0.4353741560005117,0.0,0.2047841912788944,0.0,0.0190698325269185,0.4277325525281696,0.1922789135054469,0.0015216543266448,0.0044695425074004,0.0042598923828783,0.0,0.1328493265302171,0.0,0.0452326884657131,0.002043561825318,0.003974526116814,0.4534228,0.2503448000833968,0.0410991462769664,0.0,0.0,0.0,0.0,0.0,0.0064330339020799,0.0,0.0384681491021493,0.0002996994927468,0.0,0.0027849160243621,0.0,0.0,0.00208987917226,0.0,1.2791855719999817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076249466644267,0.0,0.0,0.0,0.0,0.0012394044077345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045956686525673,0.0,0.0011155524925993,0.0,0.0029006515257015,0.0,0.0,0.0005588830998196,0.0,0.0,0.0,0.0004034098933139,0.0,0.0,0.0,0.0020439460255896,0.0015368766988418,0.001229593239615,0.0,0.0,0.0030002830433339,0.0,0.0,0.0261424416875139,0.0012917242499139,0.0,0.0109038590644479,0.0086444368693768,0.0123655958952572,0.0406048436261462,0.0,0.0004878598461225,0.0353439650572871,0.0
Hypoxic 2 (cell state),0.0,0.0253811064039207,0.0,0.0,0.0,0.2537369702828174,0.0,0.0,0.0,0.0966508044972359,0.0006849376904657,0.0,0.0,0.0569827769135421,0.0295232772968314,0.0,0.0,0.0,0.0,0.066487640019166,0.5368263,0.0269872136643413,0.0007247268405421,0.0599111227137591,0.0,0.2566522139402618,0.4802672039283906,0.6691885174628959,0.0087431037236559,0.4780670510389468,0.3745135003855864,0.1929768180324047,0.0,0.0120846993759971,0.1964353738537401,0.1682067632650689,0.0085568262581804,0.0046030465508701,0.0161193761606271,0.0,0.0,0.0111072127174682,0.0,0.9661875699107888,0.9614496721289086,0.6999464552351582,0.9013798287513692,0.0022966317720082,0.0,0.0,0.0,0.0437202280548615,0.0,0.0,0.0,0.0612733193026412,0.0,0.0,0.0155739341020508,0.0,0.0019201330234868,0.0005807179599255,0.0013747479571226,0.0458904803791063,0.0,0.0,0.0,0.0,0.0,0.0,0.2153554754992265,0.0,0.0027426406788119,0.005052531175831,0.0067134988878362,0.0,0.0724503961817487,0.000158796210764,0.0,0.0,0.0,0.0,0.0,0.0048186390818058,0.0023096340550445,0.0,0.0,0.0,0.0,0.0893281848186352,0.0,0.0,0.0,0.0,0.0,0.0028171678832923,0.0109502822486925,0.02306134,0.0,0.0273295257184682,0.17940836,0.2864926356059753,0.0232162880847825,0.0040573809973857,0.0091618020237701,0.3884694825128053,0.1369914814980138,0.0309462815027799,0.0038406903230741,0.0165062687184114,0.2982493484959687,0.0,0.0478990269290669,0.0,0.0030192927249454,0.26070395,0.4199128433996379,0.0,0.4408393074351365,0.0,0.0,0.0,0.0,0.0,0.0018398538144558,0.0,0.0061637571650187,0.0,0.0334996347492801,0.0,0.0066779629148725,0.0,0.0015037412093038,0.0232821417570649,0.0,0.0114097742966626,0.0003095272735432,0.0308860417642475,0.0,0.0,0.2435520437241556,0.000740108798281,0.001960310002914,0.0,0.3721931919163616,0.0045671098615686,0.1191366248714016,0.0,0.0,0.0,0.0007845068575823,0.0,0.0,0.0052260879189219,0.0,0.0,0.0,0.0827952528209537,0.00731394995454,0.0,0.0017418038176641,0.0,0.0012377356883737,0.0016032509844107,0.0,0.0034611044063254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116725569473591,0.0128023081191427,0.0068000765727792,0.0,0.0,0.0,0.0001740788894164,0.0,0.0,0.0168957709506946,0.0,0.0590119739227372,0.1264705364785244,0.0112978599222769,0.0,0.0,0.0,0.0471744173431087,0.0
Proliferative TAMs,0.0,0.0,0.0224860326271677,0.0,0.0,0.0,0.0649042754112026,0.0958876530259418,0.0169272756156692,0.0,0.0324678815641079,0.0,0.0043651262251267,0.0,0.0,0.0,0.0,0.011710407,0.0,0.0684520519772685,0.0,0.0,0.0,0.0,0.0072222916290772,0.0,0.0665209014100452,0.0,0.0460033843410513,0.0,0.0,0.0,0.0,0.0719924852127053,0.0,0.0581711803415267,0.0,0.0,0.0,0.0634375564682743,0.0,0.1361355918668965,0.0,0.0,0.0,0.0,0.0,0.9037821533513296,0.4790887375227976,0.587471951456379,0.2722904963884189,0.762514113164665,0.4077056883246963,0.9445931062238806,0.6151318559250721,0.7950807538641627,0.0964984600638638,0.0393601612299246,0.2394870574982559,0.5170785979294502,0.0035867480258989,0.0,0.3917944735125144,0.0765577582311153,0.0,0.093650706,0.0319606777805547,0.0,0.0,0.1994161944924766,0.0141786600960099,0.0,0.0729530774473422,0.0175134329892397,0.0339669797346601,0.103984299992099,0.2551497523096686,0.0,0.0,0.0936325993557219,0.0,0.0,0.0704313317522877,0.0141816832631064,0.0,0.3587066,0.0387584323218959,0.023510575623389,0.130569305353305,0.0,0.0267991261471766,0.0,0.0180030981327796,0.0258333251966159,9.278650997671747e-05,0.0570093366456696,0.0018496073113739,0.035804577,0.0412464105310499,0.3356085175198353,0.0,0.1311553564706017,0.0,0.010127967030112,0.0,0.1446576849448416,0.0,0.0,0.0,0.0,0.0954938481740379,0.0,0.0,0.0,0.0039837272003931,0.50012773,0.0078380558150485,0.0046460006470601,0.0,0.0086954560472885,0.167649769947031,0.0110840688095953,0.0,0.001304090304969,0.0,0.0418212124195338,0.0242979348973435,0.0,0.0,0.14532574108136,0.0,0.0,0.03582432065962,0.0141221728286987,0.0794025814287709,0.0,0.0,0.0,0.0222512884039133,0.0,0.0042477505627707,0.2119751775315686,0.004576180026087,0.0068192778921565,0.0416018670644121,0.0,0.0,0.0,0.0,0.0,0.0165843298632563,0.0,0.0036406544361653,0.0,0.0,0.0,0.0,0.0,0.0489509560084933,0.0,0.0,0.0,0.0,0.0803650274223401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0510904309642856,0.0175727574532556,0.0,0.0,0.0,0.0,0.0427120111039235,0.0,0.0,0.0,0.0265372916263426,0.0
Monocytes,0.0,0.0,0.0285649346725902,0.0,0.0,0.018298550256098,0.519739730755462,0.0427422389470619,0.0323905369911294,0.0030220325313351,0.029013211640728,0.0005297200194774,0.0,0.0,0.0,0.0,0.0011079791205487,0.0,0.0,0.0693462898798306,0.0,0.0,0.0,0.0,0.0303738078915787,0.0,0.0512500177276713,0.0,0.1544875032790236,0.1004561115394387,0.0,0.0,0.0,0.0668529200677148,0.0384486773620497,0.0432475801074204,0.0080140486667464,0.0180431256747318,0.0113535846919058,0.049361131049329,0.0414066527317224,0.003500684426051,0.0476847332453544,0.0,0.0753842683678332,0.001864302747428,0.0,0.4189259451778526,0.5512341706100565,0.2127738946856545,0.0711369464766749,0.5850450145719535,0.0,0.8069182768313615,0.7124501222885122,0.9069571738062258,0.0531538895686751,0.0786629028285436,0.0714597531516939,0.5023021972352761,0.1155435674859585,0.0,0.6498462680208914,0.0288749333511659,0.0,0.0,0.0084438422011591,0.04041947,0.0,0.0,0.0,0.0,0.0071052545733756,0.0,0.0034531771013735,0.0056979570533806,0.1048485286301898,0.0112280994879426,0.0,0.0,0.0245454712256984,0.0,0.1171423291404928,0.0147628867950082,0.0,0.15494435,0.0180767603698083,0.0827639111240872,0.0602287016870172,0.0,0.0313048273286953,0.0003136353222621,0.0129441691942458,0.062032524593839,0.0,0.1245513081374079,0.0014108291756258,0.1635866,0.0416898661810073,0.1486364488651714,0.043694537,0.0744244968378301,0.0181343413386835,0.0702316138362689,0.0541015694870626,0.2829756693298951,0.0375031272085867,0.0888584207463741,0.0352501351430318,0.0,0.0565098564775782,0.08835614,0.0,0.0162054308942576,0.2105829163528623,0.48688468,0.0114942701874947,0.0,0.0006639636743802,0.0122475242006185,0.0,0.0031295226395475,0.0,0.121654113127976,0.0,0.0351820738310095,0.0,0.0,0.0,0.0775575895643521,0.0,0.0,0.4277183173715962,0.0058743397880723,0.0295663368443933,0.050065856731835,0.0097003048569618,0.0052909508207722,0.0,0.0076978030094417,0.0,0.3136669205601854,0.004332639927396,0.0274894929815638,0.0043602800585315,0.0320763716599996,0.0,0.0,0.0061241468555779,0.0127542280634068,0.0,0.01819402812039,0.0,0.011011333434689,0.0310461314792565,0.0181493655827902,0.0,0.0,0.0100008764332738,0.0,0.0,0.0,0.040249899164492,0.0359732713951157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120619835355952,0.0105561558580249,0.0106543077458849,0.0,0.02211424,0.0,0.0,0.0356951611231835,0.0381361902336987,0.087676302803664,0.0,0.0586164878115708,0.1466378380432472,0.0891215538480729,0.0414961287268566,0.0,0.0077701531568086,0.0205782484272936,0.0
RTN1+ TAMs,0.0,0.0,0.0417573750707203,0.0,0.0,0.0,0.3313987391253195,0.0,0.0,0.0014438385438519,0.015188899151903,0.0,0.0,0.0,0.0,0.0,0.0014896809867223,0.0,0.0,0.0266274150072903,0.0,0.0,0.0,0.0453587954373408,0.0816298030355992,0.0,0.0109150893895741,0.0,0.0,0.0474853596800539,0.0,0.0,0.0,0.0596725019887939,0.0579679688035602,0.0492828019172398,0.0241179264650931,0.0,0.0,0.0025328689080386,0.0672238196242916,0.0,0.0193132550114529,0.0,0.0505101876064339,0.0,0.0023445871226357,0.5433809382075073,0.5228743001827915,0.4018800156689552,0.1908799115899072,0.5722498728966334,0.1766238579327976,0.6035994278181819,0.6476685876947227,0.7386030095610039,0.0,0.1274222491342855,0.1866103569212456,0.3841591386134204,0.2006730195406257,0.1772498942744348,0.1841284571881669,0.0697521946159631,0.0,0.0,0.0,0.010464174,0.0,0.0,0.0,0.0,0.0,0.0,0.0101719799413469,0.0085969344964154,0.0979792200737825,0.0514438065802732,0.0,0.0944323579201215,0.2019746181320928,0.0273636672654051,0.0215709797266698,0.0343388349118104,0.0529121713270624,0.38936797,0.061232296561244,0.3366503945744709,0.0327960530092456,0.0,0.0540415458450417,0.0170755465097833,0.0369622686721472,0.1040914245034524,0.0563420533768197,0.1336522213951594,0.001678721107434,0.0715219,0.1079903772934713,0.1533083011256466,0.10159304,0.0582604362557506,0.0031663356701573,0.0162333079506433,0.0,0.2168794706867993,0.0645671763247793,0.0647028851525246,0.0871821405845727,0.0268657373103691,0.0686930852382398,0.41283858,0.1569000375186255,0.1006984748367702,0.0953482618101127,0.014214366,0.0622029661870027,0.0159680373259076,0.0411468549571661,0.0031147328896935,0.0,0.0,0.0008488299056067,0.1057902947797444,0.0,0.0318546312430959,0.0142899255409156,0.0,0.0,0.0315922526219835,0.0,0.0109179199940463,0.2118949659031948,0.011736467621233,0.0453597768082886,0.0,0.0301039170893034,0.0,0.0037638770661819,0.0026414940257081,0.0897230941052433,0.3490710967220491,0.0,0.0,0.0113616933469231,0.0341653319168541,0.0,0.0,0.0,0.0,0.0080193894717727,0.0292391434002899,0.0,0.0153449660161579,0.0,0.0,0.029284888490741,0.0022451851150331,7.825136357206789e-05,0.0,0.0310120177031131,0.0,0.0132832066016225,0.0453432465866607,0.0,0.0,0.0,0.0016672491563392,0.0,0.0,0.0047036168024314,0.0,0.0005591502254751,0.0071785692866471,0.0060773710963699,0.0086430649599593,0.0,0.0,0.0,0.0,0.0327443830356323,0.0201034546646384,0.0723299943628002,0.0,0.0493493924030468,0.0979431680449244,0.0322169144835997,0.0237718697023043,0.0,0.0371877074613483,0.0040063711105763,0.0
Resident-TAMs,0.0,0.0723663614171884,0.0,0.0,0.0663864652569374,0.0,0.0028723132398745,0.0,0.0,0.0,0.0083959643106273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924012971323615,0.0,0.0,0.0,0.0,0.0027177067042434,0.0,0.0,0.0,0.0076785627633735,0.0,0.0,0.0,0.0416510540426163,0.0040823916391244,0.0858926697196178,0.029493173012163,0.1190730773843202,0.0,0.0,0.0001108418490074,0.0111514944655568,0.001126285406747,0.0003951323265314,0.0,0.0035537053614786,0.0,0.0,0.1087495972285665,0.354976700824622,0.7567072651515309,0.0206692212630255,0.6000084879755634,0.0,0.0115891828997116,0.2571081964205596,0.0603971203879516,0.6756582933352929,0.4955437921794307,0.1010360799363219,0.9132089511316724,0.7614217483624229,0.8510123472758551,0.9218229012355372,0.6770851903302751,0.0,0.0,0.0043024537530266,0.2845801,0.0,0.0,0.0171061750562419,0.0067302560966839,0.0059160795522945,0.0,0.0005915606952984,0.0,0.0,0.0,0.0,0.0098724547116872,0.0,0.0684876621696096,0.0579136572804057,0.0,0.0,0.0073402515,0.0,0.0,0.0616300415014253,0.1337902638467559,0.0974295700392389,0.0,0.0169463728792762,0.0519266417818967,0.0,0.0,0.0,0.015795043,0.0,0.0315224142870612,0.022862751,0.2283514382985728,0.0,0.0,0.0,0.0,0.0294275941012093,0.0051251641704547,0.0,0.0003991213519241,0.166785013577967,0.4503046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039607340872067,0.0,0.0218643249473375,0.0,0.0380957877308732,0.0053684088245917,0.0266091237311131,0.0169133864294894,0.0028984156057664,0.0015531213100563,0.0,0.1826109933559057,0.019588315702509,0.2690147520437337,0.0,0.0,0.0,0.0,0.0107472566048963,0.0120019003007099,0.0,0.0093908352624131,0.0,0.0,0.0,0.0,0.0,0.2384703085123636,0.21911721,0.0,0.0593180830494178,0.0559649016753052,0.2955484584529382,0.0813365972105202,0.004568054742168,0.005105761498302,0.034430198964905,0.0241002215022296,0.0,0.0,0.0949182630913912,0.0214770579783833,0.0,0.00365842566219,0.0122421986006222,0.0,0.0,0.0,0.0038377185761038,0.0,0.0119893109130921,0.0018029210021329,0.0,0.0042151726279508,8.944441558217533e-05,5.934065950793589e-05,0.0,0.0,0.0,0.0001217360149818,0.0,0.2076221143402699,0.0286887589728448,0.0,0.0,0.0,0.0489143937529922,0.0,0.0076110826763754,0.0,0.0226030120894966,0.0,9.15999601888724e-05
