,index,histopath_feature,proportion,r,p
0,Hypoxic 1 (cell state),Cellular tumor,0.23534646790009317,0.144005746717004,0.0
1,Gliosis-like,Cellular tumor,0.21744353541935701,0.18626177909309355,0.0
2,AC-gliosis-like 1,Cellular tumor,0.17497188420511486,0.278140846641916,0.0
3,AC progenitor-like 1,Cellular tumor,0.0677321540951432,0.2020023392840589,0.0
4,AC progenitor-like 2,Cellular tumor,0.247728833985646,0.29518990733930545,0.0
5,OPC-NPC-like 1,Cellular tumor,0.056777124394645745,0.25137510385560524,0.0
6,Hypoxic 1 (cell state),,0.0757780384739204,-0.00548581946342724,0.0508459486687455
7,Gliosis-like,,0.0983668171450067,-0.012848852575712834,4.786411754906254e-06
8,AC-gliosis-like 1,,0.36340035257089764,0.02529169813967991,2.1681975194827512e-19
9,AC progenitor-like 1,,0.06002618248146873,0.009562141003558039,0.0006643813230403742
10,AC progenitor-like 2,,0.3371603730531888,0.02225280424946835,2.3331934644207246e-15
11,OPC-NPC-like 1,,0.0652682362755177,0.018635389440755983,3.264145390169181e-11
12,Hypoxic 1 (cell state),,0.07263844420993917,-0.13647900442889674,6.6027947819135504e-307
13,Gliosis-like,,0.1584698642141991,-0.19202371115821246,0.0
14,AC-gliosis-like 1,,0.07269761054209062,-0.2004532385925863,0.0
15,AC progenitor-like 1,,0.06968440249436299,-0.1467519367775556,0.0
16,AC progenitor-like 2,,0.45279854663524866,-0.10302464890454621,4.296561262543916e-175
17,OPC-NPC-like 1,,0.17371113190415932,-0.07418466292826553,1.653498072074704e-91
18,Hypoxic 1 (cell state),,0.09423454503624593,-0.06520257129920189,5.300755054396835e-13
19,Gliosis-like,,0.30800364907630895,-0.0158528301102594,0.0795997521618092
20,AC-gliosis-like 1,,0.11300416645377065,-0.10681669670309263,2.2842600380400568e-32
21,AC progenitor-like 1,,0.06673083554241259,-0.2943725025486562,5.366552657629689e-243
22,AC progenitor-like 2,,0.3372141987358845,-0.042436505330474716,2.673017398553239e-06
23,OPC-NPC-like 1,,0.08081260515537737,-0.053210282412297284,3.9132652813832525e-09
24,Hypoxic 1 (cell state),,0.14700212011143018,-0.07270473518569849,6.577694358327046e-58
25,Gliosis-like,,0.07651026251634903,-0.11532253392762933,2.1981203196655373e-143
26,AC-gliosis-like 1,,0.05806621889225747,-0.10561016790547059,1.918520028797363e-120
27,AC progenitor-like 1,,0.10571133197361939,-0.09742557398859444,1.048285354481981e-102
28,AC progenitor-like 2,,0.4259344614754763,-0.14336909971893863,2.735116286783027e-221
29,OPC-NPC-like 1,,0.18677560503086757,-0.10621279736984267,8.306596671599885e-122
30,Hypoxic 1 (cell state),,0.016527085593585088,-0.07559159263559963,1.3098157665637703e-42
31,Gliosis-like,,0.07766050304197811,-0.11182242789241668,2.1979244840346664e-91
32,AC-gliosis-like 1,,0.029438308349971885,-0.11504257885258296,1.2033257265215967e-96
33,AC progenitor-like 1,,0.04573393259410072,-0.07660743120285593,1.0195779984368387e-43
34,AC progenitor-like 2,,0.7423919983858775,0.049495038497770635,3.5264701752969425e-19
35,OPC-NPC-like 1,,0.08824817203448662,0.008231516133309545,0.13682113885810804
36,Hypoxic 1 (cell state),,0.09970140856382612,-0.006035500752477523,0.03108506191283814
37,Gliosis-like,,0.17998005031744582,-0.0030763747504141976,0.2718006683086128
38,AC-gliosis-like 1,,0.2293590651129562,0.008958956903440979,0.0013727281502482786
39,AC progenitor-like 1,,0.15121079632301704,0.0330772761007809,3.1179861376493556e-32
40,AC progenitor-like 2,,0.26725485869096693,0.027723481521200775,3.955498350531454e-23
41,OPC-NPC-like 1,,0.072493820991788,0.02143012288639713,1.9180060511677847e-14
42,Hypoxic 1 (cell state),Necrosis,0.19012242704762414,-0.0273076209359498,1.448179632876435e-20
43,Gliosis-like,Necrosis,0.5331117522223313,-0.037597782089135154,1.5955212906833257e-37
44,AC-gliosis-like 1,Necrosis,0.2267230690891487,-0.07303610455420535,8.775445719759293e-137
45,AC progenitor-like 1,Necrosis,0.022817816683794265,-0.10953829705973045,4.310892639354654e-306
46,AC progenitor-like 2,Necrosis,0.022992597170933726,-0.16476940253633454,0.0
47,OPC-NPC-like 1,Necrosis,0.004232337786167808,-0.15001362479828126,0.0
48,Hypoxic 1 (cell state),Perinecrotic zone,0.2555663548102092,0.07162650034987918,1.4791442999973853e-128
49,Gliosis-like,Perinecrotic zone,0.4874233697829571,0.24994997698211696,0.0
50,AC-gliosis-like 1,Perinecrotic zone,0.2021677199081051,0.0984881539909744,8.790530912045485e-242
51,AC progenitor-like 1,Perinecrotic zone,0.026423640735106287,-0.022511339835924363,3.664282983733971e-14
52,AC progenitor-like 2,Perinecrotic zone,0.023410576731880312,-0.07800952629764789,3.4543473488970277e-152
53,OPC-NPC-like 1,Perinecrotic zone,0.005008338031741974,-0.07174339471688483,5.6950496858413816e-129
54,Hypoxic 1 (cell state),Pseudopalisading cells around necrosis,0.5147751970704745,0.12388386279229546,9.988964419392809e-113
55,Gliosis-like,Pseudopalisading cells around necrosis,0.3971874745007397,0.07742105342829414,6.012009910695748e-45
56,AC-gliosis-like 1,Pseudopalisading cells around necrosis,0.04018809899662939,-0.008668599956913605,0.11577315060634794
57,AC progenitor-like 1,Pseudopalisading cells around necrosis,0.00944001393969436,-0.016621466715382907,0.0025628093684642622
58,AC progenitor-like 2,Pseudopalisading cells around necrosis,0.028705713703859295,-0.030596582448292248,2.817598806579744e-08
59,OPC-NPC-like 1,Pseudopalisading cells around necrosis,0.00970350178860272,-0.03002780837120135,5.0612427533038175e-08
