,clusterA,clusterB,clusters,mean,std,weight
0,AC-gliosis-like,AC-progenitor-like,"AC-gliosis-like, AC-progenitor-like",132.87366141660385,151.65401744720765,6.773351395640372
5,AC-gliosis-like,Gliosis,"AC-gliosis-like, Gliosis",143.45018553102315,284.65907032513087,6.273954938910569
10,AC-gliosis-like,Hypoxic,"AC-gliosis-like, Hypoxic",171.44171635758727,254.95771798547196,5.249597467414587
16,AC-gliosis-like,OPC-NPC-like,"AC-gliosis-like, OPC-NPC-like",247.60190134879284,396.54097789367546,3.634867079361335
28,AC-progenitor-like,Gliosis,"AC-progenitor-like, Gliosis",199.62835882649276,192.24932873552254,4.508377493511512
33,AC-progenitor-like,Hypoxic,"AC-progenitor-like, Hypoxic",261.2879721378953,310.86578705343555,3.444475429297691
39,AC-progenitor-like,OPC-NPC-like,"AC-progenitor-like, OPC-NPC-like",188.54702533914232,311.4286484930693,4.773344996459937
133,Gliosis,Hypoxic,"Gliosis, Hypoxic",119.31171900100526,165.4401921777808,6.850342828131186
139,Gliosis,OPC-NPC-like,"Gliosis, OPC-NPC-like",360.22895188001297,410.78227362230706,2.498411066914402
214,Hypoxic,OPC-NPC-like,"Hypoxic, OPC-NPC-like",357.82349221597445,413.53267033763984,2.515206574130632
