,annotation_granular,feature,mean,proportion
0,AC progenitor-like 1,ITGAV,1.263008058996615,0.7019527878204086
1,AC progenitor-like 2,ITGAV,-0.5951395310722573,0.47153002346078243
2,AC-gliosis-like 1,ITGAV,1.1148393149313391,0.6533968733654908
3,Gliosis-like,ITGAV,0.22376871474402427,0.6001744534699885
4,Hypoxic 1,ITGAV,-0.3930307905012803,0.4736007778153534
5,OPC-NPC-like 1,ITGAV,-1.6134457670984377,0.31245684153257025
6,AC progenitor-like 1,FN1,-0.6043899335617766,0.21393097063937852
7,AC progenitor-like 2,FN1,1.0835345129650484,0.33450637245577325
8,AC-gliosis-like 1,FN1,-0.2081124519198936,0.21607485325739526
9,Gliosis-like,FN1,1.4373310556474221,0.3987897290519544
10,Hypoxic 1,FN1,-0.1862811392105053,0.21647784917145757
11,OPC-NPC-like 1,FN1,-1.5220820439202942,0.06430350080562472
12,AC progenitor-like 1,CTNNB1,-0.4610739254348177,0.4360058546105058
13,AC progenitor-like 2,CTNNB1,-0.7607520786287558,0.3686830258068607
14,AC-gliosis-like 1,CTNNB1,0.6764808394075482,0.47614342999941883
15,Gliosis-like,CTNNB1,0.5634075225601616,0.5101128495883989
16,Hypoxic 1,CTNNB1,1.47983577668848,0.46512512681772067
17,OPC-NPC-like 1,CTNNB1,-1.4978981345926163,0.29356127979242086
18,AC progenitor-like 1,GAP43,0.06211926461111828,0.5489072644707708
19,AC progenitor-like 2,GAP43,-0.8099263193768151,0.34110075454948957
20,AC-gliosis-like 1,GAP43,1.8004467951334067,0.764921252978439
21,Gliosis-like,GAP43,0.07754322330560687,0.5755874175434771
22,Hypoxic 1,GAP43,0.2875169203238593,0.5479582346973284
23,OPC-NPC-like 1,GAP43,-1.4176998839971753,0.20534014103664022
24,AC progenitor-like 1,ALDH1L1,1.9613000336601214,0.6589188986326733
25,AC progenitor-like 2,ALDH1L1,0.3678379661154674,0.38355208927778833
26,AC-gliosis-like 1,ALDH1L1,-0.09292514160499941,0.34044284302899985
27,Gliosis-like,ALDH1L1,-0.5278096046715952,0.28544949026876737
28,Hypoxic 1,ALDH1L1,-0.48578711180744727,0.2234316875211363
29,OPC-NPC-like 1,ALDH1L1,-1.222616141691548,0.04195526167109586
30,AC progenitor-like 1,SLC4A4,1.3109903179093854,0.8801306028497442
31,AC progenitor-like 2,SLC4A4,-0.3561882466614174,0.5624881110899753
32,AC-gliosis-like 1,SLC4A4,1.2957789801556627,0.8550396156602933
33,Gliosis-like,SLC4A4,-0.4092821428134055,0.57455160006542
34,Hypoxic 1,SLC4A4,-0.36716573905989824,0.5498605005072709
35,OPC-NPC-like 1,SLC4A4,-1.4741331695303277,0.11310134131285442
36,AC progenitor-like 1,SLC1A3,1.560399369747772,0.9280933735316562
37,AC progenitor-like 2,SLC1A3,0.5423682068651494,0.7849216917126371
38,AC-gliosis-like 1,SLC1A3,0.4574729548704473,0.8013017957807869
39,Gliosis-like,SLC1A3,-0.4867387308355759,0.6533282451071253
40,Hypoxic 1,SLC1A3,-0.45576485062283284,0.5977975989178221
41,OPC-NPC-like 1,SLC1A3,-1.6177369500249597,0.2786206030676516
42,AC progenitor-like 1,VEGFA,-0.5667509253311291,0.591728486182869
43,AC progenitor-like 2,VEGFA,-0.8982281692010455,0.3979138925876609
44,AC-gliosis-like 1,VEGFA,0.020199970563057498,0.6776699405280796
45,Gliosis-like,VEGFA,1.2190735721703743,0.9182794526522379
46,Hypoxic 1,VEGFA,1.4089931296918672,0.8770079472438282
47,OPC-NPC-like 1,VEGFA,-1.1832875778931249,0.25539350059637156
48,AC progenitor-like 1,GRIK2,-0.12035848664309506,0.6461338303914332
49,AC progenitor-like 2,GRIK2,-0.443521898938845,0.6386722465284382
50,AC-gliosis-like 1,GRIK2,0.07372759429068992,0.6870265977024854
51,Gliosis-like,GRIK2,-0.6626175578863898,0.5852368751022188
52,Hypoxic 1,GRIK2,-0.9532985565634535,0.4430799797091647
53,OPC-NPC-like 1,GRIK2,2.1060689057410933,0.9629412626336604
54,AC progenitor-like 1,AKAP12,-0.6611802713173277,0.326344496290829
55,AC progenitor-like 2,AKAP12,-0.9655107904177339,0.17614609092638386
56,AC-gliosis-like 1,AKAP12,-0.13889453770572494,0.4726952209372155
57,Gliosis-like,AKAP12,1.3293372501179788,0.735648476257973
58,Hypoxic 1,AKAP12,1.3905242842887684,0.6942213391951302
59,OPC-NPC-like 1,AKAP12,-0.9542759349659613,0.16292452237962712
60,AC progenitor-like 1,GLCCI1,0.0145393459017736,0.6823123209527503
61,AC progenitor-like 2,GLCCI1,-0.11496072784990932,0.6226935514552026
62,AC-gliosis-like 1,GLCCI1,-0.5920154804329646,0.4826717808643769
63,Gliosis-like,GLCCI1,-0.6774590910192535,0.4844899961838303
64,Hypoxic 1,GLCCI1,-0.770873445697627,0.38292610754142714
65,OPC-NPC-like 1,GLCCI1,2.1407693990979806,0.9156918956245161
66,AC progenitor-like 1,EGFR,1.7658587484079524,0.9453319489097665
67,AC progenitor-like 2,EGFR,-1.4103236803506685,0.6961511635279944
68,AC-gliosis-like 1,EGFR,-0.791682939482061,0.6420449042056527
69,Gliosis-like,EGFR,0.08403092350145212,0.7900016355012811
70,Hypoxic 1,EGFR,-0.1377199128293645,0.7366841393304024
71,OPC-NPC-like 1,EGFR,0.489836860752693,0.8763732239636737
72,AC progenitor-like 1,SERPINE1,-0.6010933913127842,0.14106108560491387
73,AC progenitor-like 2,SERPINE1,-0.8558800460309923,0.04612897089594826
74,AC-gliosis-like 1,SERPINE1,0.5375629493656507,0.42339358013211675
75,Gliosis-like,SERPINE1,1.9094197388749845,0.5982118519326174
76,Hypoxic 1,SERPINE1,-0.004474677555697032,0.27360923233006423
77,OPC-NPC-like 1,SERPINE1,-0.9855345733411611,0.007742367490426667
78,AC progenitor-like 1,NAMPT,-0.5099423154215651,0.3935849481466655
79,AC progenitor-like 2,NAMPT,-0.6785099944347454,0.3071460275188637
80,AC-gliosis-like 1,NAMPT,0.31217164872938946,0.584607039770636
81,Gliosis-like,NAMPT,1.792608337337108,0.8089189336531647
82,Hypoxic 1,NAMPT,0.4218529310360798,0.5822412918498479
83,OPC-NPC-like 1,NAMPT,-1.3381806072462663,0.11429408441273096
84,AC progenitor-like 1,HILPDA,-0.6175353537804396,0.10806009732664473
85,AC progenitor-like 2,HILPDA,-0.5338737736264936,0.11609916936148627
86,AC-gliosis-like 1,HILPDA,-0.5961563589937129,0.10303946068460511
87,Gliosis-like,HILPDA,0.4703693475639383,0.3496701739083029
88,Hypoxic 1,HILPDA,2.0424079149172045,0.49991545485289146
89,OPC-NPC-like 1,HILPDA,-0.7652117760804958,0.055180062357446276
90,AC progenitor-like 1,BNIP3L,-0.5110269744860031,0.3167994795901773
91,AC progenitor-like 2,BNIP3L,-0.23641678182885426,0.3356160040580813
92,AC-gliosis-like 1,BNIP3L,-0.8010580808066372,0.238294492551481
93,Gliosis-like,BNIP3L,0.3235967277989135,0.4719511530284032
94,Hypoxic 1,BNIP3L,2.0592340485516623,0.6231188704768347
95,OPC-NPC-like 1,BNIP3L,-0.8343289392290809,0.18813953001736802
96,AC progenitor-like 1,PTK2,-0.8149430476872226,0.8058846341493926
97,AC progenitor-like 2,PTK2,-0.08659888740479266,0.7775664193773382
98,AC-gliosis-like 1,PTK2,1.466586996814519,0.8292167916158153
99,Gliosis-like,PTK2,1.2269728490195597,0.8353595376983045
100,Hypoxic 1,PTK2,-0.713848896549542,0.7468295569834291
101,OPC-NPC-like 1,PTK2,-1.078169014192538,0.706313168302329
102,AC progenitor-like 1,JAK2,0.10769283034079753,0.3097314134881219
103,AC progenitor-like 2,JAK2,-0.9989227981538575,0.21694883013125357
104,AC-gliosis-like 1,JAK2,-0.0727739445451897,0.28823540807035897
105,Gliosis-like,JAK2,2.048632415555681,0.4120918061385815
