,Patient_Clone,state,n_cells,median_pseudotime,mean_pseudotime,q25_pseudotime,q75_pseudotime,diversity
0,at10_0,AC-gliosis-hypoxia,254,0.6830236897115157,0.6620288575141,0.5934045635600512,0.7808790771500738,0.7775140552204765
1,at10_0,dev-like,2477,0.3169659682753672,0.3385531976407854,0.1354085126728477,0.5002720059179359,0.7775140552204765
2,at10_1,AC-gliosis-hypoxia,3854,0.45514746640908776,0.4491525690262353,0.32953329029354306,0.5368052399096614,0.9687343506516104
3,at10_1,dev-like,2665,0.158308936473864,0.1488571270807282,0.075193090368657,0.1894145781798815,0.9687343506516104
4,at10_2,AC-gliosis-hypoxia,1294,0.7503971278527084,0.7055078539899634,0.629403359101638,0.8592912470758742,0.9016484910738507
5,at10_2,dev-like,4146,0.24467797803482785,0.26042201107192553,0.12771962334620673,0.3505927122129591,0.9016484910738507
6,at13_0,AC-gliosis-hypoxia,6545,0.2614008903814239,0.30303890275451284,0.174158337381044,0.4003643948162428,0.3411401174285948
7,at13_0,dev-like,337,0.3442529511188145,0.3605181251687521,0.2375132530843011,0.4695818328263758,0.3411401174285948
8,at15_0,AC-gliosis-hypoxia,421,0.6092039447727041,0.6023916968235741,0.5384031151004142,0.7305180791245107,1.0108515110712466
9,at15_0,dev-like,2458,0.19648154790712163,0.23776852263260428,0.10056668591991595,0.33338282696033905,1.0108515110712466
10,at15_2,AC-gliosis-hypoxia,426,0.8108369347634757,0.7693960341487011,0.7319892599592079,0.8762312397019596,1.07885256964447
11,at15_2,dev-like,2683,0.2834762675491234,0.33335780844912233,0.17062603213116834,0.4677074786722719,1.07885256964447
12,at15_3,AC-gliosis-hypoxia,842,0.5586229005997033,0.5957382036285434,0.5272686652870273,0.7139651659477861,1.2676555178058873
13,at15_3,dev-like,1849,0.2233955403212724,0.25628909890206086,0.0786711172650375,0.378884283688269,1.2676555178058873
14,at15_4,AC-gliosis-hypoxia,1740,0.6531186110417866,0.5953048650731919,0.520558906030538,0.6838533335930171,0.8549757309550091
15,at15_4,dev-like,23406,0.2458082093003347,0.27452181190941927,0.17591121621260492,0.3332780267169366,0.8549757309550091
16,at15_6,AC-gliosis-hypoxia,1206,0.6989450312567114,0.6417160519506979,0.5185934014623128,0.7675717378089637,0.9198024847106538
17,at15_6,dev-like,13695,0.2292196489712172,0.274173748769432,0.15505269066036054,0.34151720176910916,0.9198024847106538
18,at3_3,AC-gliosis-hypoxia,6497,0.2821940089324905,0.30702437885684636,0.2275334310065853,0.3596319053115681,0.557299881719433
19,at3_3,dev-like,580,0.2845113410668399,0.2925852721377713,0.24711318153275832,0.315812018188803,0.557299881719433
20,at4_0,AC-gliosis-hypoxia,7655,0.4713844277451824,0.48224635663839854,0.3808882978407363,0.560830202206662,1.083916825494542
21,at4_0,dev-like,6947,0.2088616665569354,0.22724160726028492,0.16053824726731641,0.2635542889300624,1.083916825494542
22,at4_1,AC-gliosis-hypoxia,2192,0.590071013997984,0.5653968435915983,0.3983296711441756,0.6979905362025298,1.1683627373869938
23,at4_1,dev-like,3612,0.20277662803665644,0.22528084998698425,0.1126948196026441,0.32084924858387776,1.1683627373869938
24,at4_2,AC-gliosis-hypoxia,2208,0.4650620024298012,0.5094621055835032,0.395620998058834,0.6138784901436084,1.1462412605708818
25,at4_2,dev-like,2462,0.2404337208803379,0.2715195084333465,0.13788587624355295,0.30221171454347756,1.1462412605708818
26,at5_2,AC-gliosis-hypoxia,313,0.3087114589496799,0.44026570843983254,0.2782265870806977,0.6586126286703041,0.9243039436878446
