,line,sample_name,ID,predictions,dist_to_edge,distance_minmax
0,E25,E25 Day 14,GSO1,AC-gliosis-like,161.52194989365458,0.11008729831689326
1,E25,E25 Day 14,GSO1,AC-progenitor-like,185.14365185089628,0.18073462819498445
3,E25,E25 Day 14,GSO1,Gliosis-like,300.37279284130113,0.5253597170160099
4,E25,E25 Day 14,GSO1,Hypoxic,459.0739259328948,1.0
6,E25,E25 Day 14,GSO1,NPC-neuronal-like,229.67959209429057,0.31393185790778505
8,E25,E25 Day 14,GSO1,OPC-NPC-like,142.78634629728487,0.054053217024452725
9,E25,E25 Day 14,GSO1,OPC-like,196.9787918951255,0.21613093640222353
10,E25,E25 Day 14,GSO1,OPC-neuronal-like,128.61557209395895,0.011671539295113841
13,E25,E25 Day 14,GSO1,Proliferative,124.71306618061213,0.0
16,E25,E25 Day 7,GSO1,AC-gliosis-like,234.7962174232402,0.19212378057307508
17,E25,E25 Day 7,GSO1,AC-progenitor-like,211.8690414434358,0.13363886888748594
19,E25,E25 Day 7,GSO1,Gliosis-like,363.4954132654405,0.5204224384395135
20,E25,E25 Day 7,GSO1,Hypoxic,551.4987603333653,1.0
22,E25,E25 Day 7,GSO1,NPC-neuronal-like,239.08965248741134,0.20307590004810533
24,E25,E25 Day 7,GSO1,OPC-NPC-like,181.31399259270452,0.055696023455585206
25,E25,E25 Day 7,GSO1,OPC-like,223.9350948789152,0.16441815326988082
26,E25,E25 Day 7,GSO1,OPC-neuronal-like,159.48011280493424,0.0
29,E25,E25 Day 7,GSO1,Proliferative,178.90993892646787,0.049563525215020526
32,E25,E25 Day 7,GSO2,AC-gliosis-like,203.31236709775607,0.21821991610265398
33,E25,E25 Day 7,GSO2,AC-progenitor-like,196.11618166569664,0.1916911284620292
35,E25,E25 Day 7,GSO2,Gliosis-like,347.2210165529482,0.7487401531212461
36,E25,E25 Day 7,GSO2,Hypoxic,415.3776347242785,1.0
38,E25,E25 Day 7,GSO2,NPC-neuronal-like,175.7219510221094,0.11650765536428084
40,E25,E25 Day 7,GSO2,OPC-NPC-like,144.11814373119725,0.0
41,E25,E25 Day 7,GSO2,OPC-like,199.53479605847357,0.20429387419550152
42,E25,E25 Day 7,GSO2,OPC-neuronal-like,145.21660382863445,0.004049480788361482
45,E25,E25 Day 7,GSO2,Proliferative,144.9597229782145,0.0031024877468295324
48,E30,E30 Day 14,GSO1,AC-gliosis-like,168.83550258088079,0.15091084960242987
49,E30,E30 Day 14,GSO1,AC-progenitor-like,167.74761154712718,0.14739294213015805
51,E30,E30 Day 14,GSO1,Gliosis-like,316.14726419807283,0.6272721126956403
52,E30,E30 Day 14,GSO1,Hypoxic,431.411048087897,1.0
55,E30,E30 Day 14,GSO1,NPC-neuronal-like,208.45383812948688,0.27902445137054627
57,E30,E30 Day 14,GSO1,OPC-NPC-like,126.989611316958,0.015594012719141806
58,E30,E30 Day 14,GSO1,OPC-like,189.34173464113385,0.2172217435749626
59,E30,E30 Day 14,GSO1,OPC-neuronal-like,122.16725974827433,0.0
62,E30,E30 Day 14,GSO1,Proliferative,122.76603970313172,0.0019362715677243938
65,E30,E30 Day 14,GSO2,AC-gliosis-like,131.35153320430513,0.16568348902705057
66,E30,E30 Day 14,GSO2,AC-progenitor-like,139.7874562984101,0.1885083424965443
68,E30,E30 Day 14,GSO2,Gliosis-like,305.74977960879147,0.6375482008213914
69,E30,E30 Day 14,GSO2,Hypoxic,439.7096977864628,1.0
71,E30,E30 Day 14,GSO2,NPC-neuronal-like,132.93973867036627,0.16998065445138053
74,E30,E30 Day 14,GSO2,OPC-NPC-like,78.63277446324764,0.02304374113756405
