,bin_center,variable,value
0,0.01615,OLIG1,1.0
1,0.05,OLIG1,0.9204425430895181
2,0.08335000000000001,OLIG1,0.8402440994081781
3,0.1165,OLIG1,0.8705466859394447
4,0.15000000000000002,OLIG1,0.7970063401103892
5,0.1835,OLIG1,0.8452030041441577
6,0.21650000000000003,OLIG1,0.8605692550524663
7,0.25,OLIG1,0.8920997485610949
8,0.2835,OLIG1,0.8717217581440699
9,0.3165,OLIG1,0.7761004113833219
10,0.35,OLIG1,0.7357164873159476
11,0.3835,OLIG1,0.7250811100572202
12,0.4165,OLIG1,0.7471965708973957
13,0.45,OLIG1,0.6248728511133905
14,0.48350000000000004,OLIG1,0.6536388169389172
15,0.5165,OLIG1,0.6585780739673356
16,0.55,OLIG1,0.5132780273738462
17,0.5834999999999999,OLIG1,0.5624748614006602
18,0.6165,OLIG1,0.564911181272796
19,0.65,OLIG1,0.49128220258611577
20,0.6835,OLIG1,0.5371884978894901
21,0.7164999999999999,OLIG1,0.3778489349827224
22,0.75,OLIG1,0.39142620942656875
23,0.7835000000000001,OLIG1,0.2859091275810775
24,0.8165,OLIG1,0.3993922713789826
25,0.85,OLIG1,0.2798400246419619
26,0.8835,OLIG1,0.17206290880776856
27,0.9165000000000001,OLIG1,0.13161794829494844
28,0.95,OLIG1,0.0
29,0.9835,OLIG1,0.028031573681052288
390,0.01615,AQP4,0.364368183162504
391,0.05,AQP4,0.50979053623708
392,0.08335000000000001,AQP4,0.3289230904917094
393,0.1165,AQP4,0.31283022812408073
394,0.15000000000000002,AQP4,0.586551689865185
395,0.1835,AQP4,0.61571926726906
396,0.21650000000000003,AQP4,0.6770395164444676
397,0.25,AQP4,0.8532287488475995
398,0.2835,AQP4,0.8868095069942907
399,0.3165,AQP4,0.9641439212039047
400,0.35,AQP4,0.8779405432103532
401,0.3835,AQP4,0.9409150724073504
402,0.4165,AQP4,0.9635214699403378
403,0.45,AQP4,0.9804172138895538
404,0.48350000000000004,AQP4,0.9252992072703752
405,0.5165,AQP4,0.8284247743690744
406,0.55,AQP4,0.7858616275859795
407,0.5834999999999999,AQP4,0.9097823387374294
408,0.6165,AQP4,0.8777092871358575
409,0.65,AQP4,0.6414631744410225
410,0.6835,AQP4,0.6948018718113537
411,0.7164999999999999,AQP4,0.5781980986043971
412,0.75,AQP4,0.6474314765598281
413,0.7835000000000001,AQP4,0.7361553394952114
414,0.8165,AQP4,0.46227353348230044
415,0.85,AQP4,1.0
416,0.8835,AQP4,0.9633553860000631
417,0.9165000000000001,AQP4,0.7957891750647538
418,0.95,AQP4,0.9614704578215664
419,0.9835,AQP4,0.0
510,0.01615,SERPINE1,0.13732580603554603
511,0.05,SERPINE1,0.09799923714182225
512,0.08335000000000001,SERPINE1,0.07842710629965088
513,0.1165,SERPINE1,0.07608625907690013
514,0.15000000000000002,SERPINE1,0.010520294472137865
515,0.1835,SERPINE1,0.05235022898304785
516,0.21650000000000003,SERPINE1,0.05680461304313528
517,0.25,SERPINE1,0.05865499645128579
518,0.2835,SERPINE1,0.0
519,0.3165,SERPINE1,0.22326713151365637
520,0.35,SERPINE1,0.2778362242011526
521,0.3835,SERPINE1,0.20678745543624844
522,0.4165,SERPINE1,0.20265059921956882
523,0.45,SERPINE1,0.28403753065536863
524,0.48350000000000004,SERPINE1,0.3079178104543656
525,0.5165,SERPINE1,0.2563668875014789
526,0.55,SERPINE1,0.39898883362652565
527,0.5834999999999999,SERPINE1,0.29476647004610357
528,0.6165,SERPINE1,0.32291295427299516
529,0.65,SERPINE1,0.43431457343436075
530,0.6835,SERPINE1,0.2090774434765562
531,0.7164999999999999,SERPINE1,0.3580648876786993
532,0.75,SERPINE1,0.4835223435846363
533,0.7835000000000001,SERPINE1,0.663132035964823
534,0.8165,SERPINE1,0.4529954435571933
535,0.85,SERPINE1,1.0
536,0.8835,SERPINE1,0.7639474968657829
537,0.9165000000000001,SERPINE1,0.5714854009067238
538,0.95,SERPINE1,0.6417617446690657
539,0.9835,SERPINE1,0.6688561093654793
600,0.01615,HILPDA,0.013372645127149108
601,0.05,HILPDA,0.020205300617482873
602,0.08335000000000001,HILPDA,0.04173181175746784
603,0.1165,HILPDA,0.030593498996042794
604,0.15000000000000002,HILPDA,0.0
605,0.1835,HILPDA,0.0035328425203830552
606,0.21650000000000003,HILPDA,0.03486917306855356
607,0.25,HILPDA,0.055210427909561426
608,0.2835,HILPDA,0.079527993115017
609,0.3165,HILPDA,0.09074485255404631
610,0.35,HILPDA,0.12138745330511135
611,0.3835,HILPDA,0.20304210647854545
612,0.4165,HILPDA,0.23771598222682938
613,0.45,HILPDA,0.3472065680436675
614,0.48350000000000004,HILPDA,0.34017623527814367
615,0.5165,HILPDA,0.3570036402028134
616,0.55,HILPDA,0.4460492700470664
617,0.5834999999999999,HILPDA,0.38208580663381514
618,0.6165,HILPDA,0.4003833416363047
619,0.65,HILPDA,0.5362410208050119
620,0.6835,HILPDA,0.4316367155417772
621,0.7164999999999999,HILPDA,0.5913943217262485
622,0.75,HILPDA,0.556462763808721
623,0.7835000000000001,HILPDA,0.6354222111216887
624,0.8165,HILPDA,0.7806861665824618
625,0.85,HILPDA,0.9490038230342669
626,0.8835,HILPDA,0.9755160220900613
627,0.9165000000000001,HILPDA,1.0
628,0.95,HILPDA,0.9219046192795678
629,0.9835,HILPDA,0.7979807877265425
