,bin_center,variable,value
0,0.01615,OLIG1,1.0
1,0.05,OLIG1,0.9871050971300374
2,0.08335000000000001,OLIG1,0.9483606638791862
3,0.1165,OLIG1,0.8916456591582346
4,0.15000000000000002,OLIG1,0.7969242983313181
5,0.1835,OLIG1,0.7023092487604832
6,0.21650000000000003,OLIG1,0.5921051716131861
7,0.25,OLIG1,0.4896484912595107
8,0.2835,OLIG1,0.4236689692418006
9,0.3165,OLIG1,0.32618207171532637
10,0.35,OLIG1,0.2510835812771502
11,0.3835,OLIG1,0.1964767137685518
12,0.4165,OLIG1,0.15067987846388695
13,0.45,OLIG1,0.10601413776569013
14,0.48350000000000004,OLIG1,0.0736191604014415
15,0.5165,OLIG1,0.07300230932417807
16,0.55,OLIG1,0.05826620107577553
17,0.5834999999999999,OLIG1,0.03276732594158648
18,0.6165,OLIG1,0.032498629921900286
19,0.65,OLIG1,0.04643190499334106
20,0.6835,OLIG1,0.06505913267861103
21,0.7164999999999999,OLIG1,0.07386081156252115
22,0.75,OLIG1,0.08172848236458612
23,0.7835000000000001,OLIG1,0.035229399306269345
24,0.8165,OLIG1,0.017040089456769877
25,0.85,OLIG1,0.00994770437241055
26,0.8835,OLIG1,0.02330808171837312
27,0.9165000000000001,OLIG1,0.04706941288499204
28,0.95,OLIG1,0.0
29,0.9835,OLIG1,0.007454575371876023
390,0.01615,AQP4,0.277537073989223
391,0.05,AQP4,0.28376029765368
392,0.08335000000000001,AQP4,0.34635588406292983
393,0.1165,AQP4,0.4757869983050519
394,0.15000000000000002,AQP4,0.6329463854536114
395,0.1835,AQP4,0.7789025585406404
396,0.21650000000000003,AQP4,0.8796973762817232
397,0.25,AQP4,0.9512059305594815
398,0.2835,AQP4,1.0
399,0.3165,AQP4,0.9677898723889165
400,0.35,AQP4,0.8765215330242107
401,0.3835,AQP4,0.7372716211547663
402,0.4165,AQP4,0.6059016730435786
403,0.45,AQP4,0.4853566455329903
404,0.48350000000000004,AQP4,0.3906433064546051
405,0.5165,AQP4,0.2858408856018901
406,0.55,AQP4,0.23402961024524802
407,0.5834999999999999,AQP4,0.21435526668539912
408,0.6165,AQP4,0.16698284518955206
409,0.65,AQP4,0.20355577939907762
410,0.6835,AQP4,0.19137453401821392
411,0.7164999999999999,AQP4,0.2598796419292966
412,0.75,AQP4,0.2452932991334079
413,0.7835000000000001,AQP4,0.2291081657669801
414,0.8165,AQP4,0.2122258764718122
415,0.85,AQP4,0.15056342934365305
416,0.8835,AQP4,0.07822093505720097
417,0.9165000000000001,AQP4,0.05412185128513359
418,0.95,AQP4,0.007327116768546869
419,0.9835,AQP4,0.0
450,0.01615,CD44,0.09618913156613079
451,0.05,CD44,0.0
452,0.08335000000000001,CD44,0.032235974824317774
453,0.1165,CD44,0.1540478638871012
454,0.15000000000000002,CD44,0.27053931719599106
455,0.1835,CD44,0.426923403084296
456,0.21650000000000003,CD44,0.6153308145494853
457,0.25,CD44,0.7219515439794276
458,0.2835,CD44,0.8374945142288911
459,0.3165,CD44,0.92937093757561
460,0.35,CD44,0.994633813320199
461,0.3835,CD44,1.0
462,0.4165,CD44,0.9402927448730397
463,0.45,CD44,0.9167274205326614
464,0.48350000000000004,CD44,0.8771783423670921
465,0.5165,CD44,0.7937233884657706
466,0.55,CD44,0.7833108375027809
467,0.5834999999999999,CD44,0.7904484983083554
468,0.6165,CD44,0.7823865548466964
469,0.65,CD44,0.7968463422667538
470,0.6835,CD44,0.8079281824691712
471,0.7164999999999999,CD44,0.8316191638884338
472,0.75,CD44,0.8662158850618589
473,0.7835000000000001,CD44,0.9853307595814554
474,0.8165,CD44,0.9363481783468387
475,0.85,CD44,0.9399245873796622
476,0.8835,CD44,0.9882442487914271
477,0.9165000000000001,CD44,0.9660380863235287
478,0.95,CD44,0.8137617948232068
479,0.9835,CD44,0.8366137802920601
600,0.01615,HILPDA,0.0
601,0.05,HILPDA,0.013561927940054454
602,0.08335000000000001,HILPDA,0.028141982809833464
603,0.1165,HILPDA,0.03380274912291323
604,0.15000000000000002,HILPDA,0.047254865769342146
605,0.1835,HILPDA,0.07279017917634797
606,0.21650000000000003,HILPDA,0.11732761587846383
607,0.25,HILPDA,0.17008322012349714
608,0.2835,HILPDA,0.2549132502942282
609,0.3165,HILPDA,0.36328772485174304
610,0.35,HILPDA,0.5250509863854299
611,0.3835,HILPDA,0.650755552410217
612,0.4165,HILPDA,0.773009887594716
613,0.45,HILPDA,0.8529807995222617
614,0.48350000000000004,HILPDA,0.9258716764391671
615,0.5165,HILPDA,0.9720473777045487
616,0.55,HILPDA,1.0
617,0.5834999999999999,HILPDA,0.9834375454415127
618,0.6165,HILPDA,0.9752013045663906
619,0.65,HILPDA,0.9462176764342979
620,0.6835,HILPDA,0.9539028071137903
621,0.7164999999999999,HILPDA,0.9313312936563254
622,0.75,HILPDA,0.9246010577296314
623,0.7835000000000001,HILPDA,0.9407526756467406
624,0.8165,HILPDA,0.9485859240405153
625,0.85,HILPDA,0.9256666508276147
626,0.8835,HILPDA,0.9502981148090182
627,0.9165000000000001,HILPDA,0.9724815382608624
628,0.95,HILPDA,0.9732185759889262
629,0.9835,HILPDA,0.9059182834997929
