batch	factor	cluster	top_n_per_patient	top_n_per_factor	environment
sp_batchAT10	AT10_0	1	Ion-channel Astrocytes, AClike.2, A1-state Astrocytes, Oligo.-associated Astrocytes, Macrophage (microglia), L5 ET, Pro-inflammatory TAMs, Inflammatory Astrocytes, Undefined_4, AClike_MES1like.3	AClike.2, NPC1like_OPClike.1, Interferon TAMs, Oligodendrocytes 2, Neural-support Astrocytes, Pro-inflammatory TAMs, Ion-channel Astrocytes, Macrophage (microglia), Oligodendrocytes 1, Oligo.-associated Astrocytes	Dev-like (AC)
sp_batchAT10	AT10_1	15	MES2like.1, Stress-response TAMs, MES1like_MES2like.1, Naïve T cells, T reg, NK T cells, Mixed CD4/CD8 T cells, Endothelial (capillary), B cells, CD8 T cells	MES1like_MES2like.1, MES2like.1, Stress-response TAMs, Naïve T cells, Endothelial (capillary), AClike_MES1like.4, NK T cells, T reg, Mixed CD4/CD8 T cells, CD8+ T cytotoxic cells 	Gliosis
sp_batchAT10	AT10_10	3	Undefined_6, Ambiguous (oligo.), Oligodendrocytes 1, CD8+ T cytotoxic cells , Naïve T cells, Undefined_1, AClike_MES1like.4, AClike.1, B cells, Resident-Microglia TAMs	Oligodendrocytes 1, AClike_MES1like.4, Resident-Microglia TAMs, Undefined_6, AClike.2, Ambiguous (oligo.), Naïve T cells, Oligodendrocytes 2, NPC1like.1, AClike_MES1like.2	White matter
sp_batchAT10	AT10_11	14	Monocyte, Proliferatve TAMs, RTN1+ TAMs, Lymphoid DC, NPC2like_OPClike.1, Pro-inflammatory TAMs, Interferon TAMs, Anti-inflammatory TAMs, NPC2like.5, Resident BAM TAMs	Monocyte, Proliferatve TAMs, Interferon TAMs, Resident BAM TAMs, AClike_MES1like.2, AClike_MES1like.1, Resident-Microglia TAMs, OPClike.4, RTN1+ TAMs, AClike.1	Immune (TAMs)
sp_batchAT10	AT10_12	12	Resident-Microglia TAMs, Phagocytotic astrocytes, Anti-inflammatory TAMs, AClike.1, CD8+ T cytotoxic cells , Mixed CD4/CD8 T cells, NK T cells, T proliferatve cells, NK cells, B cells	Resident-Microglia TAMs, AClike.1, Naïve T cells, Anti-inflammatory TAMs, AClike.2, AClike_MES1like.2, CD8+ T cytotoxic cells , Phagocytotic astrocytes, Proliferatve TAMs, T proliferatve cells	Immune (resident)
sp_batchAT10	AT10_13	5	Angiogenic TAMs, Stress-response TAMs, NK T cells, Naïve T cells, T reg, Endothelial (venule), Ambiguous (vascular), MES1like_MES2like.1, Endothelial (capillary), T proliferatve cells	Angiogenic TAMs, MES1like_MES2like.1, Stress-response TAMs, Naïve T cells, Ambiguous (oligo.), Endothelial (capillary), T proliferatve cells, NK T cells, Endothelial (venule), Ambiguous (vascular)	Hypoxic 1
sp_batchAT10	AT10_14	0	Endothelial (Other), Pericytes, VLMC, Endothelial (arteriole), Ambiguous (vascular), Endothelial (CNA-associated), Resident BAM TAMs, Endothelial (capillary), Endothelial (venule), NK cells	Pericytes, Endothelial (Other), VLMC, Resident BAM TAMs, Endothelial (capillary), Ambiguous (vascular), T proliferatve cells, Endothelial (arteriole), Anti-inflammatory TAMs, CD8+ T cytotoxic cells 	Vasculature
sp_batchAT10	AT10_15	10	Exc L4-5 IT, Exc L2-3 IT, Inh VIP, Exc L5-6 NP, Inh SST, Neural-support Astrocytes, Exc L6 IT, Exc L4 IT, Exc L6 Car3, Inh RELN	Exc L4-5 IT, Exc L2-3 IT, Neural-support Astrocytes, Undefined_1, Exc L6 Car3, Endothelial (capillary), Inh VIP, Exc L5-6 NP, OPCs, Oligo.-associated Astrocytes	Grey matter
sp_batchAT10	AT10_2	6	NPC1like_OPClike.1, AClike.3, NPC1like_OPClike.2, Undefined_7, OPClike.2, NPC1like.1, NPC2like.4, NPC1like_OPClike.3, Inh SST (Chodl), NPC2like.2	NPC1like_OPClike.1, AClike.2, AClike.3, NPC1like_OPClike.2, OPClike.2, NPC1like.1, AClike_MES1like.4, MES2like.1, NPC2like.2, NPC1like_OPClike.3	Dev-like (OPC)
sp_batchAT10	AT10_3	18	AClike_MES1like.4, T proliferatve cells, Endothelial (venule), Naïve T cells, NK T cells, Endothelial (capillary), Mixed CD4/CD8 T cells, CD8+ T cytotoxic cells , NPC2like.4, Undefined_6	AClike_MES1like.4, Naïve T cells, T proliferatve cells, NPC1like_OPClike.2, Undefined_6, Endothelial (capillary), NPC1like.1, Endothelial (venule), MES2like.1, CD8+ T cytotoxic cells 	Gliosis (diffuse)
